,重疾中文名,重疾ICD编码
0,冠心病,"I25,T82,Z95"
1,脑卒中,"I60,I61,I62,I63,I64,I69"
2,尿毒症,"N17,N18,N19"
3,急性心肌梗塞,"I21,T82,Z95"
4,乳房恶性肿瘤,C50
5,支气管和肺恶性肿瘤,C34
6,肠恶性肿瘤,"C17,C18,C19,C20"
7,甲状腺恶性肿瘤,C73
8,风湿性心脏病,"I09,I05,I06,I07,I08"
9,肝和肝内胆管恶性肿瘤,C22
10,胃恶性肿瘤,C16
11,淋巴瘤,"C81,C82,C83,C84,C86,C88"
12,系统性红斑狼疮,M32
13,子宫体及子宫未特指恶性肿瘤,"C54,C55"
14,白血病,"C95,C91,C92,C93"
15,肾癌,"C64,C65"
16,前列腺癌,C61
17,膀胱癌,C67
18,宫颈恶性肿瘤,C53
19,卵巢恶性肿瘤,C56
20,食管恶性肿瘤,C15
21,胆囊及胆道的恶性肿瘤,"C24,C23"
22,胰腺癌,C25
23,除鼻咽癌以外的咽癌,"C14,C10,C12,C13"
24,脑及中枢神经系统恶性肿瘤,"C70,C71,C72"
25,继发性恶性肿瘤,"C79,C77,C78,C80"
26,鼻咽癌,C11
27,重大器官移植术或造血干细胞移植术,"41.0,55.6,50.5,37.51,33.5"
28,心脏瓣膜手术,"36.1,88.55,88.56,88.57"
29,淋巴肉瘤,"C85,C94"
30,四肢骨和关节软骨恶性肿瘤,C40
31,独立(原发)多个部位的恶性肿瘤,C97
32,鼻旁窦恶性肿瘤,C31
33,胸腺恶性肿瘤,C37
34,女性生殖器官其他和未特指的恶性肿瘤,C57
35,其他结缔组织和软组织恶性肿瘤,C49
36,多发性骨髓瘤和恶性浆细胞肿瘤,C90
37,阴道恶性肿瘤,C52
38,其他和不明确部位的恶性肿瘤,C76
39,大涎腺其他和未特指的恶性肿瘤,C08
