,疾病,ICU检查检验均值,ICU次数,非ICU检查检验均值,非ICU次数
0,上呼吸道的其他疾病,2570.23,14,1303.3623977086743,8554
1,"下肢骨折,水平未特指",2756.5,7,426.0388888888889,63
2,不适和疲劳,3421.5,7,1694.2646739130435,2576
3,"与孕期短和低出生体重有关的疾患,不可归类在他处者",4734.25,14,6058.163544642857,7840
4,与有毒动物接触的毒性效应,2324.015319148936,329,844.8191628641629,39886
5,与淋巴网状组织和网状组织细胞系统的某些疾病,30937.0,21,7486.815428571429,490
6,中枢神经系统的其他疾患,686.1,7,3202.8829069767444,602
7,中枢神经系统的其他脱髓鞘疾病,4842.8,14,2158.6420058139533,2408
8,中枢神经系统的非典型病毒感染,5986.5,7,6618.644444444444,63
9,中枢神经系统诊断性影像检查的异常所见,2469.203846153846,91,2772.2788353765327,7994
10,中毒性肝病,8202.0,7,2362.949249329759,2611
11,中毒性脑病,37500.0,7,3207.8140384615385,364
12,为主要与妊娠有关的其他情况给予的孕产妇医疗	,3214.88,14,1369.5821155885471,13202
13,为其他已知或可疑的胎儿问题给予的孕产妇医疗	,9866.0,7,1268.184929724102,13447
14,为可疑疾病和情况接受的医疗观察和评价,4958.0,7,2323.043605230386,11242
15,主动脉瘤和主动脉夹层,5391.7903703703705,189,8026.762605752961,4137
16,主要影响心血管系统的制剂中毒,2733.7916666666665,84,1876.387142857143,245
17,主要影响自主神经系统的药物中毒,1707.3,7,1258.73,35
18,乳房恶性肿瘤,2556.6666666666665,21,6411.521359813084,14980
19,产后出血	,8223.5,28,1600.2164897074756,6461
20,产科栓塞	,1632.0,7,4455.679999999999,35
21,人类免疫缺陷病毒[HIV]病造成的传染病和寄生虫病,15650.460000000001,49,5618.389703264095,2359
22,"休克,不可归类在他处者",7986.433209876543,567,3186.5814006024098,4648
23,传染性单核细胞增多症,1223.0,7,1160.0842376052385,7483
24,低血压,2901.0,7,1862.6538888888888,1134
25,使用酒精引起的精神和行为障碍,2448.666944444444,252,1834.573951473137,4039
26,使用镇静剂或催眠剂引起的精神和行为障碍,824.0,7,996.3,7
27,偏瘫,4829.876923076923,91,1292.605573869834,57757
28,先天性肺炎,3308.7,7,2664.664914011841,24829
29,"入脑前动脉的闭塞和狭窄,未造成脑梗死",5517.96,35,3536.987519019442,16562
30,全身性抗生素中毒,4420.58,14,1000.9395,140
31,其他产科创伤	,30705.625,14,1122.9975357710653,8806
32,其他产褥感染	,8870.02,14,1203.9669105691057,861
33,其他代谢紊乱,44600.0,7,1070.973088071349,6279
34,"其他以皮肤和粘膜损害为特征的病毒性感染,不可归类在他处者",1187.0,7,568.3269292820651,26033
35,其他传导疾患,3617.7666666666664,21,2585.70875,1848
36,其他传染性和未特指病因的胃肠炎和结肠炎,6215.495999999999,70,723.7533330570978,84469
37,"其他传染性病原体引起的肺炎,不可归类在他处者",5018.78,14,1506.6400873362445,1603
38,其他再生障碍性贫血,3390.0444444444443,63,2562.460912990196,11424
39,其他凝血缺陷,4839.833333333333,21,2399.8021105527637,1393
40,其他功能性肠疾患,1912.0,7,1641.1164975609754,7175
41,其他动脉瘤,14276.0,7,4196.5996231884055,2415
42,其他医疗照顾,3449.725,112,1848.781438672338,501935
43,其他听觉丧失,3715.7,7,1543.01246868476,13412
44,其他吸虫感染,5254.280000000001,7,2451.2966666666666,42
45,其他呼吸性疾患,6713.786718750001,448,870.0229648887973,271936
46,其他和不明确部位的恶性肿瘤,4629.0,7,4289.362,1715
47,其他和不明确部位的继发性恶性肿瘤,3909.225,28,5217.459489916963,5901
48,其他和未特指原因引起的脑膜炎,1348.0,7,3718.8487499999997,168
49,其他和未特指原因所致的新生儿黄疸,1022.3499999999999,42,1429.082819591103,31157
50,其他和未特指物质的毒性效应,1451.8,7,1007.5144736842104,266
51,其他和未特指的传染病,6489.090000000001,7,1687.5246763754046,4326
52,其他和未特指胸内器官损伤,8830.127674418605,301,3264.4025037936267,4613
53,其他和未特指部位的动态未定或动态未知的肿瘤,4700.125,28,2883.002912912913,6993
54,其他器官的结核,8338.0,7,4925.727155963303,4578
55,其他坏死性血管病,20565.4,14,3370.4256617647056,1904
56,其他外因的效应,5281.817857142857,196,2421.0345341614907,1127
57,其他多神经病,12349.5,7,2416.332182163188,3689
58,其他头痛综合征,1365.3846153846155,91,2048.6957970505614,19936
59,其他心律失常,3822.5857142857144,49,2798.196817975488,15421
60,其他急性缺血性心脏病,6265.794615384616,91,1976.6562962962962,8883
61,其他慢性阻塞性肺病,4772.385194274028,3423,1334.9733702012045,654409
62,其他气体、烟雾和蒸气的毒性效应,20848.100000000002,49,2074.505964912281,399
63,其他氨基酸代谢紊乱,0.0,7,2606.6000000000004,63
64,其他沙门菌感染,5657.166666666667,21,1661.9379478827361,2149
65,其他炎性肝脏疾病,5875.85,28,4324.339117647059,4046
66,其他炎性脊椎病,8334.5,14,2012.6300207900208,3367
67,"其他猝死,原因不知",1968.4,7,1298.2963333333332,210
68,其他甲状腺功能减退症,6337.0,7,2003.630700389105,1799
69,"其他病毒性出血热,不可归类在他处者",48338.0,7,2401.1751999999997,175
70,其他的一般症状和体征,10994.24,35,1979.6743478260871,805
71,其他皮肤改变,2093.7,7,1598.4545454545455,77
72,其他破伤风,31855.40666666667,21,8888.86,168
73,其他神经症性障碍,2678.5,7,1263.7489285714287,392
74,其他类风湿性关节炎,17962.4,7,1542.2102778675282,21665
75,"其他细菌性疾病,不可归类在他处者",3596.5,7,4116.576938775511,343
76,其他细菌性肠道感染,2702.2000000000003,14,1142.6896407185627,3507
77,"其他细菌性食物中毒,不可归类在他处者",1365.6,35,3515.8500000000004,126
78,其他结缔组织和软组织恶性肿瘤,44643.0,7,5597.541678832116,959
79,其他肌病,2699.1800000000003,35,2498.9286925795054,1981
80,其他肺源性心脏病,5879.0425000000005,56,1288.3059692529425,29141
81,其他肾上腺疾患,7716.0,7,3441.242233009709,1442
82,其他肾小管-间质疾病	,9627.5,7,3249.2832421875,1792
83,其他胸膜情况,5258.400000000001,56,2907.5902626459147,7196
84,其他脑血管病,2527.806666666667,105,1350.467021138563,258958
85,其他脓毒病,13375.431332046332,3626,5145.489239272727,48125
86,其他营养性贫血,2745.0,7,3180.446587837838,2072
87,其他螺旋体感染,1633.5,7,1240.6333333333332,21
88,其他贫血,3080.5299999999997,42,2035.4850920679885,19768
89,其他身体结构诊断性影像检查的异常所见,3559.98,7,2331.973686746988,11620
90,其他部位的静脉曲张,6501.666666666667,21,1434.2895857988167,4732
91,其他间质性肺疾病,2465.9857142857145,49,2277.8596093377796,14693
92,其他非创伤性颅内出血,6307.006923076923,273,3752.279892156863,7140
93,其他非感染性胃肠炎和结肠炎,2504.1,35,1070.5027911879413,66409
94,其他风湿性心脏病,1501.0,7,1682.8732618025751,3262
95,其他麻痹[瘫痪]综合征,22770.5,7,2032.8396992481205,2793
96,出生窒息,2935.4,7,2404.5073410404625,1211
97,"出血,不可归类在他处者",1883.9750000000001,14,2439.873472222222,504
98,分离[转换]性障碍,1891.2375,56,1736.7962162162162,777
99,创伤的某些早期并发症,8888.748,105,1492.7758863328822,5173
100,利什曼病,13011.0,7,7657.240000000001,35
101,利尿剂和其他及未特指的药物、药剂和生物制品中毒,2746.656086956522,322,1119.1325607064018,3171
102,前庭功能疾患,1750.537037037037,189,1157.3849020475227,110768
103,前臂开放性伤口,4433.666666666667,21,1204.582733564014,2023
104,前臂骨折,10967.74,133,1414.0470861655338,70028
105,动脉和小动脉的其他疾患,10237.625,28,3840.127186588921,4802
106,动脉栓塞和血栓形成,14645.5,28,4617.615591836735,3430
107,动脉粥样硬化,17794.25,14,3272.0672958257715,11571
108,十二指肠溃疡,8342.625454545454,231,2296.90982126899,15666
109,卵巢恶性肿瘤,28355.0,7,7174.805225375626,4193
110,原有的高血压并发于妊娠、分娩和产褥期	,2525.46,14,1746.4406923076924,910
111,"原有高血压性疾患,并发蛋白尿	",5576.88,7,2456.5423762376236,707
112,双相情感障碍,1279.8,7,5100.292923976608,1197
113,受压区褥疮,6633.016,35,2272.780296735905,2359
114,变应性接触性皮炎,2644.0,7,514.378220338983,15694
115,口炎和有关损害,8931.5,28,788.4567863984674,14616
116,口腔、食管和胃原位癌,8858.5,7,3651.5422040816325,1715
117,口腔和消化器官动态未定或动态未知的肿瘤,10162.333333333334,21,2746.389823462415,12292
118,可归类在他处的孕产妇的其他疾病并发于妊娠、分娩和产褥期	,3611.4566666666665,84,1232.0915993707395,40047
119,叶酸盐缺乏性贫血,2946.0,7,3145.7695918367344,343
120,后天性溶血性贫血,4149.82,28,4006.2397727272723,924
121,含硅[矽]粉尘引起的肺尘埃沉着病,1213.75,14,1046.9229090909091,5005
122,吸入化学制剂、气体、烟雾和蒸气引起的呼吸性情况,1784.8,7,1520.6666666666667,84
123,呼吸异常,2846.975,14,1360.3606134969325,2282
124,"呼吸衰竭,不可归类在他处者",7405.386646884273,2359,2898.53325326101,54201
125,呼吸道内异物,6079.416666666667,42,2175.597090909091,770
126,呼吸道出血,2515.055714285714,49,1258.6898093058735,9177
127,呼吸道烧伤和腐蚀伤,14568.5,14,23405.138333333336,42
128,"呼吸道结核,未经细菌学或组织学所证实",6856.166666666667,42,3680.1197117619713,15057
129,"呼吸道结核,经细菌学和组织学证实",6617.785714285715,49,4241.468670236502,15687
130,咳嗽,1668.2,7,1159.4875073313783,2387
131,哮喘,2252.6166666666663,84,1226.4724114796868,18781
132,哮喘持续状态,3757.1583333333333,84,1449.9560456942004,3983
133,喉恶性肿瘤,4352.0,7,4825.2278504672895,1498
134,嗜眠、木僵和昏迷,3540.156129032258,217,3448.6928684210525,2660
135,固体和液体引起的肺炎,6635.760499999999,140,4356.123151515152,1155
136,在小腿水平的神经损伤,7098.8,7,1585.7968253968254,441
137,在小腿水平的肌肉和肌腱损伤,10688.916666666666,21,1509.352729468599,2898
138,在小腿水平的血管损伤,5005.966666666667,21,3210.2738532110093,763
139,在肩和上臂水平的神经损伤,2454.8,7,1185.9717777777778,315
140,在肩和上臂水平的肌肉和肌腱损伤,12635.0,7,1633.8049734684032,14511
141,在肩和上臂水平的血管损伤,6133.95,7,1879.9840000000002,175
142,在胸水平的神经和脊髓损伤,24155.4,14,2869.5358333333334,84
143,在腕和手水平的关节和韧带脱位、扭伤和劳损,4175.0,7,1107.7550662251656,2114
144,在腕和手水平的骨折,12835.266666666666,21,1184.486220971147,19894
145,在腹、下背和骨盆水平的神经和腰部脊髓损伤,3265.5,7,2289.1730188679244,371
146,在腹、下背和骨盆水平的血管损伤,5851.633333333333,21,7723.341666666666,84
147,在踝和足水平的肌肉和肌腱损伤,1157.0,7,1119.4478632478633,1638
148,在颈水平的关节和韧带脱位、扭伤和劳损,10712.050000000001,14,1846.8391891891893,1554
149,在颈水平的神经和脊髓损伤,16065.524444444445,63,5186.852296650718,1463
150,在髋和大腿水平的血管损伤,9062.25,14,1491.6072222222224,126
151,垂体功能减退和其他疾患,5301.0,7,3962.193779069767,1204
152,"声带和喉疾病,不可归类在他处者",6351.762222222223,63,1377.048992985972,27944
153,多发性和未特指部位的急性上呼吸道感染,6993.6,14,492.40633424230623,89845
154,多发性骨髓瘤和恶性浆细胞肿瘤,1900.0,7,4622.730472972972,4144
155,多形性红斑,4860.0,7,2381.109382022472,1246
156,"大脑动脉的闭塞和狭窄,未造成脑梗死",4733.5,21,3127.1890179414545,7413
157,头的部分创伤性切断,4596.5,28,1471.9379111111111,1575
158,头部开放性伤口,5128.82111111111,126,1060.4135964310226,20398
159,头部浅表损伤,1068.6,35,1061.4645037292025,12201
160,"妊娠[妊娠引起的]高血压,伴有有意义的蛋白尿	",5872.42,14,2741.9815724381624,3962
161,妊娠期剧吐	,1664.030909090909,77,644.3011430990686,8267
162,妊娠期泌尿生殖道的感染	,2462.0,7,1362.3645811518325,2674
163,子宫平滑肌瘤,5538.0,7,2742.485542546519,33481
164,子痫	,4175.3,7,2194.2,56
165,"对精神有影响的药物中毒,不可归类在他处者",3857.585128205128,273,1129.6188679245283,1855
166,小腿(包括踝)骨折,11950.445161290323,217,2342.0500060380396,69559
167,小腿开放性伤口,5877.9,21,1324.2064594594594,5180
168,小腿挤压伤,7555.0,7,2105.2333333333336,273
