,ICU,basy_zyzd_jbbm,检查检验费,count
0,0,(神经)鞘脂类代谢紊乱和其他脂贮积疾患,1300.1625,168
1,0,一氧化碳的毒性效应,1806.445737704918,427
2,0,三叉神经疾患,2107.902021943574,4466
3,0,三日疟原虫疟疾,3237.0,7
4,0,上呼吸道的其他疾病,1303.3623977086743,8554
5,0,上消化道的其他先天性畸形,2458.476896551724,203
6,0,上肢单神经病,1502.8062337662338,3773
7,0,上肢损伤后遗症,909.4310098522168,2842
8,0,"上肢的其他损伤,水平未特指",744.7877342657342,5005
9,0,"上肢骨折,水平未特指",573.70625,112
10,0,下泌尿道结石	,1667.4150268817205,7812
11,0,下肢(不包括足)肌腱端病,1040.908918918919,1295
12,0,下肢单神经病,832.2752601156069,4844
13,0,下肢损伤后遗症,1733.9443832020997,2667
14,0,"下肢溃疡,不可归类在他处者",1891.8848554913295,2422
15,0,"下肢的其他损伤,水平未特指",790.860093847758,6713
16,0,下肢短小缺陷,1846.76,35
17,0,下肢静脉曲张,1784.6367085690342,33411
18,0,"下肢骨折,水平未特指",426.0388888888889,63
19,0,不适和疲劳,1694.2646739130435,2576
20,0,与人工授精有关的并发症	,1295.975,280
21,0,与住房和经济情况有关的问题,0.0,7
22,0,与使用、过度使用和压迫有关的软组织疾患,1469.455037037037,945
23,0,与依赖于照料人员有关的问题,425.3,7
24,0,与其他严重缺陷有关的免疫缺陷,1319.612,35
25,0,与其他心理社会情况有关的问题,2773.0,7
26,0,与分娩有关的乳房和哺乳的其他疾患	,404.8,35
27,0,与分娩有关的乳房感染	,766.2200554016621,2527
28,0,与外界环境有关的问题,314.90000000000003,28
29,0,与女性生殖器官和月经周期有关的疼痛和其他情况	,988.2307715133531,2359
30,0,"与孕期短和低出生体重有关的疾患,不可归类在他处者",6058.163544642857,7840
31,0,与孕期长和高出生体重有关的疾患,1035.8557142857144,98
32,0,与归类在他处的障碍或疾病有关的心理和行为因素,3395.9,7
33,0,与性发育和性取向有关的心理和行为障碍,351.0,7
34,0,与排尿有关的疼痛,909.1878260869564,161
35,0,与有毒动物接触的毒性效应,844.8191628641629,39886
36,0,与某些心理社会情况有关的问题,963.6625,56
37,0,与淋巴网状组织和网状组织细胞系统的某些疾病,7486.815428571429,490
38,0,与社会环境有关的问题,50.78,70
39,0,与辐射有关的皮肤和皮下组织其他疾患,669.75,14
40,0,严重应激反应及适应障碍,1913.4852777777776,252
41,0,严重急性呼吸道综合征[SARS],1581.7,14
42,0,中度和轻度蛋白质-能量营养不良,2635.6448979591837,343
43,0,中度精神发育迟缓,1269.5722222222223,252
44,0,中枢神经系统炎性疾病的后遗症,1042.9705882352941,119
45,0,中枢神经系统的其他产伤,1539.0,7
46,0,中枢神经系统的其他疾患,3202.8829069767444,602
47,0,"中枢神经系统的其他病毒性感染,不可归类在他处者",22.7,7
48,0,中枢神经系统的其他脱髓鞘疾病,2158.6420058139533,2408
49,0,中枢神经系统的非典型病毒感染,6618.644444444444,63
50,0,中枢神经系统诊断性影像检查的异常所见,2772.2788353765327,7994
51,0,中毒性肝病,2362.949249329759,2611
52,0,中毒性脑病,3207.8140384615385,364
53,0,中耳、呼吸和胸腔内器官动态未定或动态未知的肿瘤,2354.1068335787922,4753
54,0,中耳和乳突的其他疾患,1545.672,525
55,0,中耳和呼吸系统原位癌,4828.280796019901,1407
56,0,中耳和呼吸系统良性肿瘤,3320.955325779037,2471
57,0,中耳胆脂瘤,1800.9125242718446,2163
58,0,临床症状不明显[亚临床]的碘缺乏性甲状腺功能减退症,3594.0,21
59,0,丹毒,1297.3889711934157,1701
60,0,为主要与妊娠有关的其他情况给予的孕产妇医疗	,1369.5821155885471,13202
61,0,为其他原因接受的检查和观察,646.7153846153846,182
62,0,"为其他咨询和医疗指导而与保健机构接触的人,不可归类在他处者",1715.5,7
63,0,为其他已知或可疑的胎儿问题给予的孕产妇医疗	,1268.184929724102,13447
64,0,为可疑疾病和情况接受的医疗观察和评价,2323.043605230386,11242
65,0,为已知或可疑盆腔器官异常给予的孕产妇医疗	,1266.5388177752934,50092
66,0,为已知或可疑胎儿先露异常给予的孕产妇医疗	,1280.820229357798,6104
67,0,为已知或可疑胎儿异常和损害给予的孕产妇医疗	,1225.5854005934718,2359
68,0,为已知或可疑胎盆不称给予的孕产妇医疗	,1307.7151728247914,5873
69,0,"为特殊操作而与保健机构接触的人,但操作未进行",586.6999999999999,14
70,0,主动脉瓣和二尖瓣先天性畸形,8633.125714285714,196
71,0,主动脉瘤和主动脉夹层,8026.762605752961,4137
72,0,"主要为全身性和血液学的制剂中毒,不可归类在他处者",1229.168695652174,161
73,0,主要为非药用物质毒性效应的后遗症,461.4,35
74,0,主要作用于平滑肌和骨骼肌及呼吸系统的制剂中毒,1061.6680555555554,252
75,0,主要影响心血管系统的制剂中毒,1876.387142857143,245
76,0,主要影响皮肤和粘膜的局部制剂及眼科、耳鼻喉科和牙科的药物中毒,636.6571428571428,49
77,0,主要影响胃肠系统的制剂中毒,855.1333333333333,21
78,0,主要影响自主神经系统的药物中毒,1258.73,35
79,0,习惯和冲动障碍,3737.2999999999997,14
80,0,习惯性流产	,1564.1999999999998,21
81,0,乳房先天性畸形,1089.5184210526315,1330
82,0,乳房原位癌,6503.305106382978,987
83,0,乳房恶性肿瘤,6411.521359813084,14980
84,0,乳房炎性疾患	,1084.2749679487179,6552
85,0,乳房的其他疾患	,1022.6408296943231,1603
86,0,乳房肥大	,1576.6232748538011,2394
87,0,乳房良性肿瘤,1577.409400910616,29211
88,0,乳房诊断性影像检查的异常所见,105.6,7
89,0,乳突炎和有关情况,831.3739175257732,679
90,0,产伤引起的颅内撕裂和出血,3034.48,77
91,0,"产前出血,不可归类在他处者	",1199.604761904762,147
92,0,产前筛查,685.5,7
93,0,产力异常	,1151.3096135831381,5978
94,0,产后出血	,1600.2164897074756,6461
95,0,产后医疗照顾和检查,540.7048387096775,434
96,0,产科栓塞	,4455.679999999999,35
97,0,"产程和分娩并发产时出血,不可归他处者	",2507.58,35
98,0,产程和分娩并发胎儿应激反应	,1413.7500516129032,5425
99,0,产程和分娩并发脐带并发症	,1202.0310240733663,18319
100,0,"产程和分娩的其他并发症,不可归类在他处者	",1625.2273913043477,483
101,0,产褥期中麻醉的并发症	,7574.0,7
102,0,"产褥期的并发症,不可归类在他处者	",809.4027027027028,518
103,0,产褥期的静脉并发症	,662.5,7
104,0,产褥期脓毒病	,4123.910526315789,133
105,0,亨廷顿病,180.73333333333335,21
106,0,人工造口状态,1339.4769230769232,91
107,0,人类免疫缺陷病毒[HIV]病造成的传染病和寄生虫病,5618.389703264095,2359
108,0,人类免疫缺陷病毒[HIV]病造成的其他情况,2502.0055555555555,126
109,0,人类免疫缺陷病毒[HIV]病造成的其他特指的疾病,5682.510377358491,371
110,0,人类免疫缺陷病毒[HIV]病造成的恶性肿瘤,4802.311111111112,63
111,0,人类免疫缺陷病毒[HlV]的实验室证据,1835.478,175
112,0,企图流产失败	,604.5588888888889,126
113,0,"休克,不可归类在他处者",3186.5814006024098,4648
114,0,传导性和感音神经性听觉丧失,1290.4990217391305,2576
115,0,传染性单核细胞增多症,1160.0842376052385,7483
116,0,传染病和寄生虫病的特殊筛查,3215.5,21
117,0,传染病病原携带者,1450.8300000000002,140
118,0,伤寒和副伤寒,3327.6323076923077,91
119,0,低血压,1862.6538888888888,1134
120,0,体被的其他先天性畸形,3398.5,14
121,0,使用其他兴奋剂(包括咖啡因)引起的精神和行为障碍,552.725,56
122,0,使用多种药物和其他精神活性物质引起的精神和行为障碍,2844.620909090909,77
123,0,使用大麻类物质引起的精神和行为障碍,521.7600000000001,35
124,0,使用酒精引起的精神和行为障碍,1834.573951473137,4039
125,0,使用镇静剂或催眠剂引起的精神和行为障碍,996.3,7
126,0,使用阿片样物质引起的精神和行为障碍,982.4555555555556,63
127,0,"依赖于可启动机器和装置,不可归类在他处者",953.7833333333334,42
128,0,借助产钳和真空吸引器的单胎分娩	,1540.5,28
129,0,假临产	,884.9245411764705,2975
130,0,偏头痛,1685.69452975048,3647
131,0,偏瘫,1292.605573869834,57757
132,0,先天性晶状体畸形,1145.5038636363636,616
133,0,先天性梅毒,4584.0,21
134,0,先天性病毒性疾病,2174.06,35
135,0,先天性眼后段畸形,704.0,35
136,0,先天性肺炎,2664.664914011841,24829
137,0,先天性脑积水,7468.5,14
138,0,克罗恩病[局限性肠炎],2390.888345323741,2919
139,0,"入脑前动脉的闭塞和狭窄,未造成脑梗死",3536.987519019442,16562
140,0,全身性抗生素中毒,1000.9395,140
141,0,全身性硬皮病,2967.449904761905,735
142,0,全身炎症反应综合征,1113.225,28
143,0,其他B族维生素缺乏病,4124.708474576271,413
144,0,其他B细胞淋巴瘤[恶性免疫增生性疾病],6942.00909090909,77
145,0,其他丘疹鳞屑性疾患,1474.5,35
146,0,"其他主要为性传播的疾病,不可归类在他处者",1300.5372307692307,1365
147,0,其他产伤,1316.472,35
148,0,其他产科创伤	,1122.9975357710653,8806
149,0,其他产褥感染	,1203.9669105691057,861
150,0,其他代谢紊乱,1070.973088071349,6279
151,0,"其他以皮肤和粘膜损害为特征的病毒性感染,不可归类在他处者",568.3269292820651,26033
152,0,其他传导疾患,2585.70875,1848
153,0,其他传染性和未特指病因的胃肠炎和结肠炎,723.7533330570978,84469
154,0,"其他传染性病原体引起的肺炎,不可归类在他处者",1506.6400873362445,1603
155,0,其他先天性传染病和寄生虫病,3421.0,14
156,0,"其他先天性畸形,不可归类在他处者",1701.0663942307692,1456
157,0,其他免疫缺陷,2268.4777777777776,126
158,0,其他全身性抗感染药和抗寄生虫药中毒,1537.22,35
159,0,其他关节炎,686.5335882749326,20776
160,0,"其他关节疾患,不可归类在他处者",690.0617506631299,31668
161,0,其他关节病,1078.8955780164245,11081
162,0,其他内分泌疾患,1272.2049408284024,2366
163,0,其他内分泌腺和有关结构的恶性肿瘤,6221.04875,112
164,0,其他内部假体装置、植入物和移植物的并发症,1514.595081967213,1708
165,0,其他内部器官的烧伤和腐蚀伤,1668.557142857143,49
166,0,其他再生障碍性贫血,2562.460912990196,11424
167,0,其他凝血缺陷,2399.8021105527637,1393
168,0,其他分枝杆菌感染,4637.231315789474,532
169,0,其他功能性肠疾患,1641.1164975609754,7175
170,0,"其他动物源性细菌性疾病,不可归类在他处者",2282.1013513513512,259
171,0,其他动脉瘤,4196.5996231884055,2415
172,0,其他助产的单胎分娩	,652.3617647058824,119
173,0,其他医疗照顾,1848.781438672338,501935
174,0,其他协调缺乏,3158.7545454545457,231
175,0,其他单神经病,1129.056660899654,4046
176,0,其他原因不明确和未特指原因的死亡,940.4683333333332,84
177,0,"其他原虫性疾病,不可归类在他处者",2132.5,7
178,0,其他原虫性肠道疾病,4308.0,14
179,0,其他变形性背部病,3081.441343589744,6825
180,0,其他听觉丧失,1543.01246868476,13412
181,0,其他吸虫感染,2451.2966666666666,42
182,0,其他周围血管疾病,2304.093375,560
183,0,其他呼吸性疾患,870.0229648887973,271936
184,0,其他和不明确部位的恶性肿瘤,4289.362,1715
185,0,其他和不明确部位的继发性恶性肿瘤,5217.459489916963,5901
186,0,其他和原因不明的发热,2274.990625869263,5033
187,0,其他和未特指原因引起的脑膜炎,3718.8487499999997,168
188,0,其他和未特指原因所致的新生儿黄疸,1429.082819591103,31157
189,0,其他和未特指物质的毒性效应,1007.5144736842104,266
190,0,其他和未特指的传染病,1687.5246763754046,4326
191,0,其他和未特指的传染病和寄生虫病的后遗症,603.6353034300791,2653
192,0,其他和未特指的梅毒,1132.1205882352942,476
193,0,其他和未特指胸内器官损伤,3264.4025037936267,4613
194,0,其他和未特指部位的动态未定或动态未知的肿瘤,2883.002912912913,6993
195,0,其他和未特指部位的原位癌,3058.7799999999997,210
196,0,其他和未特指部位的良性肿瘤,2472.921592920354,3955
197,0,其他器官的结核,4925.727155963303,4578
198,0,其他围生期的消化系统疾患,2616.793943661972,994
199,0,其他围生期血液疾患,3291.3006060606062,231
200,0,其他坏死性血管病,3370.4256617647056,1904
201,0,其他外因的效应,2421.0345341614907,1127
202,0,其他外部物质引起的呼吸性情况,3177.930175438596,399
203,0,其他多神经病,2416.332182163188,3689
204,0,其他大疱性疾患,414.58876543209874,567
205,0,其他头痛综合征,2048.6957970505614,19936
206,0,其他女性盆腔炎性疾病	,738.3259425107548,71596
207,0,其他局限性结缔组织疾患,2719.3253333333337,105
208,0,其他幼年型骨软骨病,606.7418181818182,77
209,0,其他异常的子宫和阴道出血	,1196.2493417256753,26691
210,0,其他心境[情感]障碍,1815.9666666666665,21
211,0,其他心律失常,2798.196817975488,15421
212,0,其他心理发育障碍,2437.5,28
213,0,其他必要的预防措施,319.0,14
214,0,其他急性播散性脱髓鞘,3671.252076923077,910
215,0,其他急性病毒性肝炎,2457.665238095238,294
216,0,其他急性缺血性心脏病,1976.6562962962962,8883
217,0,其他性传播的衣原体疾病,476.82,35
218,0,其他慢性阻塞性肺病,1334.9733702012045,654409
