,basy_yljgid,basy_caption,basy_dept_adrresscode,basy_yydj
0,JG_510000011470,南江县长赤镇傅家卫生院,511922,未评级未评等
1,JG_510000008954,阆中市思依镇枣碧卫生院,511381,未评级未评等
5,JG_510000009324,宜宾市叙州区樟海镇隆兴卫生院,511504,未评级未评等
15,JG_510000006212,梓潼县许州镇中心卫生院,510725,未评级未评等
28,JG_510000003086,宜宾兴添医院,511503,未评级未评等
36,JG_510000011994,成都东部新区董家埂卫生院,510197,未评级未评等
44,JG_510000005350,合江县福宝中心卫生院,510522,未评级未评等
75,JG_510000000998,成都铁路通信设备厂职工医院,510107,一级未评等
76,JG_510000010844,雅安市名山区新店镇卫生院,511803,未评级未评等
83,JG_510000007586,乐山市五通桥区中医医院,511112,二级甲等
107,JG_510000001098,成都理工大学医院,510108,未评级未评等
108,JG_510000009610,筠连县沐爱镇中心卫生院,511527,未评级未评等
109,JG_510000006456,广元市利州区嘉陵街道千佛社区卫生服务中心,510802,未评级未评等
110,JG_510000005910,绵阳市游仙区游仙街道社区卫生服务中心,510704,未评级未评等
113,JG_510000007466,隆昌市石碾镇中心卫生院,511083,未评级未评等
131,JG_510000190250,平昌爱民医院,511923,一级乙等
132,JG_510000005784,绵竹市什地镇卫生院,510683,未评级未评等
136,JG_510000203476,蓬溪康宁精神病医院,510921,二级未评等
139,JG_510000002566,乐山鲍氏医疗投资有限公司乐山嘉定医院,511102,二级未评等
145,JG_510000918181,渠县济兴医院,511725,未评级未评等
146,JG_510000000684,成都市青羊区妇幼保健计划生育服务中心（成都市青羊区妇幼保健院）,510105,二级甲等
149,JG_510000011418,南江县集州中心卫生院,511922,未评级未评等
153,JG_510000013132,稻城县噶通镇卫生院,513337,未评级未评等
156,JG_510000009508,江安县下长镇卫生院,511523,未评级未评等
159,JG_510000003556,巴中市中心医院(巴中市人民医院),511902,三级甲等
321,JG_510000013776,布拖县拖觉镇中心卫生院,513429,未评级未评等
324,JG_510000005814,绵竹市九龙镇卫生院,510683,未评级未评等
333,JG_510000900749,成都西南儿童医院,510107,二级未评等
335,JG_510000010648,渠县大义乡卫生院,511725,未评级未评等
