,basy_yljgid,basy_caption,basy_dept_adrresscode,basy_yydj
0,JG_510000005374,合江县荔江镇虎头卫生院,510522,未评级未评等
2,JG_510000011814,安岳县悦来乡卫生院,512021,未评级未评等
3,JG_510000005388,合江县大桥镇佛荫卫生院,510522,未评级未评等
7,JG_510000013096,乡城县正斗乡卫生院,513336,未评级未评等
8,JG_510000006308,北川羌族自治县马槽乡卫生院,510726,未评级未评等
9,JG_510000012686,道孚县泰宁镇卫生院,513326,未评级未评等
12,JG_510000005114,攀枝花市仁和区前进镇卫生院（攀枝花市仁和区前进镇妇幼保健站）,510411,未评级未评等
13,JG_510000012216,九寨沟县保华乡卫生院,513225,未评级未评等
14,JG_510000200418,成都市青羊区第九人民医院,510105,二级乙等
16,JG_510000904173,成都康伯尔医院,510199,未评级未评等
17,JG_510000007596,乐山市五通桥区竹根镇杨柳卫生院,511112,未评级未评等
20,JG_510000003540,芦山县中医院,511826,未评级未评等
21,JG_510000905289,德阳康成中医医院,510603,一级未评等
27,JG_510000903873,南部仁何医院,511321,二级未评等
29,JG_510000003608,成都市第六人民医院资阳分院,512002,未评级未评等
33,JG_510000013930,昭觉县谷曲乡卫生院,513431,未评级未评等
38,JG_510000173942,达州市达川区新桥社区卫生服务站,511703,未评级未评等
39,JG_510000177038,成都市龙泉驿区第二人民医院,510112,二级甲等
40,JG_510000159848,合江县白沙镇参宝卫生院,510522,未评级未评等
44,JG_510000012382,马尔康县康山乡卫生院,513201,未评级未评等
46,JG_510000011044,石棉县永和乡卫生院,511824,未评级未评等
52,JG_510000004270,成都市新都区斑竹园街道马家卫生院,510114,未评级未评等
55,JG_510000930279,爱康精神专科医院,513301,未评级未评等
58,JG_510000915655,达川国健医院,511705,一级未评等
59,JG_510000004308,成都市新都区军屯镇卫生院,510114,未评级未评等
60,JG_510000006382,江油市新安医养中心（江油市义新卫生院）,510781,未评级未评等
61,JG_510000910329,泸州中科胃肠病医院,510504,二级未评等
62,JG_510000913153,成都西囡妇科医院,510104,二级未评等
63,JG_510000002452,内江鑫康济众医院,511002,一级甲等
64,JG_510000012084,理县米亚罗中心卫生院,513222,未评级未评等
65,JG_510000189480,博大医院,511702,一级未评等
69,JG_510000X74572,成都高新熙之环亚医疗美容医院,510199,未评级未评等
70,JG_510000176720,安岳普爱医养医院瓦店分院,512021,一级未评等
71,JG_510000202014,会理和昌中西医结合医院,513402,一级未评等
72,JG_510000X56101,成都武侯附大强直类凤湿医院,510107,一级未评等
73,JG_510000001242,金堂县川锅医院,510121,一级乙等
74,JG_510000012454,若尔盖县唐克镇中心卫生院,513232,未评级未评等
75,JG_510000003876,巴塘县中藏医院,513335,二级甲等
76,JG_510000006082,盐亭县高渠镇毛公卫生院,510723,未评级未评等
77,JG_510000006030,三台县古井镇下新卫生院,510722,未评级未评等
78,JG_510000006226,梓潼县许州镇仙峰卫生院,510725,未评级未评等
80,JG_510000006018,三台县新鲁镇云同卫生院,510722,未评级未评等
81,JG_510000005982,三台县永明镇建设卫生院,510722,未评级未评等
82,JG_510000147388,四川劳研科技有限公司职业病防治院,510402,未评级未评等
83,JG_510000005930,三台县芦溪镇花园卫生院,510722,未评级未评等
85,JG_510000013840,金阳县南瓦镇卫生院,513430,未评级未评等
86,JG_510000006140,盐亭县岐伯镇茶亭卫生院,510723,未评级未评等
87,JG_510000006074,盐亭县文通镇石牛庙卫生院,510723,未评级未评等
90,JG_510000007824,峨边彝族自治县平等乡卫生院,511132,未评级未评等
92,JG_510000007778,沐川县沐溪镇幸福卫生院,511129,未评级未评等
94,JG_510000006032,三台县鲁班镇幸福卫生院,510722,未评级未评等
95,JG_510000187914,四川爱琪康医疗投资管理有限公司新都东湖康复医院,510114,一级未评等
97,JG_510000012592,丹巴县甲居镇卫生院,513323,未评级未评等
98,JG_510000005958,三台县新德镇永新卫生院,510722,未评级未评等
100,JG_510000X76112,资阳光正新视界眼科医院,512002,未评级未评等
101,JG_510000001556,自贡博爱医院,510302,一级甲等
103,JG_510000003964,盐源县妇幼保健计划生育服务中心 盐源县妇幼保健院,513423,二级乙等
104,JG_510000926975,成都尺度美容医院,510104,未评级未评等
105,JG_510000910484,泸州富康医院,510502,一级未评等
106,JG_510000005146,盐边县共和中心卫生院,510422,未评级未评等
108,JG_510000900038,成都锦江泰三堂太古中医医院,510104,一级未评等
109,JG_510000010978,汉源县晒经乡卫生院,511823,未评级未评等
110,JG_510000X10085,宜宾荷兴医院,511502,一级未评等
111,JG_510000003634,乐至县人民医院,512022,三级乙等
