basy_yljgid,basy_caption,basy_yydj,flag
510000000002 ,南充康健医院,未定级未定等,0
510000000006 ,成都平安医院,二级甲等,0
510000000008 ,遂宁安居新安医院,二级乙等,0
510000000590 ,成都成华南光医院,未定级未定等,0
510000000594 ,四川省第四人民医院,三级甲等,4
510000000596 ,成都市公共卫生临床医疗中心,三级甲等,0
510000000598 ,成都市第二人民医院,三级甲等,0
510000000600 ,成都市中西医结合医院,三级甲等,0
510000000602 ,成都市锦江区妇幼保健院,三级乙等,0
510000000604 ,成都肛肠专科医院,三级甲等,0
510000000606 ,成都骨科医院,二级甲等,2
510000000608 ,成都锦欣妇产科医院,二级未定等,0
510000000610 ,成都锦欣中医医院,未定级未定等,0
510000000612 ,成都锦一医院,一级未定等,0
510000000620 ,成都锦欣精神病医院,二级甲等,0
510000000622 ,成都锦欣沙河堡医院,二级乙等,0
510000000632 ,成都老年康疗院,二级甲等,0
510000000650 ,成都中山骨科医院,二级甲等,2
510000000652 ,四川省医学科学院·四川省人民医院,三级甲等,4
510000000654 ,四川省第五人民医院,二级甲等,4
510000000660 ,西南财经大学医院,未定级未定等,0
510000000666 ,成都市德康医院,二级甲等,0
510000000672 ,成都市妇女儿童中心医院,三级甲等,0
510000000676 ,成都市第三人民医院,三级甲等,4
510000000682 ,成都市青羊区中医医院（青羊区第六人民医院）,三级乙等,0
510000000684 ,成都市青羊区妇幼保健计划生育服务中心（成都市青羊区妇幼保健院）,二级甲等,0
510000000686 ,成都儿童专科医院,二级甲等,0
510000000688 ,成都第一骨科医院（青羊区医疗中心医院）,三级乙等,2
510000000692 ,成都满地可医院（四川国济甲亢病医院）,二级乙等,0
510000000696 ,成都青羊成航医院,未定级未定等,0
510000000708 ,成都送子鸟医院（成都丽人医院）,未定级未定等,0
510000000714 ,成都大华医学美容医院,未定级未定等,1
510000000716 ,成都瑞恩糖尿病医院,未定级未定等,0
510000000718 ,成都青羊厚济医院,未定级未定等,0
510000000722 ,成都心血管病医院,未定级未定等,0
510000000730 ,成都银康银屑病医院（成都银康银屑病医院互联网医院）,二级未定等,0
510000000740 ,成都曙光医院,未定级未定等,0
510000000750 ,成都金沙医院（成都妇女儿童医院）,二级乙等,0
510000000764 ,成飞医院,三级甲等,0
510000000782 ,成都风湿医院,二级未定等,0
510000000800 ,四川省林业中心医院,二级甲等,0
510000000802 ,四川省建筑医院,二级甲等,0
510000000806 ,西华大学医院,一级未定等,0
510000000808 ,成都大学附属医院,三级甲等,0
510000000810 ,中铁二局集团中心医院,二级甲等,0
510000000812 ,四川省妇幼保健院,三级甲等,4
510000000814 ,成都中医药大学附属医院,三级甲等,4
510000000818 ,四川天祥骨科医院,二级甲等,4
510000000820 ,成都市第八人民医院,三级未定等,0
510000000824 ,成都市第四人民医院,三级甲等,0
510000000832 ,成都市金牛区中医医院,二级甲等,0
510000000834 ,成都市金牛区人民医院,三级乙等,0
510000000836 ,成都市金牛区骨伤医院,二级甲等,2
510000000838 ,成都市金牛区驷马桥曹家巷社区卫生服务中心,未定级未定等,0
510000000840 ,成都市金牛区妇幼保健院,三级乙等,0
510000000844 ,成都同沁医院,一级未定等,0
510000000846 ,成都恒博医院,一级未定等,0
510000000848 ,成都金牛关怀老年病医院,二级未定等,0
510000000850 ,成都西区医院,三级甲等,4
510000000856 ,成都复兴医院,一级未定等,0
510000000870 ,成都西部甲状腺医院,一级未定等,0
510000000872 ,成都军研糖尿病医院,二级未定等,0
510000000884 ,成都普瑞眼科医院,未定级未定等,3
510000000886 ,成都得乐气管炎哮喘研究所附属医院,一级未定等,0
510000000894 ,成都育才骨科医院,二级未定等,2
510000000902 ,中国五冶集团有限公司医院,二级甲等,0
510000000928 ,四川省生殖健康研究中心附属生殖专科医院,未定级未定等,0
510000000932 ,四川省中西医结合医院（四川省中医药科学院附属医院）,三级甲等,4
510000000934 ,成都中医药大学附属生殖妇幼医院,未定级未定等,4
510000000936 ,三六三医院,三级甲等,0
510000000938 ,科学园医院,一级未定等,0
510000000940 ,四川何氏骨科医院,二级甲等,4
510000000942 ,四川大学华西第二医院,三级甲等,4
510000000944 ,西藏自治区人民政府驻成都办事处医院,三级甲等,0
510000000946 ,四川省肿瘤医院,三级甲等,4
510000000948 ,四川省骨科医院,三级甲等,4
510000000950 ,成都市第七人民医院,三级甲等,0
510000000952 ,四川大学华西口腔医院,三级甲等,4
510000000954 ,四川大学华西第四医院,三级甲等,4
510000000956 ,四川大学华西医院,三级甲等,4
510000000960 ,成都市武侯区第二人民医院,一级乙等,0
510000000964 ,四川省交通厅公路局成都医院,未定级未定等,0
510000000966 ,成都市武侯区人民医院,二级甲等,0
510000000976 ,成都润禾皮肤病专科医院,未定级未定等,0
510000000980 ,四川奥斯迪康骨医院,二级甲等,2
510000000992 ,成都医学院附属不孕不育医院（非直属）,未定级未定等,0
510000000998 ,成都铁路通信设备厂职工医院,未定级未定等,0
510000001004 ,成都金桥医院,一级未定等,0
510000001012 ,中国人民解放军5701厂医院,二级乙等,0
510000001014 ,成都武侯益民德医院,未定级未定等,0
510000001018 ,成都体育学院附属体育医院,三级甲等,4
510000001046 ,四川电力医院,二级甲等,0
510000001048 ,核工业四一六医院,三级甲等,0
510000001050 ,电子科技大学医院,未定级未定等,0
510000001052 ,四川地质医院,未定级未定等,0
510000001054 ,成都市第六人民医院,三级甲等,0
510000001056 ,成都新华医院,三级乙等,0
510000001066 ,成都市成华区妇幼保健院,二级甲等,0
510000001072 ,前锋医院,未定级未定等,0
510000001074 ,成都成华三松医院,未定级未定等,0
510000001076 ,华川医院,未定级未定等,0
