,医院类型,basy_zyzd_jbbm,basy_yydj,耗材费,count
0,其他,(神经)鞘脂类代谢紊乱和其他脂贮积疾患,一级未评等,576.0233333333333,3
1,其他,(神经)鞘脂类代谢紊乱和其他脂贮积疾患,三级乙等,323.3,3
2,其他,(神经)鞘脂类代谢紊乱和其他脂贮积疾患,三级未评等,234.3,1
3,其他,(神经)鞘脂类代谢紊乱和其他脂贮积疾患,三级甲等,2701.221875,16
4,其他,(神经)鞘脂类代谢紊乱和其他脂贮积疾患,二级未评等,3505.0,3
5,其他,(神经)鞘脂类代谢紊乱和其他脂贮积疾患,未评级未评等,663.0,1
6,其他,Q热,三级甲等,585.5975,4
7,其他,一氧化碳的毒性效应,三级乙等,485.83950000000004,40
8,其他,一氧化碳的毒性效应,三级未评等,460.38272727272727,11
9,其他,一氧化碳的毒性效应,三级甲等,1095.5696666666668,240
10,其他,一氧化碳的毒性效应,二级乙等,226.85,1
11,其他,一氧化碳的毒性效应,二级甲等,649.065,18
12,其他,三叉神经疾患,一级未评等,1320.81,5
13,其他,三叉神经疾患,三级乙等,9921.90674796748,123
14,其他,三叉神经疾患,三级未评等,3825.889722222222,36
15,其他,三叉神经疾患,三级甲等,13948.856015831134,1137
16,其他,三叉神经疾患,二级乙等,4070.4425,8
17,其他,三叉神经疾患,二级未评等,13902.698,15
18,其他,三叉神经疾患,二级甲等,4019.9683333333337,12
19,其他,三叉神经疾患,未评级未评等,2676.614,15
20,其他,上呼吸道的其他疾病,一级未评等,1339.4,2
21,其他,上呼吸道的其他疾病,一级甲等,326.3833333333333,6
22,其他,上呼吸道的其他疾病,三级乙等,1221.9834020618557,291
23,其他,上呼吸道的其他疾病,三级未评等,967.37968,125
24,其他,上呼吸道的其他疾病,三级甲等,1649.7611797752809,1780
25,其他,上呼吸道的其他疾病,二级乙等,1158.5956666666668,30
26,其他,上呼吸道的其他疾病,二级未评等,1091.8006878306878,189
27,其他,上呼吸道的其他疾病,二级甲等,898.4846575342466,73
28,其他,上呼吸道的其他疾病,未评级未评等,354.3777777777778,9
29,其他,上消化道的其他先天性畸形,三级乙等,536.4375,4
30,其他,上消化道的其他先天性畸形,三级甲等,3332.2737500000003,56
31,其他,上消化道的其他先天性畸形,二级未评等,2639.1875,16
32,其他,上消化道的其他先天性畸形,二级甲等,3337.245,2
33,其他,上肢单神经病,一级未评等,427.52666666666664,18
34,其他,上肢单神经病,一级甲等,427.1,2
35,其他,上肢单神经病,三级乙等,716.9815648854963,262
36,其他,上肢单神经病,三级未评等,4040.660853658537,82
37,其他,上肢单神经病,三级甲等,1762.599591503268,1224
38,其他,上肢单神经病,二级乙等,513.746923076923,13
39,其他,上肢单神经病,二级未评等,1354.218,10
40,其他,上肢单神经病,二级甲等,1708.682727272727,88
41,其他,上肢单神经病,未评级未评等,746.61,30
42,其他,上肢损伤后遗症,一级未评等,2511.099583333333,24
43,其他,上肢损伤后遗症,一级甲等,2522.831818181818,11
44,其他,上肢损伤后遗症,三级乙等,2209.9510784313725,102
45,其他,上肢损伤后遗症,三级未评等,1861.1814545454545,55
46,其他,上肢损伤后遗症,三级甲等,4209.0988209606985,229
47,其他,上肢损伤后遗症,二级乙等,3833.894333333333,30
48,其他,上肢损伤后遗症,二级未评等,4031.6666666666665,12
49,其他,上肢损伤后遗症,二级甲等,4194.5874747474745,99
50,其他,上肢损伤后遗症,未评级未评等,1291.7144827586208,58
51,其他,"上肢的其他损伤,水平未特指",一级未评等,485.0729166666667,24
52,其他,"上肢的其他损伤,水平未特指",一级甲等,411.044,10
53,其他,"上肢的其他损伤,水平未特指",三级乙等,996.7020253164558,79
54,其他,"上肢的其他损伤,水平未特指",三级未评等,791.444074074074,27
55,其他,"上肢的其他损伤,水平未特指",三级甲等,2022.6495945945946,148
56,其他,"上肢的其他损伤,水平未特指",二级乙等,1452.7488,25
57,其他,"上肢的其他损伤,水平未特指",二级未评等,1626.6457142857143,7
58,其他,"上肢的其他损伤,水平未特指",二级甲等,754.1945977011495,87
59,其他,"上肢的其他损伤,水平未特指",未评级未评等,812.5677777777778,27
60,其他,上肢短小缺陷,三级甲等,1617.25,1
61,其他,"上肢骨折,水平未特指",一级未评等,5733.7,1
62,其他,"上肢骨折,水平未特指",一级甲等,9429.17,1
63,其他,"上肢骨折,水平未特指",三级甲等,17579.16,1
64,其他,"上肢骨折,水平未特指",二级甲等,5226.47,1
65,其他,下泌尿道结石	,一级乙等,1263.8070212765958,47
66,其他,下泌尿道结石	,一级未评等,775.6934579439252,107
67,其他,下泌尿道结石	,一级甲等,969.7942857142858,105
68,其他,下泌尿道结石	,三级乙等,783.4449838187702,1236
69,其他,下泌尿道结石	,三级未评等,712.2177659574468,282
70,其他,下泌尿道结石	,三级甲等,1004.0860910518054,1911
71,其他,下泌尿道结石	,二级乙等,727.4095535714285,224
72,其他,下泌尿道结石	,二级未评等,689.7004000000001,100
73,其他,下泌尿道结石	,二级甲等,837.1833540372671,483
74,其他,下泌尿道结石	,未评级未评等,665.4917391304348,161
75,其他,下肢(不包括足)肌腱端病,一级未评等,289.2,1
76,其他,下肢(不包括足)肌腱端病,三级乙等,5403.705517241379,29
77,其他,下肢(不包括足)肌腱端病,三级未评等,5799.325000000001,4
78,其他,下肢(不包括足)肌腱端病,三级甲等,5113.442056074767,107
79,其他,下肢(不包括足)肌腱端病,二级乙等,881.025,2
80,其他,下肢(不包括足)肌腱端病,二级甲等,2329.0714285714284,7
81,其他,下肢(不包括足)肌腱端病,未评级未评等,889.76125,8
82,其他,下肢单神经病,一级未评等,359.2,2
83,其他,下肢单神经病,一级甲等,241.95,2
84,其他,下肢单神经病,三级乙等,803.1505882352941,17
85,其他,下肢单神经病,三级未评等,924.6057142857143,7
86,其他,下肢单神经病,三级甲等,1672.7388461538462,78
87,其他,下肢单神经病,二级乙等,265.76,1
88,其他,下肢单神经病,二级未评等,1743.5633333333335,3
89,其他,下肢单神经病,二级甲等,951.256,5
90,其他,下肢单神经病,未评级未评等,564.4,2
91,其他,下肢损伤后遗症,一级未评等,6274.116562499999,32
92,其他,下肢损伤后遗症,一级甲等,15373.82625,8
93,其他,下肢损伤后遗症,三级乙等,6337.338623188406,138
94,其他,下肢损伤后遗症,三级未评等,9398.42625,40
95,其他,下肢损伤后遗症,三级甲等,7457.648070866142,254
96,其他,下肢损伤后遗症,二级乙等,7667.62,28
97,其他,下肢损伤后遗症,二级未评等,9444.035714285714,14
98,其他,下肢损伤后遗症,二级甲等,7410.611549295775,71
99,其他,下肢损伤后遗症,未评级未评等,3487.6766666666667,60
100,其他,"下肢溃疡,不可归类在他处者",一级乙等,1821.35,1
101,其他,"下肢溃疡,不可归类在他处者",一级未评等,4199.13,3
102,其他,"下肢溃疡,不可归类在他处者",一级甲等,1068.915,6
103,其他,"下肢溃疡,不可归类在他处者",三级乙等,2209.187016129032,124
104,其他,"下肢溃疡,不可归类在他处者",三级未评等,4802.5,14
105,其他,"下肢溃疡,不可归类在他处者",三级甲等,3458.952182163188,527
106,其他,"下肢溃疡,不可归类在他处者",二级乙等,1419.7747826086957,23
107,其他,"下肢溃疡,不可归类在他处者",二级未评等,2150.8828205128207,39
108,其他,"下肢溃疡,不可归类在他处者",二级甲等,1594.1195833333334,24
109,其他,"下肢溃疡,不可归类在他处者",未评级未评等,1530.866,5
110,其他,"下肢的其他损伤,水平未特指",一级乙等,452.8,2
111,其他,"下肢的其他损伤,水平未特指",一级未评等,372.40109589041094,73
