,医院名称,平均OE值
2071,成都市第四人民医院（精神卫生中心 电子科技大学成都脑科学研究院临床医院 第四人民医院互联网医院,2.717788151
279,什邡岷德烧伤医院,2.647209585
2150,成都新生堂妇女儿童医院,2.371959008
969,四川省监狱管理局中心医院,2.368694448
3490,达州宜心精神病医院,2.332290639
2181,成都西区安琪儿妇产医院（成都西区安琪儿妇产医院互联网医院）,2.278080787
83,中国五冶集团有限公司医院,2.176832
1990,成都安琪儿妇产医院,2.090410074
3101,自贡怡然精神病医院,1.986755438
2232,成都高新米兰柏羽医学美容医院,1.984286756
2211,成都顾连锦宸康复医院,1.897048946
2260,攀钢集团成都医院,1.725307656
965,四川省林业中心医院,1.698746881
2089,成都市金牛区人民医院（四川省人民医院金牛医院 成都市脑外伤抢救中心 成都市金牛区人民医院互联网医院）,1.661757169
3654,邛崃市中医医院,1.626912311
2070,成都市第六人民医院,1.60653833
1996,成都市公共卫生临床医疗中心,1.593855395
3057,自贡市传染病医院,1.544745371
1942,成都中医哮喘医院（成都中医肺科医院 成都中医哮喘医院互联网医院）,1.518667611
2149,成都新华医院,1.501318348
2188,成都郫都正诚医院,1.487835493
2264,新津精准肿瘤医院,1.484264798
3354,西南兵工成都医院,1.477050264
1765,广安市广安区花桥中心卫生院,1.475359666
2068,成都市第五人民医院,1.471957312
3695,邻水县第二人民医院,1.43989307
984,四川赫尔森康复医院,1.436165483
1059,大邑县第二人民医院,1.428122818
2201,成都锦江大观医院,1.427748711
2047,成都市新都区石板滩街道社区卫生服务中心,1.425486847
1980,成都城东康复医院,1.423476972
1516,崇州恒德医院,1.422930385
3536,达州市通川区人民医院,1.41595508
1841,彭州市第二人民医院,1.413674563
2187,成都誉美医院,1.412884667
3010,绵阳市第三人民医院,1.411767494
1677,广元川北糖尿病专科医院,1.411044838
2083,成都市郫都区第二人民医院,1.408732667
3254,蒲江县人民医院,1.389849772
124,中铁二局集团医院,1.383924276
2065,成都市第七人民医院,1.383677853
1914,慈恒凉山精神卫生防治医院,1.381632028
2617,渠县康缘精神病医院,1.372965384
75,三台县西平镇中心卫生院,1.372073628
210,乐山老年病专科医院,1.368666545
2198,成都锦欣妇产科医院,1.366039764
926,四川大学华西医院,1.353190819
1495,崇州二医院,1.348230504
3657,邛崃市医疗中心医院,1.334236422
2207,成都阴氏骨科医院,1.329624405
3540,达州德仁中医医院,1.328619549
2066,成都市第三人民医院,1.326339599
2129,成都市龙泉驿区第一人民医院,1.321830108
2134,成都平安医院,1.318973954
1981,成都城南金花医院,1.318049191
2167,成都玛丽亚天府妇产儿童医院,1.315190216
3253,蒲江县中医医院,1.310547934
1918,成都东区医院,1.309734008
552,凉山高新肿瘤医院,1.307406305
2054,成都市温江区人民医院,1.300352218
2147,成都新世纪妇女儿童医院（成都新世纪妇女儿童医院互联网医院）,1.295866841
928,四川大学华西天府医院,1.286632747
653,南充市嘉陵区人民医院,1.286259889
2258,攀钢西昌医院,1.280713859
2829,眉山心脑血管病医院,1.277470943
3356,西南医科大学附属医院,1.276434187
1922,成都东篱医院,1.264127837
2522,泸县人民医院,1.258995084
631,南充临江医院,1.254157782
1520,崇州蜀州颈腰病医院,1.24917783
3649,邛崃东华医院,1.246622261
185,乐山市市中区肿瘤医院（乐山市市中区第二人民医院）,1.245768825
2262,新津仁爱医院,1.244178239
1983,成都大学附属医院（成都大学附属医院互联网医院）,1.243760416
2189,成都金沙医院（成都妇女儿童医院）,1.239803412
1989,成都安定医院,1.236287204
2184,成都西南脑科医院,1.236185342
2144,成都成华时友东区医院,1.234540242
2019,成都市成华区第三人民医院,1.233034507
647,南充市中心医院,1.23071141
2035,成都市新都区人民医院,1.225252227
2346,核工业四一六医院,1.222899408
958,四川省医学科学院·四川省人民医院,1.221427273
820,南部骨科医院,1.217726178
3608,遂宁市中心医院,1.213281705
5,万源市中心医院,1.20379116
2203,成都长江医院,1.202909713
976,四川省肿瘤医院,1.201844285
2921,米诺娃妇女儿童医院,1.199723582
3105,自贡高新肿瘤医院,1.199039392
2049,成都市新都区第二人民医院,1.195842299
947,四川护理职业学院附属医院（四川省第三人民医院）,1.19569763
979,四川结石病医院,1.194641369
1500,崇州市中医医院,1.194573904
2881,简阳市人民医院,1.193869465
3678,邻水县人民医院,1.192614656
1979,成都嘉事康复医院,1.191197105
2719,电子科技大学医院,1.178014549
3268,蒲江通康中西医结合医院,1.16932039
982,四川蓝生脑科医院,1.168718903
3488,达州南方医院,1.16605854
2720,电子科技大学医院（清水河校区）,1.162270587
3080,自贡市第一人民医院,1.154486269
2172,成都第一骨科医院（青羊区医疗中心医院）,1.139705735
1034,大竹慈卫医院,1.138933273
977,四川省骨科医院,1.136253523
1992,成都宝石花医院,1.133994804
84,中国人民解放军第五七O一工厂医院,1.133845809
2074,成都市郫都区人民医院,1.133370634
2020,成都市新津区中医医院,1.133005055
1958,成都体育学院附属体育医院,1.129817978
930,四川大学华西第四医院,1.124650963
3083,自贡市第四人民医院,1.123143518
2115,成都市青羊区新华少城社区卫生服务中心,1.114236782
2702,甘孜藏族自治州人民医院,1.113901751
2069,成都市第八人民医院（成都市慢性病医院   成都市第八人民医院互联网医院）,1.113180928
2140,成都成华南光医院,1.111155815
1969,成都医学院第一附属医院,1.104902113
291,什邡市第四人民医院,1.103833714
892,合江县人民医院,1.102267934
2739,盐亭县肿瘤医院,1.101435886
3177,荣县人民医院,1.099820533
1952,成都二零四医院,1.098432277
1065,大邑希尔医院,1.098358746
1050,大邑县人民医院,1.090982644
1959,成都保髋股骨头骨科医院（成都保髋股骨头骨科医院互联网医院）,1.089550989
2637,渠县第二人民医院,1.087814892
1966,成都军研糖尿病医院,1.084438531
949,四川泰康医院,1.084095766
3703,都江堰宏惠医院,1.080397998
1953,成都五块石医院,1.079565044
3012,绵阳市肿瘤医院,1.075138146
1823,彭州四方医院,1.074549322
3081,自贡市第三人民医院,1.071764797
1171,安岳县李家镇中心卫生院,1.068301631
983,四川西婵泛亚整形美容医院,1.067351015
1833,彭州市天彭街道安康护理院,1.066309111
1912,志辉医院,1.066161278
1967,成都冬雷脑科医院,1.065675134
3743,金堂县第三人民医院,1.061868794
3084,自贡市精神卫生中心,1.057779895
2939,绵竹仁爱医院,1.057516012
1934,成都东部新区石板中心卫生院,1.056354536
85,中国十九冶集团有限公司职工医院,1.056153191
2602,渠县人民医院,1.053554673
3728,酒城全科中医医院,1.052090311
356,仪陇县人民医院,1.051518101
1377,射洪市人民医院,1.050870561
2261,攀钢集团成都钢铁有限责任公司青白江医院,1.050083994
1372,富顺西区老年病医院,1.049453414
944,四川宝石花医院,1.046854218
3716,都江堰市第二人民医院,1.044513866
1142,安岳县人民医院,1.043100094
1937,成都东部新区第二人民医院,1.043093702
961,四川省司法警官总医院,1.041039841
2967,绵阳市中心医院,1.038317266
960,四川省南充精神卫生中心,1.037250376
1523,川北医学院附属医院,1.035025817
964,四川省建筑医院,1.033270856
3184,荣县新城医院,1.030954789
3549,达州骨科医院,1.030922457
1282,宜宾民心创伤骨科医院,1.028749858
3263,蒲江县西来公立中心卫生院,1.027609967
2575,泸州龙马潭爱尔眼科医院,1.02534287
980,四川绵阳四0四医院,1.021128898
1973,成都双楠医院,1.019957968
3669,邛崃市第二人民医院（成都市第三人民医院邛崃医院）,1.019805749
2163,成都满地可医院（四川国济甲亢病医院）,1.017333361
943,四川奥斯迪康骨医院,1.015722396
1830,彭州市人民医院,1.014697807
2051,成都市武侯区第三人民医院,1.011103552
280,什邡市中医医院,1.011066568
2944,绵竹市人民医院（绵竹市人民医院互联网医院）,1.008290786
2197,成都锦欣中医医院,1.00756627
962,四川省地矿局四0五医院,1.005325229
1874,德阳市人民医院,1.005081618
2723,百草堂骨科医院,1.003673201
592,北城医院,1.003511664
3666,邛崃市文君社区卫生服务中心,1.002698777
219,乐至县人民医院,1.002137538
1987,成都天府新区顾连禾泰康复医院,1.000853134
3262,蒲江县第二人民医院（蒲江县寿安公立中心卫生院）,1.00005265
955,四川省交通医院,0.998615056
1501,崇州市人民医院,0.995177558
2067,成都市第二人民医院,0.994217482
2934,纳溪区护国中心卫生院（泸州市纳溪区第二人民医院）,0.991150252
2048,成都市新都区第三人民医院,0.990995258
2053,成都市温江区中医医院,0.990296329
3025,绵阳高新区医院,0.989602205
2465,江油市第四人民医院,0.988216675
2848,石渠县人民医院,0.987908207
242,九〇三医院,0.985792571
2728,盐亭县人民医院,0.984452866
231,乐至县良安镇中心卫生院（乐至县第三人民医院）,0.98376827
2013,成都市成华区中医医院,0.983760638
2073,成都市郫都区中医医院,0.982214668
957,四川省八一康复中心（四川省康复医院）,0.979767382
1177,安岳县永清镇中心卫生院,0.978858568
2259,攀钢集团总医院,0.978784942
3059,自贡市大安区人民医院（自贡市肿瘤医院）,0.978678457
1822,彭州同一医院,0.976166621
1802,开江县人民医院,0.975457249
2099,成都市青白江区人民医院,0.974999228
3013,绵阳市骨科医院,0.974100563
2186,成都西部痛风风湿医院（成都西部痛风风湿医院互联网医院）,0.973044023
959,四川省南充卫生学校附属医院,0.972635918
677,南充市身心医院,0.972630998
1825,彭州市中医医院,0.971964748
2906,简阳空分医院,0.97048327
1699,广元市昭化区人民医院,0.968430238
2549,泸州市中医医院,0.968256154
546,凉山彝族自治州第一人民医院（凉山州传染病医院）,0.966182922
3486,达州华康医院,0.965234484
968,四川省生殖健康研究中心附属生殖专科医院（四川省生殖健康研究中心附属生殖专科医院互宜达互联网医院）,0.963683372
3273,蓬安县人民医院,0.963655922
1000,大竹县中医院,0.96334324
1751,广安市广安区人民医院,0.96299021
3650,邛崃任氏骨科医院,0.962418402
3631,遂宁市第一人民医院,0.960219435
3554,通川区复兴镇卫生院,0.960008732
281,什邡市人民医院（什邡市人民医院互联网医院）,0.958677748
580,剑阁县白龙镇中心卫生院,0.957101068
3384,西藏自治区人民政府驻成都办事处医院,0.956855276
695,南充市高坪区人民医院,0.956619376
882,古蔺康兴妇产医院,0.95613194
1183,安岳县第三人民医院,0.954095784
967,四川省民政康复医院,0.953307347
2374,武胜县人民医院,0.9529535
819,南部良骨医院,0.949723175
204,乐山昶康心血管病医院,0.948997809
3395,资中县归德镇卫生院,0.947682231
1740,广安市中医医院,0.946176229
3665,邛崃市平乐镇中心卫生院（邛崃市第六人民医院）,0.945740577
1254,宜宾市第一人民医院,0.945495082
1818,开江复康医院有限公司,0.942964314
3067,自贡市沿滩区人民医院,0.942150248
3589,通江县至诚中心卫生院,0.94205872
1095,威远县中医医院,0.942055851
230,乐至县童家镇中心卫生院,0.941783823
3483,达州元达联合医院,0.941447277
1258,宜宾市第二人民医院,0.939251006
773,南部县人民医院,0.933919103
1760,广安市广安区悦来中心卫生院,0.933268663
929,四川大学华西第二医院,0.933142117
3361,西昌市人民医院,0.930617914
1466,峨眉山市人民医院,0.930511561
2615,渠县康宁中西医结合医院,0.9303988
4011,高县文江镇中心卫生院（高县第二人民医院）,0.930033453
1101,威远县新店镇卫生院,0.928597418
3609,遂宁市安居区三家镇中心卫生院,0.928433217
2160,成都武侯西南医院,0.927812879
2209,成都青城山医院,0.927669066
3165,苍溪瑞祥医院,0.927071499
3397,资中县明心寺镇卫生院,0.926516648
972,四川省第二中医医院,0.925802239
3211,营山县中医医院,0.925789275
1670,广元九龙骨科医院,0.923905526
2879,简阳市中医医院,0.92307698
765,南部仁爱胃肠医院,0.92175749
932,四川天府新区人民医院,0.920177882
560,剑阁县人民医院,0.919396618
2196,成都锦力骨科医院,0.919163358
816,南部嘉伦医院,0.918606252
1037,大英县人民医院,0.917575273
1460,岳池百兴医院,0.916247781
2226,成都高新同爱医院,0.916214841
2098,成都市青白江区中医医院,0.915053905
1314,宣汉县普光镇双河中心卫生院,0.9132558
1565,巴中鸿福妇产科医院,0.91294876
548,凉山彝族自治州第二人民医院,0.912465359
3407,资中县马鞍镇卫生院,0.910653162
1764,广安市广安区石笋中心卫生院,0.910490773
1327,宣汉县第三人民医院,0.910351266
1742,广安市前锋区人民医院,0.909431442
3676,邻水县中医医院,0.909083186
1819,开江康仁骨科医院,0.907701022
2807,眉山市东坡区血吸虫病防治站,0.907370228
2229,成都高新好医生第一医院,0.906994907
2082,成都市郫都区犀浦街道社区卫生服务中心（成都市郫都区中西医结合医院）,0.905975885
2635,渠县福善中医医院,0.90443521
3683,邻水县坛同镇卫生院,0.903856879
1519,崇州老年病医院,0.903743404
3387,资中县人民医院,0.903334504
1529,巴中嘉禾妇儿医院,0.902773294
49,三台县人民医院,0.902615507
3420,资阳市第一人民医院,0.901450671
206,乐山爱尔眼科医院,0.90141464
2386,武胜县第二人民医院（武胜县烈面镇中心卫生院）,0.900452158
3727,都江堰鹏程疼痛医院,0.900434788
1679,广元市中心医院,0.898557092
1138,安岳县中医医院,0.898464802
584,剑阁县第一人民医院,0.898238879
574,剑阁县武连镇中心卫生院,0.896638072
2238,攀枝花市中心医院,0.896618395
2565,泸州王氏骨科医院,0.895624429
924,四川友谊医院,0.895364916
2118,成都市龙泉驿区中医医院,0.895036438
490,内江市市中区人民医院,0.894397683
1968,成都北新医院,0.893758961
3065,自贡市妇幼保健院（自贡市妇女儿童医院）,0.893657375
1202,宏州医院,0.892051338
1947,成都中山骨科医院,0.891556984
3662,邛崃市夹关镇中心卫生院（邛崃市第三人民医院）,0.889983711
1329,宣汉县精神病医院,0.889552854
1328,宣汉县第二人民医院,0.888942619
2494,汶川县人民医院,0.88887346
1458,岳池川东医院（岳池红十字川东医院）,0.888510739
3418,资阳市人民医院,0.887908296
505,内江臻源精神病医院,0.886809885
956,四川省儿童医院（四川省儿童医学中心）,0.886155482
2274,旺苍县人民医院,0.88553439
3705,都江堰市中医医院,0.885290468
3706,都江堰市人民医院,0.884795333
2567,泸州福欣医院,0.884616464
3406,资中县陈家镇卫生院,0.883278419
2550,泸州市人民医院（泸州市红十字医院、泸州市江阳区人民医院）,0.882509029
1642,平昌县金宝社区卫生服务中心,0.882180565
1527,巴中博济医院,0.879662727
2092,成都市金牛区沙河源社区卫生服务中心（成都市金牛区金建人民医院）,0.878453847
1399,射洪市金华中心卫生院,0.878243494
3726,都江堰首嘉医院,0.877860924
3071,自贡市沿滩区妇幼保健院,0.877659342
3256,蒲江县大塘公立中心卫生院,0.877497299
2208,成都附大强直类凤湿骨科医院,0.87735891
1094,威远县严陵镇卫生院(威远县第二人民医院）,0.87560576
3724,都江堰杰琳康复医院,0.873307335
3653,邛崃品范医院,0.871312562
2085,成都市郫都区郫筒街道社区卫生服务中心,0.86945873
3175,荣县中医医院（荣县第二人民医院、荣县老年病医院）,0.869245325
923,四川友好医院,0.869026448
1584,巴州华龙医院,0.869022139
825,叙永县人民医院,0.867704824
3355,西南医科大学附属中医医院,0.867331461
