,basy_caption
0,万华医院
1,万源健安医院
2,万源市中心医院
3,万源市大竹中心卫生院
4,万源市庙子乡卫生院
5,万源市永宁镇卫生院
6,万源市竹峪中心卫生院
7,万源市罗文中心卫生院
8,万源市黄钟中心卫生院
9,三台华厦眼科医院
10,三台华康医院
11,三台县妇幼保健院
12,三台县富顺镇中心卫生院
13,三台县新德镇卫生院
14,三台县新鲁镇卫生院
15,三台怀康精神病院
16,中江县东北镇卫生院
17,中江县人民医院
18,中江县广福中心卫生院
19,中江县普兴镇卫生院
20,中江县永兴中心卫生院
21,中江县精神病医院（中江县安康医院，中江县第三人民医院）
22,中江悦乐精神病医院
23,丹巴县中藏医医院
24,丹巴县妇幼保健计划生育服务中心
25,丹棱县妇幼保健服务中心
26,丹棱百姓医院
27,乐山市五通桥区冠英镇卫生院
28,乐山市五通桥区西坝镇中心卫生院
29,乐山市五通桥区金粟镇卫生院
30,乐山市人民医院
31,乐山市市中区平兴镇卫生院
32,乐山市市中区水口镇卫生院
33,乐山市市中区青平镇卫生院
34,乐山明简医院
35,乐山沙湾管山医院
36,乐至为民精康医院有限公司
37,乐至县东山镇卫生院
38,乐至县南塔街道社区卫生服务中心
39,乐至县盛池镇卫生院
40,乐至县童家镇中心卫生院
41,乐至县良安镇全胜卫生院
42,井研县东林镇卫生院
43,井研县研经镇中心卫生院
44,什邡丽人医院
45,什邡市人民医院（什邡市人民医院互联网医院）
46,什邡市元石卫生院
47,什邡市回澜卫生院
48,什邡第二医院
49,仁寿县城北社区卫生服务中心
50,仁寿县宝马镇卫生院
51,仁寿县慈航镇卫生院
52,仁寿县视高街道清水社区卫生服务中心
53,仁寿县视高街道社区卫生服务中心
54,仁寿海微眼科医院
55,仁寿长生众康医院
56,仁寿鳌峰外科医院
57,仪陇县二道镇卫生院
58,仪陇县度门街道光华社区卫生服务中心
59,仪陇县柴井乡卫生院
60,仪陇县永乐中心卫生院
61,仪陇县瓦子镇卫生院
62,会东县中医医院
63,会东县淌塘镇中心卫生院
64,会理市云甸镇卫生院
65,会理市内东乡卫生院
66,会理市新安傣族乡卫生院
67,会理阳光医院
68,兴文县五星镇卫生院
69,兴文康乐苑医养结合医院
70,内江市东兴区新江社区卫生服务中心
71,内江市市中区中医医院
72,内江市市中区交通镇卫生院
73,内江市市中区凌家镇中心卫生院
74,内江惠康医院
75,冕宁县人民医院
76,冕宁县巨龙康美医院
77,凉山州喜德县光明镇中心卫生院（光明社区卫生服务中心）
78,凉山州喜德县北山乡卫生院
79,凉山州喜德县洛哈镇卫生院
80,凉山骨科医院
81,前锋民生医院
82,剑阁县义兴镇卫生院
83,剑阁县杨村镇卫生院
84,剑阁县龙源镇卫生院
85,勃林格殷格翰霁达（成都）康复医疗中心
86,北川羌族自治县坝底乡中心卫生院
87,北川羌族自治县曲山镇卫生院
88,北川羌族自治县禹里镇中心卫生院
89,北川羌族自治县都贯乡卫生院
90,华蓥市华龙社区卫生服务中心
91,南充市嘉陵区世阳镇卫生院
92,南充市嘉陵区人民医院
93,南充市嘉陵区妇幼保健计划生育服务中心
94,南充市嘉陵区西兴街道花园社区卫生服务中心
95,南充市嘉陵区都尉街道木老社区卫生服务中心
96,南充市第四人民医院
97,南充旭洲医院
98,南充永康医院
99,南充罾康医院
100,南江云山骨科医院
101,南江仁爱医院
102,南江县中医医院
103,南江县关路镇卫生院
104,南江县团结乡卫生院
105,南江县杨坝镇中心卫生院
106,南江县神门乡卫生院
107,南江县集州街道春场坝社区卫生服务中心
108,南溪仁爱医院
109,南部仁博耳鼻喉医院
110,南部仁爱胃肠医院
111,南部县中医医院
112,南部县双峰乡卫生院
113,南部县大王镇卫生院
114,南部县妇幼保健计划生育服务中心（南部县妇幼保健院、南部县妇女儿童医院）
115,南部县小元乡卫生院
116,南部县神坝镇卫生院
117,南部县金葫社区卫生服务中心
118,南部精诚眼科医院
119,叙永县向林镇卫生院
120,叙永县枧槽苗族乡卫生院
121,叙永县黄坭镇卫生院
122,叙永天星桥医院
123,叙永海内胜中医医院
124,古蔺县皇华镇卫生院
125,古蔺县金兰街道护家社区卫生服务中心
126,古蔺县龙山中心卫生院
127,古蔺康兴妇产医院
128,古蔺蜀南医院
129,合江县先市中心卫生院
130,合江县先滩中心卫生院
131,合江县大桥中心卫生院（合江县第四人民医院）
132,合江县望龙中心卫生院
133,合江县白米镇卫生院
134,合江普仁医院
135,喜德新区医院
136,四川友好医院
137,四川大学华西第四医院
138,四川天府新区万安社区卫生服务中心
139,四川天府新区籍田中心卫生院
140,四川省中西医结合医院（四川省中医药科学院附属医院）
141,四川省儿童医院（四川省儿童医学中心）
142,四川省生殖健康研究中心附属生殖专科医院（四川省生殖健康研究中心附属生殖专科医院互宜达互联网医院）
143,四川眼科医院
144,四川绿色歧黄医院管理有限公司洞子口医院（四川绿色歧黄医院管理有限公司洞子口医院绿源集互联网医院）
145,大安区三多寨镇卫生院
146,大竹县杨通乡卫生院
147,大竹县高穴中心卫生院
148,大竹德康精神病医院
149,大竹济民医院
150,大竹诚济医院
151,大英君珉骨科医院
152,大英康成精神病专科医院
153,大邑县第二人民医院
154,大邑县鹤鸣镇公立卫生院
155,大邑民仁医院
156,大邑阴接骨医院
157,天全天翔医院
158,夹江县妇幼保健计划生育服务中心（夹江县妇幼保健院、夹江县妇女儿童医院）
159,夹江县甘江镇中心卫生院
160,威远县向义镇卫生院
161,威远县连界镇卫生院
162,威远县龙会镇卫生院
163,威远同心医院
164,宁南县妇幼保健计划生育服务中心（宁南县妇幼保健院）
165,宁南县白鹤滩镇卫生院（白鹤滩镇妇幼保健计划生育服务站）
166,安大医院
167,安居万木春精神病医院
168,安居弘生医院
169,安岳县东胜乡卫生院
170,安岳县两板桥镇卫生院
171,安岳县文化镇卫生院
172,安岳康肤皮肤病医院
173,宜宾和美妇产医院
174,宜宾大塔医院
175,宜宾市南溪区仙源街道社区卫生服务中心
176,宜宾市南溪区妇幼保健计划生育服务中心、宜宾市南溪区妇幼保健院
177,宜宾市叙州区凤仪乡卫生院
178,宜宾市叙州区华盛社区卫生服务中心
179,宜宾市叙州区蕨溪镇中心卫生院
180,宜宾市妇幼保健计划生育服务中心
181,宜宾盛德医院
182,宜宾目乐眼科医院
183,宝兴县中医医院
184,宣汉县中医院
185,宣汉县南坪镇观山卫生院
186,宣汉县桃花镇卫生院
187,宣汉县残联附属医院
188,宣汉县马渡关镇卫生院
189,宣汉县黄石乡卫生院
190,宣汉县黄金镇卫生院
191,宣汉县龙泉土家族乡卫生院
192,富顺华英医院
193,富顺县代寺镇中心卫生院
194,富顺县童寺镇中心卫生院
195,射洪市妇幼保健院（射洪市妇幼保健卫生服务中心）
196,射洪市康复保健医院（射洪市平安街道社区卫生服务中心）
197,射洪市洋溪中心卫生院
198,射洪市青岗中心卫生院
199,射洪市香山镇卫生院
200,屏山县中都镇中心卫生院
201,屏山怡宁精神病医院
202,岳池同信医院
203,岳池川东医院（岳池红十字川东医院）
204,岳池爱康精神病专科医院
205,崇州崇爱医院
206,崇州市妇幼保健计划生育服务中心（崇州市妇幼保健院）
207,崇州市羊马街道社区卫生服务中心
208,崇州普爱医院
209,崇州民仁汾州医院
210,崇州济民医院
211,巴中仁和医院
212,巴中市恩阳区上八庙镇卫生院
213,巴中市恩阳区茶坝镇中心卫生院
214,巴中鸿福妇产科医院
215,巴州六六六医院
216,巴州北门医院
217,巴州区鼎山中心卫生院
218,布拖县牛角湾镇卫生院
219,平昌县中医医院
220,平昌县云台镇中心卫生院
221,平昌县小桥街社区卫生服务中心
222,平昌县岳家镇卫生院
223,平昌县江家口镇卫生院
224,平昌县涵水镇卫生院
225,平昌县白衣镇中心卫生院
226,平昌县驷马镇中心卫生院
227,平武县豆叩羌族乡中心卫生院
228,广元九龙骨科医院
229,广元佑安中医医院
230,广元宝轮二医院
231,广元市利州区河西街道社区卫生服务中心
232,广元市利州区盘龙镇卫生院
