,basy_yydj,age_group,basy_zyzd_jbbm_3,basy_ssjczbm1_3,count,耗材费
0,1,0,2,100,4,522.8825
1,1,0,3,100,1,270.88
2,1,0,4,100,7,392.83
3,1,0,6,100,1,448.0
4,1,0,7,100,10,360.841
5,1,0,8,100,15,311.2873333333334
6,1,0,9,100,11,273.74636363636364
7,1,0,24,100,5,460.27
8,1,0,25,100,20,574.995
9,1,0,26,100,34,727.6288235294118
10,1,0,27,3,1,1631.0
11,1,0,27,100,37,444.7389189189189
12,1,0,28,100,20,471.2045
13,1,0,29,100,23,503.4160869565217
14,1,0,33,96,1,207.0
15,1,0,59,100,1,246.84
16,1,0,60,100,2,404.03499999999997
17,1,0,64,100,4,258.315
18,1,0,66,100,14,296.58714285714285
19,1,0,67,100,9,275.93666666666667
20,1,0,69,3,1,480.0
21,1,0,69,100,16,359.1
22,1,0,71,100,13,405.7376923076923
23,1,0,73,100,4,310.09749999999997
24,1,0,74,100,5,656.704
25,1,0,76,100,3,620.1866666666666
26,1,0,77,100,5,477.97799999999995
27,1,0,78,100,2,744.3199999999999
28,1,0,80,100,7,582.2571428571429
29,1,0,81,100,3,616.2966666666666
30,1,0,83,100,3,550.4233333333333
31,1,0,86,100,1,510.0
32,1,0,121,100,1,340.89
33,1,0,219,39,1,5353.65
34,1,0,219,99,1,1349.37
35,1,0,221,99,3,1439.0933333333335
36,1,0,222,39,1,5299.33
37,1,0,222,99,2,350.72
38,1,0,223,39,1,7295.61
39,1,0,223,99,3,817.1533333333335
40,1,0,225,88,1,1177.28
41,1,0,226,88,1,1498.19
42,1,0,226,99,5,840.914
43,1,0,228,99,3,1128.1899999999998
44,1,0,232,39,2,1139.375
45,1,0,232,86,2,843.075
46,1,0,232,99,1,1461.99
47,1,0,256,86,1,516.98
48,1,0,258,18,1,1517.99
49,1,0,268,99,1,244.0
50,1,0,285,6,1,17071.37
51,1,0,382,100,1,263.0
52,1,0,390,38,1,647.42
53,1,0,391,100,1,220.0
54,1,0,397,3,1,702.7800000000001
55,1,0,417,5,1,221.14
56,1,0,432,3,1,729.39
57,1,0,432,38,1,678.55
58,1,0,434,84,1,285.67
59,1,0,438,4,1,2984.32
60,1,0,441,4,1,291.13
61,1,0,441,83,1,239.85
62,1,0,448,83,1,223.16000000000005
63,1,0,452,5,2,9996.0
64,1,0,458,13,1,632.1700000000001
65,1,0,465,13,1,3091.8
66,1,0,467,13,2,5264.35
67,1,0,479,15,1,295.8
68,1,0,480,15,1,676.5
69,1,0,481,20,1,1106.25
70,1,0,482,19,1,1018.69
71,1,0,485,18,1,1292.14
72,1,0,486,27,1,1306.22
73,1,0,487,18,1,1298.3
74,1,0,487,27,1,2254.0
75,1,0,487,100,1,1315.24
76,1,0,495,18,2,1286.0700000000002
77,1,0,496,18,1,459.6
78,1,0,538,100,1,620.0
79,1,0,569,100,4,303.09000000000003
80,1,0,570,100,2,542.335
81,1,0,571,100,2,230.015
82,1,0,572,100,5,838.2
83,1,0,573,100,17,460.0352941176471
84,1,0,574,100,17,315.7982352941176
85,1,0,575,96,1,1020.0
86,1,0,575,100,25,309.4716
87,1,0,576,100,34,500.884705882353
88,1,0,577,100,39,426.0128205128205
89,1,0,578,100,96,414.67687500000005
90,1,0,579,100,84,457.7916666666667
91,1,0,580,100,38,562.9365789473684
92,1,0,581,100,47,623.783829787234
93,1,0,582,100,371,537.1346900269542
94,1,0,583,100,313,570.8310223642172
95,1,0,584,100,85,738.5684705882353
96,1,0,585,21,1,1050.63
97,1,0,585,100,134,596.5051492537314
98,1,0,586,100,95,434.83726315789477
99,1,0,587,100,173,557.6583815028902
100,1,0,588,100,386,431.03424870466324
101,1,0,589,28,13,2122.0515384615383
102,1,0,589,100,114,645.1113157894737
103,1,0,590,21,1,1263.65
104,1,0,590,22,1,212.3
105,1,0,590,28,26,2014.0934615384615
106,1,0,590,100,135,410.49437037037035
107,1,0,591,100,36,359.63111111111107
108,1,0,592,22,1,1286.31
109,1,0,592,100,5,355.7
110,1,0,593,21,1,1312.0
111,1,0,593,28,14,2196.042142857143
112,1,0,594,22,1,1357.44
113,1,0,594,28,7,2185.3042857142855
114,1,0,595,28,1,2242.45
115,1,0,595,100,31,461.1206451612903
116,1,0,596,21,1,395.8
117,1,0,597,28,48,2107.7085416666664
118,1,0,597,100,50,686.7656
119,1,0,598,28,20,2161.224
120,1,0,598,100,5,329.132
121,1,0,599,28,15,2123.1766666666667
122,1,0,599,100,4,2175.7200000000003
123,1,0,602,21,1,1275.8
124,1,0,602,100,1,241.67
125,1,0,603,22,1,1814.56
126,1,0,604,100,1,1523.0
127,1,0,606,28,36,2326.7716666666665
128,1,0,606,100,7,2241.9
129,1,0,644,100,1,638.17
130,1,0,646,27,1,305.88
131,1,0,646,100,2,298.225
132,1,0,648,100,2,291.0
133,1,0,651,100,2,258.13
134,1,0,652,100,1,385.0
135,1,0,653,53,3,293.33
136,1,0,655,27,1,342.42999999999995
137,1,0,655,53,1,550.0
138,1,0,655,100,2,262.5
139,1,0,656,27,1,306.52
140,1,0,656,47,2,275.885
141,1,0,656,100,2,298.36
142,1,0,657,100,1,320.0
143,1,0,658,53,1,381.0
144,1,0,659,53,1,997.0
145,1,0,662,53,8,474.325
146,1,0,662,100,1,315.0
147,1,0,663,17,1,615.0
148,1,0,663,53,4,362.1225
149,1,0,664,53,5,586.1279999999999
150,1,0,664,100,2,741.5
151,1,0,665,100,1,207.13
