,basy_zyzd_jbbm_3,basy_ssjczbm1_3,count,耗材费
0,0,3,1,626.88
1,0,13,1,2053.98
2,0,38,2,2925.2799999999997
3,0,56,1,11502.0
4,0,88,1,828.38
5,0,93,2,864.575
6,0,96,1,739.1
7,0,100,1,367.65
8,1,3,3,278.02
9,1,17,2,208.18
10,1,21,1,485.5
11,1,33,1,3313.53
12,1,38,3,2301.5033333333336
13,1,39,1,10080.07
14,1,41,3,821.8066666666667
15,1,45,3,351.02
16,1,78,1,846.96
17,1,88,1,218.03
18,1,90,1,441.08
19,1,93,1,321.76
20,1,96,1,21011.1
21,1,99,4,317.46500000000003
22,1,100,15,287.8653333333333
23,2,3,9,1902.891111111111
24,2,17,8,419.90749999999997
25,2,29,1,13175.330000000002
26,2,33,2,947.16
27,2,34,1,1132.9
28,2,38,29,557.4972413793104
29,2,39,2,2896.05
30,2,41,5,1950.3220000000001
31,2,44,4,388.2975
32,2,45,7,944.3514285714285
33,2,48,1,1435.41
34,2,57,1,315.6
35,2,74,2,668.13
36,2,77,1,2910.7
37,2,81,1,21512.550000000003
38,2,83,1,1343.8300000000002
39,2,87,2,1494.7350000000001
40,2,88,7,401.52857142857147
41,2,89,14,519.3871428571429
42,2,90,1,264.4
43,2,93,18,1069.33
44,2,96,4,4996.735000000001
45,2,99,46,384.1145652173913
46,2,100,146,395.73212328767124
47,3,17,3,242.36666666666667
48,3,34,1,289.13
49,3,39,1,4632.07
50,3,43,1,213.42
51,3,45,12,329.305
52,3,51,1,743.75
53,3,88,1,211.02
54,3,89,3,231.78
55,3,93,2,322.01
56,3,99,4,310.84749999999997
57,3,100,21,321.4866666666667
58,4,1,1,235.8
59,4,3,3,360.52666666666664
60,4,17,3,814.3333333333334
61,4,33,4,521.615
62,4,38,24,601.3625000000001
63,4,41,1,420.92
64,4,43,2,343.62
65,4,44,6,416.02500000000003
66,4,45,38,1329.9460526315788
67,4,46,1,3047.79
68,4,48,5,724.426
69,4,57,3,662.6266666666666
70,4,87,1,319.06
71,4,88,5,773.4639999999999
72,4,89,11,401.7690909090909
73,4,90,10,345.40700000000004
74,4,93,7,320.37
75,4,96,11,1790.3854545454546
76,4,97,1,203.16
77,4,99,43,320.09302325581393
78,4,100,161,320.81732919254654
79,5,38,3,1110.4566666666667
