,feature,importance
27,HAOCAI-only_operation-5-E,951088387850240.0
28,HAOCAI-only_operation-6-E,704841664411648.0
26,HAOCAI-only_operation-4-E,384216044134400.0
11,HAOCAI-3-3-E,297930827730944.0
60,basy_yljgid_feature,262569936494592.0
29,HAOCAI-only_operation-7-E,95752365092864.0
12,HAOCAI-4-4-E,71340813895680.0
25,HAOCAI-only_operation-3-E,68726609616896.0
30,HAOCAI-only_operation-8-E,66750748454912.0
59,basy_sjzy,49888732669952.0
7,basy_zyzd_jbbm_6,31359128854528.0
8,basy_zyzd_jbbm_7,29462467551232.0
21,HAOCAI-6-only_disease-E,29379961217024.0
18,HAOCAI-3-only_disease-E,18505751117824.0
6,basy_zyzd_jbbm_5,17211137652736.0
5,basy_zyzd_jbbm_3,13482054232064.0
39,AGE-HAOCAI-3-only_disease-E,9355604027392.0
31,HAOCAI-only_operation-9-E,5749146685440.0
20,HAOCAI-5-only_disease-E,5352235614208.0
47,AGE-HAOCAI-only_operation-4-E,4987262109696.0
13,HAOCAI-5-5-E,4031079030784.0
14,HAOCAI-6-6-E,1610275098624.0
15,HAOCAI-7-7-E,1529766207488.0
9,basy_zyzd_jbbm_8,1511456892928.0
32,AGE-HAOCAI-3-3-E,1389517393920.0
51,AGE-HAOCAI-only_operation-8-E,1225313517568.0
46,AGE-HAOCAI-only_operation-3-E,1053862905856.0
10,basy_zyzd_jbbm_9,913571698688.0
53,basy_ssjczbm1_3,661465503744.0
33,AGE-HAOCAI-4-4-E,356348002304.0
23,HAOCAI-8-only_disease-E,322303799296.0
44,AGE-HAOCAI-8-only_disease-E,271446798336.0
42,AGE-HAOCAI-6-only_disease-E,240604200960.0
0,age,240500699136.0
41,AGE-HAOCAI-5-only_disease-E,221915998208.0
22,HAOCAI-7-only_disease-E,173535700992.0
48,AGE-HAOCAI-only_operation-5-E,115670802432.0
49,AGE-HAOCAI-only_operation-6-E,42075799552.0
24,HAOCAI-9-only_disease-E,37391400960.0
16,HAOCAI-8-8-E,0.0
58,basy_ssjczbm1_9,0.0
57,basy_ssjczbm1_8,0.0
56,basy_ssjczbm1_7,0.0
55,basy_ssjczbm1_6,0.0
54,basy_ssjczbm1_5,0.0
17,HAOCAI-9-9-E,0.0
52,AGE-HAOCAI-only_operation-9-E,0.0
19,HAOCAI-4-only_disease-E,0.0
50,AGE-HAOCAI-only_operation-7-E,0.0
34,AGE-HAOCAI-5-5-E,0.0
1,basy_yydj,0.0
45,AGE-HAOCAI-9-only_disease-E,0.0
4,basy_rykb,0.0
43,AGE-HAOCAI-7-only_disease-E,0.0
3,basy_cykb,0.0
40,AGE-HAOCAI-4-only_disease-E,0.0
2,basy_xb,0.0
38,AGE-HAOCAI-9-9-E,0.0
37,AGE-HAOCAI-8-8-E,0.0
36,AGE-HAOCAI-7-7-E,0.0
35,AGE-HAOCAI-6-6-E,0.0
