,feature,importance
27,JCJY-only_operation-5-E,224349444749312.0
52,basy_sjzy,165408043220992.0
53,basy_yljgid_feature,88597459449856.0
11,JCJY-3-3-E,38984070824960.0
32,AGE-JCJY-3-only_disease-E,36271222588416.0
28,JCJY-only_operation-6-E,30653176655872.0
20,JCJY-5-only_disease-E,22134143344640.0
21,JCJY-6-only_disease-E,21333957828608.0
3,basy_cykb,17753219168256.0
40,AGE-JCJY-only_operation-4-E,15398017257472.0
22,JCJY-7-only_disease-E,15043988451328.0
31,JCJY-only_operation-9-E,10883966314496.0
39,AGE-JCJY-only_operation-3-E,9972339798016.0
12,JCJY-4-4-E,8981811430400.0
13,JCJY-5-5-E,7425515932672.0
5,basy_zyzd_jbbm_3,6941910991872.0
29,JCJY-only_operation-7-E,6392679274496.0
26,JCJY-only_operation-4-E,6271002043392.0
23,JCJY-8-only_disease-E,4680615739392.0
41,AGE-JCJY-only_operation-5-E,3894616395776.0
4,basy_rykb,3496685199360.0
7,basy_zyzd_jbbm_6,3294270796800.0
24,JCJY-9-only_disease-E,1621540007936.0
8,basy_zyzd_jbbm_7,1371301895168.0
34,AGE-JCJY-5-only_disease-E,1167056505856.0
15,JCJY-7-7-E,1101041904640.0
36,AGE-JCJY-7-only_disease-E,1062992402432.0
6,basy_zyzd_jbbm_5,977519014912.0
42,AGE-JCJY-only_operation-6-E,922151399424.0
14,JCJY-6-6-E,881799099392.0
35,AGE-JCJY-6-only_disease-E,758998700032.0
43,AGE-JCJY-only_operation-7-E,741551796224.0
18,JCJY-3-only_disease-E,677556596736.0
30,JCJY-only_operation-8-E,647019798528.0
9,basy_zyzd_jbbm_8,469205703680.0
16,JCJY-8-8-E,391114397696.0
46,basy_ssjczbm1_3,357415312384.0
45,AGE-JCJY-only_operation-9-E,354243901440.0
44,AGE-JCJY-only_operation-8-E,220503001088.0
37,AGE-JCJY-8-only_disease-E,176566098944.0
17,JCJY-9-9-E,154428497920.0
0,age,13263800320.0
19,JCJY-4-only_disease-E,0.0
25,JCJY-only_operation-3-E,0.0
10,basy_zyzd_jbbm_9,0.0
1,basy_yydj,0.0
38,AGE-JCJY-9-only_disease-E,0.0
47,basy_ssjczbm1_5,0.0
48,basy_ssjczbm1_6,0.0
49,basy_ssjczbm1_7,0.0
50,basy_ssjczbm1_8,0.0
51,basy_ssjczbm1_9,0.0
2,basy_xb,0.0
33,AGE-JCJY-4-only_disease-E,0.0
