,科室名称,科室模型OE,ICU模型OE
0,中医科,0.799685387,0.744607206
1,中西医结合科,0.748808026,0.857942726
2,临终关怀科,0.936961386,0.818537234
3,传染科,1.060037703,1.113920157
4,儿科,0.892158326,0.792798593
5,儿童保健科,0.473430425,0.401629444
6,全科医疗科,0.795131146,0.725459626
7,其他业务科室,1.012613502,0.945404567
8,内科,0.984644824,1.063940974
9,医学影像科,1.744256285,1.556650843
10,医学检验科,0.933151319,0.869725997
11,医疗美容科,0.354134249,0.310476462
12,口腔科,0.903577223,0.928308249
13,外科,0.944886168,1.014143506
14,妇产科,0.969554354,0.96793219
15,妇女保健科,0.567939263,0.517326949
16,小儿外科,0.689428376,0.635639711
17,康复医学科,0.713025089,0.639854367
18,急诊医学科,1.147390926,1.319336027
19,民族医学科,0.525834045,0.505533283
20,特种医学与军事医学科,0.724715096,0.640558996
21,疼痛科,0.965338585,0.971332004
22,病理科,0.842444074,1.272762578
23,皮肤科,0.736576146,0.643472256
24,眼科,0.739264115,0.657251859
25,空白,0.690637013,0.685535418
26,精神科,1.04353325,1.168952067
27,结核病科,1.190138926,1.545955001
28,耳鼻咽喉科,0.911400731,0.813059588
29,职业病科,0.827852104,0.767833801
30,肿瘤科,1.022523224,1.082337581
31,运动医学科,0.908648509,1.036627596
32,重症医学科,1.491943958,0.914272803
33,预防保健科,0.724692268,0.65265963
