,basy_zyzd_jbbm_for_str_7,basy_yydj,HAOCAI-7-only_disease-E,JCJY-7-only_disease-E,YP-7-only_disease-E,ZFY-7-only_disease-E,记录条数-7-only_disease
13,A02.000,6,241.03084745762712,2249.332033898305,1649.601186440678,5788.861694915254,59
21,A02.004,6,214.1063888888889,1638.1780555555556,1449.6322222222223,4945.490000000001,36
35,A02.900,6,109.23857142857142,3155.82380952381,1233.935238095238,6039.488095238095,21
42,A03.900,3,61.405,713.3742307692307,634.7219230769231,2285.2240384615384,52
47,A03.901,3,82.15636363636364,757.7635064935065,733.4855844155844,2623.694155844156,77
64,A04.900,3,55.758,890.4559999999999,538.2908888888888,2296.0317777777777,45
66,A04.900,5,70.90928057553957,1078.3053237410072,668.7137410071942,2517.7139568345324,139
67,A04.900,6,151.80585062240664,1419.6369294605809,702.9773858921161,3296.980829875519,241
75,A04.902,6,100.75133333333333,1575.4063333333334,565.0580000000001,3144.3810000000003,30
91,A08.000,2,58.88469565217391,605.3340000000001,409.59634782608697,1600.8452173913045,115
92,A08.000,3,52.5619776119403,590.5848134328359,265.12149253731343,1452.5072947761194,536
93,A08.000,4,86.03218749999999,712.328125,288.708125,1918.1684375,32
94,A08.000,5,51.71685161290322,609.6790451612903,277.5162064516129,1553.0920387096776,775
95,A08.000,6,78.84055187637969,905.371766004415,352.45802060338485,2088.3770419426046,1359
98,A08.101,2,89.40619047619047,634.9285714285714,677.8919047619047,1995.5680952380953,21
120,A09.000,3,75.1384,1703.5532,1252.6804,4092.1436,25
122,A09.000,5,133.32711538461538,1922.313846153846,1427.7490384615385,4786.729038461539,52
123,A09.000,6,413.3954545454546,4062.7016161616166,2378.635858585859,8864.80202020202,99
124,A09.001,1,42.25833333333333,797.2069444444445,1568.2419444444445,3203.244722222222,36
125,A09.001,2,32.39696969696969,868.9030303030303,951.16,2302.461515151515,33
126,A09.001,3,39.47348837209302,1278.7062790697676,835.9879069767443,2914.079069767442,43
128,A09.001,5,57.668853503184714,1204.3728662420383,646.8343949044586,2592.095923566879,157
129,A09.001,6,75.51445161290323,1367.918064516129,718.8154838709677,3195.215483870968,155
136,A09.004,1,129.52,1072.0333333333333,1224.652380952381,3754.693333333333,21
137,A09.004,2,43.605932203389834,979.1677966101695,750.0820338983051,2359.9393220338984,59
138,A09.004,3,59.84798370672098,938.467881873727,612.3644602851324,2361.923910386965,491
139,A09.004,4,72.00428571428571,1154.3545714285715,777.38,2814.2479999999996,35
140,A09.004,5,67.97027972027972,1116.909090909091,590.6913286713286,2548.3290384615384,572
141,A09.004,6,110.10439024390243,1514.3632520325204,899.6634959349594,3656.1989918699187,615
149,A09.007,3,68.72469135802469,840.5037037037038,593.3054320987654,2334.309382716049,81
150,A09.007,5,52.54333333333334,812.1,786.2540740740741,2469.00037037037,27
151,A09.007,6,97.75049180327868,1372.052950819672,919.045737704918,3341.78737704918,61
152,A09.900,1,66.06107142857142,885.8071428571428,1219.52875,2930.535,56
153,A09.900,2,50.02614285714286,971.9695714285715,843.5416666666666,2478.8762857142856,210
154,A09.900,3,48.27979351032449,1017.6528761061948,638.6590855457227,2326.444439528024,678
155,A09.900,4,71.76473684210526,1262.3224210526316,576.7,2711.4174736842106,95
156,A09.900,5,50.57618075801749,1143.3413119533527,555.7366180758017,2426.5176239067055,686
157,A09.900,6,103.52333901192503,1546.6367120954003,778.4396763202726,3434.9670528109027,587
158,A09.901,1,84.19683760683759,909.3676068376068,1680.9358119658118,3974.425128205128,117
159,A09.901,2,44.82979094076655,1156.159581881533,948.738536585366,2637.7171080139374,287
160,A09.901,3,45.953449163449164,889.3989961389962,553.8684427284428,2099.6213770913773,777
161,A09.901,4,48.496857142857145,1112.7677142857144,411.80785714285713,2077.0102857142856,70
162,A09.901,5,39.948464673913044,967.5920923913044,422.0408288043478,2079.163029891304,736
163,A09.901,6,92.60820895522389,1377.7059914712154,653.4335820895521,3048.4980810234542,469
165,A09.902,2,81.42125,1345.125,1271.07,3410.16375,32
166,A09.902,3,182.6399212598425,1453.6362204724408,963.1695275590552,3469.979212598425,127
168,A09.902,5,96.2726,1636.2357000000002,1048.28475,3921.8691,200
169,A09.902,6,193.5917714285714,2277.715485714286,1458.2762857142857,5478.2708,175
