,basy_zyzd_jbbm_for_str_7,basy_yydj,age_group,AGE-HAOCAI-7-only_disease-E,AGE-JCJY-7-only_disease-E,AGE-YP-7-only_disease-E,AGE-ZFY-7-only_disease-E,记录条数-7-only_disease
30,A02.000,6,0,160.8057777777778,1560.7755555555555,777.8122222222223,3779.454888888889,45
55,A02.004,6,0,225.86242424242425,1541.209393939394,1305.9518181818182,4762.54,33
136,A03.901,3,0,103.15620689655171,574.5689655172414,459.0793103448276,2304.9513793103447,29
186,A04.900,3,0,61.86115384615384,546.8657692307693,421.6561538461538,1902.918076923077,26
200,A04.900,5,0,73.81906666666667,598.948,338.7377333333333,1603.4025333333334,75
209,A04.900,6,0,126.57128205128205,1165.5231282051282,437.5716923076923,2559.8223076923077,195
268,A08.000,2,0,59.401228070175435,605.5123684210527,410.56921052631577,1603.063245614035,114
270,A08.000,3,0,53.081283524904215,572.8031800766283,262.0715517241379,1431.9830268199235,522
278,A08.000,4,0,89.67333333333333,660.4833333333333,279.28433333333334,1889.714,30
281,A08.000,5,0,51.99239101717305,600.6456538969617,275.11282694848086,1543.672034346103,757
288,A08.000,6,0,79.05581709145427,895.394700149925,346.28383058470763,2073.515224887556,1334
298,A08.101,2,0,89.40619047619047,634.9285714285714,677.8919047619047,1995.5680952380953,21
363,A09.000,6,8,414.06625,4671.547083333334,2477.4908333333337,10236.65125,24
401,A09.001,5,5,101.17384615384616,1651.4884615384615,1073.654230769231,3939.849230769231,26
402,A09.001,5,6,53.11838709677419,1119.741935483871,631.6058064516129,2324.3812903225803,31
403,A09.001,5,8,59.7304,1233.172,663.2912,2681.2603999999997,25
405,A09.001,6,0,62.273448275862066,807.7080459770116,401.23678160919536,2010.9437931034481,87
433,A09.004,2,0,42.676086956521736,604.795652173913,399.07652173913044,1585.2308695652173,23
442,A09.004,3,0,63.34911290322581,607.0640725806452,437.8923387096774,1869.155685483871,248
443,A09.004,3,1,38.95515151515151,708.9563636363637,506.31515151515157,1827.682424242424,33
444,A09.004,3,2,45.80304347826087,894.3526086956522,552.9682608695653,1952.7943478260868,23
445,A09.004,3,3,56.955555555555556,969.4296296296296,572.3329629629629,2196.1651851851852,27
446,A09.004,3,4,59.62352941176471,1266.6911764705883,917.404705882353,2971.0673529411765,34
447,A09.004,3,5,48.75820512820513,1393.5076923076924,774.9561538461538,2905.7587179487177,39
449,A09.004,3,8,64.27102564102564,1576.3197435897437,1069.811794871795,3753.450512820513,39
450,A09.004,3,9,68.3925,1711.107142857143,1034.8992857142857,3690.1025,28
460,A09.004,5,0,53.423323170731706,672.3466463414635,329.2407317073171,1711.3499390243903,328
461,A09.004,5,1,42.49076923076923,1019.4,532.5184615384616,2290.647948717949,39
462,A09.004,5,2,36.166896551724136,1232.8620689655172,497.91758620689654,2274.2310344827583,29
463,A09.004,5,3,39.91958333333333,1254.0125,663.1654166666667,2578.9445833333334,24
465,A09.004,5,5,71.5326530612245,1927.3602040816324,922.4202040816326,3782.379387755102,49
466,A09.004,5,6,233.75965517241377,2014.698275862069,1680.0151724137932,5244.608620689655,29
467,A09.004,5,8,119.35342105263159,2386.057894736842,1178.5963157894737,4825.029736842105,38
468,A09.004,5,9,103.7352380952381,2153.247619047619,1281.0533333333333,5182.925714285714,21
469,A09.004,6,0,102.16447712418301,927.7343464052288,498.82823529411763,2522.353921568628,306
470,A09.004,6,1,60.82622222222222,1257.1271111111112,636.1475555555555,2649.7586666666666,45
471,A09.004,6,2,61.174523809523805,1326.9092857142857,822.854761904762,3049.9759523809525,42
472,A09.004,6,3,110.56258064516129,1732.7425806451615,1282.1493548387098,4132.772903225806,31
473,A09.004,6,4,143.79787878787877,2352.6151515151514,1175.628787878788,4787.123636363637,33
474,A09.004,6,5,86.84018181818182,2099.284727272727,1244.2754545454545,4711.620545454545,55
475,A09.004,6,6,158.53636363636363,2276.5896969696973,1633.4736363636364,5489.698484848484,33
476,A09.004,6,8,237.06694444444443,3263.777777777778,2376.228888888889,8228.730833333333,36
477,A09.004,6,9,130.30205882352942,2815.0099999999998,1501.1373529411765,6081.1594117647055,34
503,A09.007,3,0,95.76545454545455,586.369696969697,354.1869696969697,2026.8066666666666,33
519,A09.007,6,0,76.3876923076923,595.3589743589744,376.2176923076923,1578.7164102564104,39
537,A09.900,2,0,65.24533333333333,421.54,275.403,1145.4683333333335,30
542,A09.900,2,5,107.3175,1127.459375,860.3075,2858.4409375,32
543,A09.900,2,6,34.762068965517244,1122.4379310344827,829.9510344827586,2502.970689655172,29
544,A09.900,2,8,35.752903225806456,1116.2487096774194,1260.337741935484,3060.994193548387,31
546,A09.900,3,0,41.95148148148148,549.0128042328042,361.6058201058201,1506.168835978836,189
547,A09.900,3,1,27.1658,746.3580000000001,540.6496,1773.6454,50
548,A09.900,3,2,34.32479166666666,966.2875,590.4702083333333,2089.7166666666667,48
549,A09.900,3,3,31.999545454545455,1086.334090909091,525.9011363636364,2108.0679545454545,44
550,A09.900,3,4,52.861176470588234,1167.7835294117647,736.5374509803922,2544.3443137254903,51
551,A09.900,3,5,43.50009900990099,1185.039306930693,700.001089108911,2535.1044554455443,101
552,A09.900,3,6,51.22857142857143,1228.7261904761904,904.937619047619,2920.4885714285715,63
553,A09.900,3,8,82.25853658536585,1506.1621951219513,867.820243902439,3307.31,82
