,basy_yydj,basy_ssjczbm1_for_str_4,HAOCAI-only_operation-4-E,JCJY-only_operation-4-E,YP-only_operation-4-E,ZFY-only_operation-4-E,记录条数-only_operation-4
0,1,,182.45914497965362,1267.8857547080534,1811.4634710261505,6582.025347465379,63402
5,1,00.8,24503.948214285716,2590.776785714286,3529.6896428571426,39840.97571428572,28
6,1,00.9,207.28102040816327,1442.2408163265306,3938.149795918367,9995.075714285715,49
9,1,01.4,5059.309444444445,2288.664814814815,4917.265,20143.153703703705,54
15,1,03.0,15987.750666666667,1942.8866666666665,2812.0055,28309.343500000003,60
16,1,03.3,981.0445918367346,1475.843724489796,5159.749693877551,12867.048826530612,196
18,1,03.5,24136.61608695652,2808.23231884058,4168.824927536231,39591.59724637681,69
19,1,03.6,11001.898333333333,1722.3725000000002,2152.80625,19418.904166666667,24
20,1,03.9,377.1597426470588,1531.7144117647058,1036.6513235294117,7556.939705882353,272
21,1,04.0,2908.0364,981.548,1911.8336,9558.0612,25
22,1,04.2,1663.0326872246696,1429.7295154185022,1050.7874889867842,7270.322070484582,227
24,1,04.4,4400.0898611111115,1598.1021527777777,3794.9218055555557,15436.483750000001,144
25,1,04.7,3622.3740000000003,930.3136666666667,2242.123,13074.134333333333,30
26,1,04.8,106.07832835820895,1330.4513432835822,1256.4068358208954,5558.982029850747,335
27,1,05.0,1184.239090909091,2055.1060606060605,815.7869696969698,17819.659393939393,33
29,1,05.3,83.1675,1244.2116666666668,1699.3591666666669,7355.996666666667,24
33,1,06.3,1034.6872,1457.4628,1925.8756,8570.21,25
34,1,06.4,6926.504594594595,2662.924054054054,2564.8505405405404,20607.777297297296,37
36,1,06.8,1226.9548275862069,4300.331034482759,3132.313103448276,16336.02724137931,29
41,1,08.2,227.43347826086958,859.2086956521739,1533.272608695652,4541.66652173913,23
43,1,08.4,176.54983164983165,610.7819865319865,165.90468013468015,1931.0636026936027,297
50,1,09.6,106.44083333333333,599.4572916666667,225.40875000000003,2210.0104166666665,48
52,1,09.8,737.199,615.0715,536.53365,3635.90575,200
55,1,10.3,276.3064,643.3,168.7084,1881.5968,25
62,1,11.3,496.7665575304022,572.3009822263798,193.77301216089805,2387.6736389148737,1069
70,1,12.6,710.3744230769231,779.1057692307693,536.3532692307692,5227.593076923077,52
75,1,13.4,2708.0810869844536,771.9762649363998,193.748542978286,6124.294876011821,7783
76,1,13.5,2249.348484848485,640.9214141414142,226.06939393939393,4426.780707070708,99
78,1,13.7,1839.1018868407577,740.8345929339478,152.63935227854583,4924.6216077828985,3906
86,1,14.6,3240.189041095891,812.7871232876712,347.8321917808219,6177.087260273973,73
87,1,14.7,3026.6962310030394,818.4429179331306,383.8277203647416,8336.990151975684,329
103,1,17.1,2709.447826086957,780.9173913043478,1359.1447826086958,7999.051739130435,23
106,1,17.9,928.5562822878229,811.5615867158672,2143.557569188192,6227.568510147601,2168
109,1,18.2,760.5169491525423,759.871186440678,1662.001186440678,5198.274576271187,59
112,1,19.4,1007.8069411764706,1200.32,3578.179058823529,10408.784235294119,85
114,1,20.0,819.3076923076923,808.4746153846154,1594.9426923076924,4781.470769230769,26
116,1,20.4,1113.658181818182,1493.8263636363636,4505.483636363636,13248.464545454544,22
119,1,21.0,1501.4771428571428,899.9222222222222,1464.136031746032,5776.341111111111,63
121,1,21.3,954.6918181818182,1069.219393939394,1504.5706060606062,6134.577878787879,33
122,1,21.5,2680.3995348837207,885.4813953488372,1440.683488372093,8212.723720930233,43
123,1,21.6,1980.0254918032786,795.8756967213114,1554.1200000000001,6978.627008196721,244
124,1,21.7,931.3560000000001,1162.6976000000002,2015.994,6003.0524,25
125,1,21.8,1224.702643678161,677.2258620689655,2220.7391379310343,7095.7640229885055,174
127,1,22.1,1525.9057142857143,1488.2285714285713,3100.7461904761903,10663.531904761905,21
131,1,22.5,1225.8671641791045,1013.4034825870647,2394.023880597015,9258.77616915423,402
147,1,28.2,1756.5656842105261,923.3382105263158,2227.4826315789473,7411.289052631579,95
149,1,28.5,1283.3659574468084,673.7595744680851,1206.277340425532,4653.997021276596,94
150,1,28.6,2320.210145985401,788.2547445255474,1318.7149635036496,7545.689197080293,137
153,1,29.1,315.6969642857143,543.8348214285714,1670.316875,4039.92125,112
155,1,29.9,3025.2400000000002,598.8615384615384,1314.474871794872,7171.032692307693,78
156,1,30.0,974.6983333333334,868.2629166666666,1699.009487179487,6041.869006410256,312
159,1,31.4,48.566739130434776,645.0304347826087,1908.3673913043476,3738.0658695652173,46
160,1,32.2,3041.548888888889,3155.651851851852,3313.781111111111,36670.91148148148,54
164,1,33.2,378.30772853185596,5699.054570637119,2649.9127146814403,14745.741855955677,361
166,1,34.0,1546.9209615384616,2427.0775,5164.927692307692,13184.751538461538,104
170,1,34.9,345.88666666666666,2417.600119047619,3944.302380952381,10554.842976190477,84
177,1,38.3,1469.5844339622643,1124.6584905660377,2731.4090566037735,12324.175283018869,106
178,1,38.5,2063.9142154566744,1673.2144613583137,2549.487295081967,15888.684402810304,854
182,1,38.9,2272.903281733746,2035.9135294117646,4659.877801857585,18811.690990712075,323
183,1,39.2,806.4066666666668,1301.5027777777777,1228.7977777777778,6338.432083333333,72
184,1,39.3,4166.944680851064,1143.2436170212766,2474.155319148936,15174.32319148936,47
185,1,39.4,586.6375999999999,945.06,852.5376,6131.8116,25
186,1,39.5,5663.856033057851,1410.6902479338842,730.4114876033058,11793.388512396694,121
187,1,39.7,8962.693846153847,2766.6061538461536,5869.803384615384,33047.56830769231,65
188,1,39.9,1087.993328,1456.4371039999999,3092.915264,11072.432448,625
198,1,42.3,1222.0724285714284,901.73,3690.5222857142858,7920.664857142858,70
203,1,43.4,348.5302884615384,911.3550534188033,2479.583108974359,5244.325138888889,936
206,1,44.1,132.56244318181817,1490.7952727272727,1914.8641704545455,5058.835147727273,880
211,1,45.1,81.03333333333333,1407.7,1797.995714285714,4617.460476190476,21
212,1,45.2,761.8444444444444,1033.451075268817,2287.3459856630825,5962.108924731182,279
213,1,45.3,1067.30875,813.3333333333334,3369.0687500000004,6975.331666666666,24
214,1,45.4,1161.1154215304798,1073.887224383917,1753.6349546044098,6396.100687418936,771
221,1,47.0,1103.4555241935484,1406.2852419354838,2448.158508064516,7644.958588709677,248
224,1,48.3,675.7497,838.0195,3164.900425,6493.225600000001,400
225,1,48.4,1041.4413636363636,1344.9488636363637,3819.809090909091,8943.780454545455,44
228,1,48.7,1785.1796832579187,724.0996380090497,4243.202533936652,9936.82809954751,221
231,1,49.0,1685.7135046728972,762.3055607476634,2856.966074766355,7817.782990654206,214
232,1,49.1,1878.0895945945947,732.43,2769.0704054054054,8162.859459459459,74
234,1,49.3,1102.3620833333334,764.0500000000001,2073.9825,5809.002083333333,24
235,1,49.4,2746.272290809328,770.736268861454,2014.2310425240055,8866.051124828531,1458
238,1,49.7,935.6355555555555,737.2284444444444,2782.7560000000003,6657.046,45
242,1,50.2,4083.7877419354836,2121.941935483871,4505.000645161291,16156.71806451613,31
244,1,51.0,4650.204512195122,2238.889024390244,7119.457398373984,18218.086056910568,246
246,1,51.2,1474.1892,1600.146585714286,2950.325428571429,9467.489800000001,700
253,1,53.0,1472.8765942028986,1206.8745289855071,1599.6713043478262,6847.08829710145,276
262,1,54.2,1205.591111111111,970.5244444444444,2087.463333333333,8120.858148148148,27
265,1,54.5,1695.6294129158514,622.5084344422701,1083.5353033268102,15920.157064579256,511
266,1,54.9,814.8661818181818,2267.7737272727272,5374.248818181818,13415.726363636362,110
267,1,55.0,5482.931886792453,2590.827358490566,5451.0951886792445,20849.148962264153,106
274,1,56.0,4832.395647482014,2132.0071942446043,4142.424658273381,15016.485863309352,556
276,1,56.3,2301.91,1594.5368421052633,2944.096315789474,9785.09052631579,38
278,1,57.0,774.2762222222223,1604.5191111111112,2707.2051111111114,7510.739111111111,45
280,1,57.3,426.3707317073171,1494.6048780487806,2235.728780487805,6292.771463414634,41
284,1,57.9,446.40806451612906,1974.141612903226,2535.3958709677418,7639.231290322581,155
291,1,59.8,3622.4003883495143,1947.9718446601942,3874.5413592233012,11625.192038834952,103
292,1,59.9,449.47388888888895,684.7111111111111,1164.5033333333333,3648.525277777778,36
294,1,60.2,1245.1756666666665,1737.7616666666665,3648.4089166666668,10694.88775,120
308,1,62.9,969.9742307692309,1765.2141025641026,1281.046282051282,8881.964871794871,78
310,1,63.1,373.7875362318841,724.7086956521739,1039.2839130434782,10135.679710144928,69
322,1,65.2,1002.6975000000001,1414.090625,1755.595625,9506.523958333333,48
328,1,65.8,72.89731182795698,563.1569892473118,729.5761290322581,21546.5423655914,93
330,1,66.0,579.5112418300654,826.6091503267974,1591.4819607843137,14172.10477124183,153
332,1,66.2,2097.0845,799.621,1073.684,9824.2965,40
334,1,66.4,1556.6061111111112,1259.0344444444445,1159.1220833333332,9613.032638888888,72
335,1,66.5,2205.7980701754386,1261.7350877192982,1046.4054385964912,10695.615789473684,57
336,1,66.6,1256.731884057971,1125.2959420289856,1221.5968115942028,8499.104057971015,69
337,1,66.7,187.28670033670033,649.4167340067339,1737.9713636363635,16840.554090909092,594
338,1,66.8,1207.1492307692308,1424.9492307692308,1005.6088461538461,13548.426538461537,26
342,1,67.2,190.93880000000001,1230.1038,663.2905999999999,3746.5762,50
343,1,67.3,116.35687898089171,1038.103821656051,2127.959044585987,4957.941847133758,157
347,1,68.1,520.2305882352941,1053.8226470588236,683.9826470588235,4883.01705882353,170
348,1,68.2,815.6415714285714,876.2037714285715,774.4924000000001,6043.483714285714,350
349,1,68.3,876.6452631578946,1915.1000000000001,2523.3255263157894,11219.429473684211,38
350,1,68.4,980.9692156862745,2503.809411764706,2379.257843137255,11200.317647058822,51
351,1,68.5,396.04875,1760.0403125,1521.840625,9123.56375,32
354,1,69.0,201.1318066157761,1117.7575318066158,1235.0237150127227,4906.757531806616,393
358,1,69.5,203.3546511627907,1727.0698837209304,869.6266279069768,5350.157209302326,86
365,1,70.5,511.053947368421,1015.4131578947367,1354.738157894737,7230.9384210526305,38
367,1,70.7,364.2940909090909,946.8283333333333,588.3293939393939,6829.681666666666,66
370,1,71.2,243.42285714285714,991.4389285714286,898.0260714285714,4830.457142857143,28
373,1,71.7,456.69354838709677,1333.9795014662757,736.3399413489736,12820.36275659824,341
380,1,73.5,233.7996551724138,738.5779310344827,311.47655172413795,4753.771724137931,29
381,1,73.6,642.8948854961832,2088.4805343511453,724.6003435114504,13844.983091603053,262
382,1,73.8,134.3319230769231,584.7230769230769,649.8103846153846,4504.213846153846,26
384,1,74.1,1119.7343728222997,1774.8773344947735,1408.5123519163762,17741.845325203252,1722
387,1,75.0,276.21395061728396,1265.4351851851852,1256.6764197530863,11013.267901234567,81
390,1,75.6,976.2558937198067,2782.5203140096614,756.5296376811594,20072.21572463768,414
396,1,77.1,3231.5996774193545,1857.3870967741937,2308.5267741935486,12380.84064516129,31
400,1,77.5,1417.8084782608696,1099.1347826086956,1246.2476086956522,7577.363260869564,46
401,1,77.6,1588.7041935483871,1526.1206451612902,1298.3993548387095,6788.999032258064,31
405,1,78.1,4726.614054054054,1653.1154054054055,2671.8594594594597,12270.93081081081,37
407,1,78.4,5906.278113207547,1852.8745283018868,3774.135094339623,18718.720566037737,53
408,1,78.5,11443.135395683454,1960.398345323741,3066.2466187050363,21203.58928057554,139
409,1,78.6,787.6731552419355,995.9602923387097,1126.5228427419354,5048.430100806452,992
412,1,79.0,757.3975247524752,1253.8340594059407,1803.9181188118812,5331.43801980198,101
413,1,79.1,10014.563037037036,2128.0465925925923,2678.3035555555552,19132.965703703703,135
414,1,79.2,8096.111219512195,1570.7048780487805,3123.6924390243903,17862.050975609756,41
415,1,79.3,11530.243630573248,2027.3381255686988,2852.8114467697906,21135.961674249316,1099
417,1,79.6,3142.2389743589742,1004.3469230769231,2364.346923076923,11166.443076923078,78
418,1,79.7,258.29434782608695,1454.035652173913,846.5791304347825,3943.830434782609,23
419,1,79.8,12798.122051282051,1788.6097435897436,2642.4779487179485,21808.01205128205,39
422,1,80.1,119.22272365805169,1397.963916500994,4656.7240556660045,27279.022703777337,503
423,1,80.2,5717.993636363636,2041.7227272727273,2171.9913636363635,15731.971818181819,22
425,1,80.4,1278.004596273292,1208.0578881987578,1427.737204968944,7258.460124223603,161
426,1,80.5,3816.9726947179947,1732.2179319606087,1784.9632676812892,11620.12981199642,1117
427,1,80.6,1190.4274358974358,1890.9384615384618,2303.403076923077,8853.22512820513,39
428,1,80.7,3508.7672413793102,2173.342988505747,3653.6435632183907,26957.257816091955,87
429,1,80.8,2165.3613333333333,1768.484,2137.8313333333335,12281.90311111111,90
431,1,81.0,23995.85361111111,2358.422777777778,4146.200000000001,42933.66583333333,36
435,1,81.4,10600.99379310345,2130.462068965517,2425.7796551724136,21538.500344827586,29
436,1,81.5,24795.731636363635,2640.416779220779,3944.9954285714284,42788.58257142857,385
437,1,81.6,13511.21516891892,2495.1785135135133,1778.2744594594594,21720.02168918919,296
440,1,81.9,845.1865739570164,1406.8708596713022,1680.6334766118837,7694.555233881164,791
443,1,82.2,245.50878787878787,952.720606060606,882.8233333333333,2958.110606060606,33
444,1,82.3,8097.296170212766,767.9816489361701,3586.5073936170215,16996.739734042552,188
445,1,82.4,3938.1396923076923,857.3353846153847,2503.5047692307694,10794.068000000001,65
450,1,83.0,1584.9020930232557,1161.3141860465116,1914.9441860465117,7482.665813953488,43
451,1,83.1,1601.6385245901638,901.2022950819672,2245.1916393442625,8400.714262295081,61
452,1,83.2,3154.0352702702703,937.8094594594594,2239.9567567567565,12197.411486486486,74
453,1,83.3,376.34858407079645,1077.0513274336283,938.6642477876106,3852.249115044248,113
454,1,83.4,7190.144487179487,1078.6493589743588,3874.8319230769234,17510.581153846153,78
455,1,83.6,3159.0823076923075,1000.6166666666668,2965.935641025641,10331.645897435897,39
457,1,83.8,717.8896153846152,913.8634615384616,1693.815,6783.149615384616,26
458,1,83.9,113.9521547420965,1161.0970465890182,1070.508826955075,4939.525765391015,1202
463,1,84.5,10158.788636363637,2009.940909090909,4153.36590909091,22452.607272727273,22
468,1,85.2,441.38160714285715,822.1991071428572,825.25625,4286.7585714285715,56
471,1,86.0,1420.3582432432431,1445.9287837837837,2318.397027027027,8496.845135135136,74
473,1,86.2,2944.7476760563377,1281.3124647887323,3062.6346126760563,11510.38809859155,284
474,1,86.3,504.5531818181818,995.6564204545455,923.4380681818183,3973.3694886363637,176
476,1,86.5,1634.2543076923077,1403.6224615384617,2117.2347692307694,7224.651076923077,65
478,1,86.7,1626.8278205128206,1026.176282051282,2582.1821794871794,8828.540512820513,78
479,1,86.8,695.9105405405405,833.7594594594594,2151.8986486486488,5860.309189189189,37
481,1,87.0,49.351,1901.645,1294.82225,4096.78575,40
482,1,87.2,92.76934782608696,644.3717391304348,1182.041304347826,3932.456304347826,46
483,1,87.4,565.4762448979592,1157.8685714285714,2334.273918367347,5548.205795918367,245
488,1,88.2,1063.0718644067797,868.3949152542374,1075.3777966101695,4965.248813559322,59
490,1,88.4,3832.0491752577323,1945.6448453608245,3930.796391752577,23689.43731958763,194
492,1,88.6,2095.3875000000003,1173.2842592592592,2203.2652777777776,8516.941666666668,108
493,1,88.7,230.81205555555556,1499.5983333333334,2908.4821666666667,6030.947,180
494,1,88.9,213.5984105960265,791.6423841059602,1116.1180794701986,4495.913178807947,151
497,1,89.5,212.61936329588016,1933.97734082397,3304.9987265917603,7187.787415730337,267
499,1,92.2,2955.8552709359606,2234.1064039408866,26179.39285714286,43626.89586206896,203
504,1,93.3,59.921753653444675,1086.2567849686848,1526.4248225469728,5406.106951983298,479
505,1,93.4,5388.9281481481485,1569.6333333333332,3189.828518518518,12940.414814814816,27
506,1,93.5,1718.562505800464,1408.7038515081206,1447.7131786542923,6673.5434570765665,431
509,1,93.9,120.82671698113208,1545.440352201258,2342.948855345912,5336.797874213836,795
510,1,94.2,188.41925925925923,7416.266666666667,1399.661111111111,19954.964444444446,27
511,1,95.0,6.141851851851851,1033.4703703703703,1351.0777777777778,3271.8837037037038,27
512,1,96.0,328.304375,2976.065625,4219.435625,13443.84375,32
515,1,96.5,0.05151162790697674,7824.950930232558,2584.4451395348833,17291.86093023256,430
517,1,96.7,1064.0398181818182,2925.1930909090906,8901.012545454545,27496.708,55
520,1,97.6,328.8516129032258,707.078494623656,1330.423870967742,3606.074838709678,186
521,1,97.7,463.86058823529413,843.5676470588235,514.2105882352942,4829.7797058823535,34
526,1,98.5,34.528760268857354,898.4998132935026,1127.7611874533234,3031.7596639283047,1339
527,1,99.0,221.40625,2184.2609375,2671.01625,7803.9925,64
529,1,99.2,3811.849030969031,2035.6585114885115,4486.519600399601,15724.426853146853,1001
531,1,99.7,1284.5795495495495,2546.7297297297296,2007.4615315315316,10400.914954954955,111
532,1,99.8,1536.6063218390805,2121.6643678160917,2007.9898850574712,12554.525977011494,87
533,1,99.9,27.895146804835925,996.3883333333333,1758.804395509499,5055.8933506044905,2316
534,2,,80.98720026248746,1351.0169453022465,1581.4953194240716,5281.74107996217,103624
540,2,00.8,20789.924642857142,2132.8642857142854,4368.113214285714,34057.25357142857,28
541,2,01.2,9576.321666666667,10754.130000000001,12089.27,51065.238333333335,30
542,2,01.3,7748.87275862069,6718.895172413793,5999.887586206896,32276.682758620693,29
550,2,03.0,11362.477272727272,2071.6706818181815,2391.3624999999997,21595.61181818182,44
551,2,03.3,1765.7560606060606,2396.0454545454545,1869.2227272727275,10846.78484848485,33
552,2,03.5,22208.298720930234,2683.5013953488374,4503.273837209302,36070.729302325584,172
554,2,03.9,751.3654605263158,857.7046710526316,864.4130921052632,5337.246776315789,152
556,2,04.2,2378.9434615384616,1840.2076923076925,1291.5976923076923,9139.667307692307,52
558,2,04.4,4477.372083333333,1517.3,1529.4804166666665,13658.605833333333,24
560,2,04.8,227.7970283018868,1301.5444811320754,1114.7021226415095,5512.7976415094345,212
562,2,05.3,62.52024390243902,1061.526219512195,514.7314634146342,4392.771219512195,164
565,2,06.3,973.2308928571429,1587.9616071428572,1520.1744642857143,8129.584285714285,56
572,2,08.2,135.45033707865167,902.3150561797752,725.9186516853932,2898.697415730337,89
574,2,08.4,197.73517857142858,839.6519642857144,378.9076785714286,2318.1837499999997,56
583,2,09.8,113.60075757575757,1032.7075757575758,863.0159090909092,3444.268181818182,66
585,2,10.3,86.29904761904761,812.8380952380952,347.0623809523809,2249.444761904762,21
589,2,11.3,589.6759504132231,666.1826033057852,262.84095041322314,3006.0020661157023,242
595,2,12.6,149.13545454545454,771.8636363636364,746.3831818181818,3934.6922727272727,22
600,2,13.4,2665.23744968459,852.3159807750075,148.85234004205466,5910.338230699909,3329
601,2,13.5,2539.354861111111,1097.4569444444444,285.58402777777775,5242.772916666667,72
603,2,13.7,1588.574422310757,1166.9081009296149,183.1138379814077,4613.755843293493,753
609,2,14.6,462.305,808.046875,520.8878125,3473.200625,32
610,2,14.7,2854.2707079646016,777.8159292035398,1164.1664601769912,8326.61946902655,113
619,2,17.1,3356.8412612612615,1414.875855855856,1115.6387387387388,9657.402792792793,111
622,2,17.9,297.31829281767955,1119.3650055248618,1640.5762320441988,5255.812756906077,1810
625,2,18.2,170.606875,1004.56921875,905.39375,3533.13125,64
632,2,20.0,153.93384615384616,1070.2743589743588,1370.669358974359,4291.275512820513,78
638,2,21.0,457.4631111111111,1025.418,785.7662222222223,3584.6695555555557,45
640,2,21.2,71.87545454545455,1552.2045454545455,1146.2277272727274,4027.9927272727273,22
641,2,21.3,276.2310958904109,1159.7876712328766,1017.7167123287672,5152.766849315069,73
642,2,21.5,418.78076923076924,1269.0230769230768,1070.991076923077,5136.814923076922,65
643,2,21.6,282.0190625,886.96703125,1103.57484375,5761.67796875,64
644,2,21.7,217.55260869565217,1138.5478260869565,1376.075652173913,4204.23347826087,23
645,2,21.8,529.0493877551021,1445.7244897959183,1311.4204081632652,5749.383265306123,49
649,2,22.2,632.4290909090909,1332.6818181818182,1270.4363636363637,6450.321818181818,33
