,basy_yydj,basy_ssjczbm1_for_str_6,age_group,AGE-HAOCAI-only_operation-6-E,AGE-JCJY-only_operation-6-E,AGE-YP-only_operation-6-E,AGE-ZFY-only_operation-6-E,记录条数-only_operation-6
0,1,,0,188.81809430255404,1047.458978388998,1037.9443516699412,5975.821257367387,1018
1,1,,1,438.00559202813594,976.4289683470106,1248.6794255568582,6881.075779601407,853
2,1,,2,342.2769240780911,1201.5776355748374,1478.1091062906726,7417.358720173536,2305
3,1,,3,293.01522325581396,1263.1232558139534,1483.9471627906976,7567.977286046511,4300
4,1,,4,290.68246269717207,1296.6238041779168,1498.1381199374732,7312.749887736251,7037
5,1,,5,242.75103624792473,1247.3854973713337,1525.807761483121,6641.262937188711,14456
6,1,,6,115.0574543163201,1257.4762228823477,1824.8522675308309,6197.900643622288,11109
7,1,,8,94.35670447578173,1276.453832771306,2064.620081238504,5950.879846719803,13048
8,1,,9,95.88662570073308,1348.1241472617507,2493.5015297542045,6657.593440060371,9276
92,1,03.310,4,2266.4922727272724,1623.9136363636362,6471.955454545454,15745.175909090909,22
93,1,03.310,5,1256.923137254902,1378.1864705882351,5043.6498039215685,12479.066470588235,51
94,1,03.310,6,403.43,1462.6352631578948,5917.3426315789475,12351.660526315789,38
95,1,03.310,8,829.9974193548388,1415.2445161290323,5137.685483870968,13454.18258064516,31
103,1,03.530,5,22785.44911764706,2531.6788235294116,3929.901470588235,36659.12911764706,34
112,1,03.910,2,473.5357142857143,1810.1657142857143,797.9214285714286,12991.624285714284,35
113,1,03.910,3,436.87742857142854,1683.9,1080.202,12874.157428571429,35
114,1,03.910,4,503.14933333333335,1401.6313333333335,1149.1843333333334,6877.418000000001,30
115,1,03.910,5,293.91903225806453,1372.8916129032257,937.2343548387097,5147.999032258064,62
116,1,03.910,6,644.7604651162791,1565.7041860465115,894.2488372093025,5652.846279069767,43
117,1,03.910,8,110.99024390243903,1637.3180487804877,1141.9748780487805,5808.342682926829,41
139,1,04.2x0,4,1823.5513953488373,1339.3823255813954,1093.3055813953488,7682.870232558139,43
140,1,04.2x0,5,1462.6186746987953,1395.3313253012047,1077.385903614458,6963.645180722892,83
141,1,04.2x0,6,1492.8675675675674,1424.250810810811,1145.126216216216,6897.086486486487,37
142,1,04.2x0,8,2247.2883333333334,1808.7633333333333,979.6005555555556,8755.6975,36
163,1,04.490,4,3408.1996875,1395.4065625,2996.16625,11523.4515625,32
164,1,04.490,5,3058.6946341463413,1512.7585365853658,3950.5400000000004,13794.982926829269,41
179,1,04.810,4,58.395,1179.9347826086957,1188.3910869565218,5182.202173913043,46
180,1,04.810,5,177.88571428571427,1262.1769387755103,1275.9635714285714,5962.795102040816,98
181,1,04.810,6,43.88455882352941,1254.6308823529412,1216.9707352941175,5181.526617647059,68
182,1,04.810,8,129.96421052631578,1454.5694736842106,1317.7398684210525,5736.468947368421,76
183,1,04.810,9,54.19967741935484,1647.5896774193548,1622.6951612903226,5921.434838709678,31
284,1,08.490,5,120.70666666666666,723.7740740740742,153.39,1904.5666666666668,27
285,1,08.490,6,195.2033962264151,580.795283018868,137.47509433962264,1692.5464150943396,53
286,1,08.490,8,225.18460176991152,631.862389380531,196.61982300884958,1980.3145132743364,113
287,1,08.490,9,142.07380952380953,576.0607142857143,159.80833333333334,1751.7216666666666,42
318,1,09.6x0,8,85.27961538461538,599.9307692307692,226.39884615384614,2442.415384615385,26
329,1,09.810,4,725.39875,637.0458333333333,646.34,3528.775416666667,24
330,1,09.810,5,662.7335714285714,644.8028571428571,498.89385714285714,3415.9854285714287,70
331,1,09.810,6,797.3931707317073,578.8536585365854,574.3085365853659,3681.2151219512198,41
332,1,09.810,8,733.7996875,567.953125,399.79593750000004,3766.32375,32
363,1,11.320,4,331.6159259259259,586.9074074074074,237.7522222222222,2325.502962962963,27
364,1,11.320,5,448.5413084112149,560.5677570093458,212.80373831775702,2220.5030841121497,107
365,1,11.320,6,671.7079338842975,541.4826446280991,203.80801652892563,2395.745702479339,121
366,1,11.320,8,868.0130821917808,532.4335616438357,221.2304794520548,2695.155205479452,146
367,1,11.320,9,929.0256097560974,527.829268292683,263.0680487804878,2828.4714634146344,41
370,1,11.390,4,490.07837837837843,477.6945945945946,192.4381081081081,2332.3321621621626,37
371,1,11.390,5,485.84184931506854,578.7517123287671,171.9480821917808,2524.7653424657533,146
372,1,11.390,6,320.22102150537637,608.0034946236559,182.05505376344084,2239.8651612903227,186
373,1,11.390,8,314.14569892473116,613.3051075268817,170.8206989247312,2258.063548387097,186
374,1,11.390,9,293.42977777777776,642.208888888889,147.10266666666666,2293.132222222222,45
423,1,13.410,4,5266.162413793103,843.884051724138,204.06827586206896,9258.712931034483,116
424,1,13.410,5,4114.540899224806,775.1860310077519,202.6240465116279,8208.682697674418,645
425,1,13.410,6,2853.856160164271,784.3842402464065,198.47227926078028,6312.872227926078,1948
426,1,13.410,8,2472.440912526998,764.173741900648,191.85900917926566,5770.798444924407,3704
427,1,13.410,9,2230.7591030392887,769.2213046701261,187.56576723498887,5518.876108228317,1349
433,1,13.590,8,2168.84375,640.8125,223.34104166666668,4335.771250000001,48
439,1,13.700,5,2561.798039215686,651.9862745098038,190.0607843137255,4775.858823529412,51
440,1,13.700,6,2259.04890625,653.11640625,188.286796875,4486.526796875,128
441,1,13.700,8,2260.4492439862543,650.7815120274913,200.22,4514.394467353952,291
442,1,13.700,9,2178.69131147541,624.0811475409836,201.83975409836066,4388.099098360655,122
444,1,13.710,4,1971.063103448276,695.2310344827587,160.31862068965518,6824.59275862069,29
445,1,13.710,5,1616.2096624472574,743.6999999999999,149.70476793248946,5347.766329113923,237
446,1,13.710,6,1707.9979902557857,750.5968331303288,141.6773568818514,5080.045371498173,821
