,basy_zyzd_jbbm_for_str_4,basy_yydj,HAOCAI-4-only_disease-E,JCJY-4-only_disease-E,YP-4-only_disease-E,ZFY-4-only_disease-E,记录条数-4-only_disease
5,A02.,6,652.7221428571429,4419.504464285715,4256.092857142858,13086.746785714286,56
14,A04.,6,409.0844927536232,2620.871739130435,1544.0042028985508,6602.250579710145,69
23,A08.,6,354.1431313131313,2110.978080808081,1148.439393939394,5891.558585858586,99
25,A09.,2,435.87875,973.7208333333333,1405.205,4107.88875,24
26,A09.,3,501.3193055555555,1214.6999999999998,1561.9516666666668,4667.634166666667,72
28,A09.,5,428.72330188679246,2479.4150943396226,1776.9356603773583,6512.440660377358,106
29,A09.,6,510.14810126582273,3190.2726582278483,2213.909050632911,8434.648132911392,316
32,A15.,3,904.5879104477613,2381.9688059701493,2410.5600000000004,8500.503582089552,67
34,A15.,5,1231.435327102804,3520.840934579439,2579.3910280373834,10712.72336448598,214
35,A15.,6,1701.3909814918677,5903.198614694335,4633.847700504767,17094.56114413909,1783
37,A16.,2,490.84592592592594,3234.3703703703704,2958.4366666666665,10252.741851851853,27
38,A16.,3,532.3057861635219,3497.528050314465,2750.1606918238995,10946.194088050315,159
39,A16.,4,1360.2608695652175,3586.0669565217395,2340.751304347826,9739.341304347827,23
40,A16.,5,708.5173716632444,3611.3354620123205,2471.9986652977414,10127.630636550308,487
41,A16.,6,1647.0351187122737,5738.360603621731,3974.8168732394365,15699.868816901408,2485
46,A17.,5,1641.1499999999999,7233.539583333334,4815.2225,19919.942916666667,24
47,A17.,6,2013.6380228136884,10191.948212927757,9837.311330798479,31372.787338403043,263
50,A18.,3,6457.913142857144,3775.491428571429,3744.0908571428567,22871.32942857143,35
52,A18.,5,2441.8896,4094.7495,3197.5387,16288.826000000001,100
53,A18.,6,6925.298441025641,6425.7176512820515,5002.690112820514,27508.33867692308,975
58,A19.,6,862.9372625698323,8952.068212290502,7865.57184357542,24882.27631284916,179
75,A37.,6,431.5561016949153,1990.0345197740112,1998.5129378531071,7715.209209039548,177
81,A40.,6,1938.538888888889,8591.191587301586,11458.852539682539,30965.55904761905,63
82,A41.,1,554.21175,2249.1925,4148.8017500000005,10954.8225,40
83,A41.,2,516.687843137255,4490.259215686275,5094.8260784313725,15098.351176470589,51
84,A41.,3,1039.496556122449,5676.401071428572,6261.729030612244,20083.69576530612,392
85,A41.,4,1904.8403252032522,9733.778536585365,10712.840162601628,33650.36089430894,123
86,A41.,5,1592.1518411214954,7032.656785046729,7363.696803738318,23646.415523364485,1070
87,A41.,6,2153.395063900722,10447.009475828856,11150.185610298204,33991.464061863306,5399
94,A46.,6,401.9464102564103,3057.1128205128202,2883.315641025641,9748.284871794871,39
98,A48.,6,1547.7540625,8431.179375,7852.5553125,27245.197187499998,32
101,A49.,3,839.0334999999999,3772.31,4857.857,13498.372,40
102,A49.,4,1359.9846153846154,7268.780769230769,6793.623076923077,23963.593846153843,26
103,A49.,5,629.2507547169812,4718.814150943396,5339.031132075472,16424.48358490566,53
104,A49.,6,969.0121276595745,6584.794787234042,6308.546808510639,19901.755,188
110,A52.,6,548.1323529411765,4542.722745098039,4221.191372549019,13304.439019607844,51
125,A63.,5,465.594054054054,1741.8181081081082,832.6086486486487,5407.757027027027,37
126,A63.,6,680.8404411764706,1978.4720588235296,1254.5030882352942,8892.940147058824,68
142,A86.,5,628.9748484848484,4459.684242424242,3049.389090909091,12182.972727272727,66
143,A86.,6,744.5762500000001,7052.939605263158,4002.885065789474,17213.663837719298,456
147,A87.,6,483.2941666666667,5785.180416666666,2713.929583333333,12579.520297619049,168
157,B00.,6,993.2998765432098,7220.484320987654,4548.682592592592,18235.187530864197,81
160,B01.,6,419.80100000000004,6127.986666666667,1364.4193333333335,11284.519,30
162,B02.,2,391.2366666666666,2040.0380952380954,956.6521428571428,5558.3435714285715,42
163,B02.,3,647.89768707483,1422.3016326530612,2512.7277551020406,7616.373265306123,147
164,B02.,4,407.61136363636365,2507.469090909091,1193.1113636363636,6843.156818181818,22
165,B02.,5,807.7605314009661,1950.006038647343,1419.3761352657004,7052.5088888888895,207
166,B02.,6,713.1844249809596,3008.1482254379284,1774.1310053313025,10048.151127189642,1313
174,B08.,2,318.2431818181818,471.2863636363636,1486.8872727272728,2820.5118181818184,22
177,B08.,5,284.96074074074073,677.9148148148148,594.0266666666666,2387.3307407407406,27
178,B08.,6,301.29315789473685,1412.39,986.8364473684211,4152.1025,76
184,B16.,6,1768.6652173913042,3531.195652173913,2390.906956521739,10540.092608695652,23
186,B17.,6,3510.440303030303,5766.517272727273,5340.41909090909,20035.134242424243,33
