,basy_zyzd_jbbm_for_str_4,basy_yydj,age_group,AGE-HAOCAI-4-only_disease-E,AGE-JCJY-4-only_disease-E,AGE-YP-4-only_disease-E,AGE-ZFY-4-only_disease-E,记录条数-4-only_disease
10,A02.,6,0,406.0805555555555,2105.539722222222,1586.7947222222222,6174.401111111111,36
34,A04.,6,0,302.881568627451,1551.2098039215687,688.1586274509804,3729.149215686274,51
55,A08.,6,0,304.8998969072165,1706.3436082474225,718.8479381443299,4332.055876288659,97
68,A09.,3,0,273.396,577.7857142857143,1096.8251428571427,3034.4671428571432,35
81,A09.,5,0,268.7683333333333,642.8291666666667,350.3433333333333,2218.7616666666668,24
87,A09.,5,6,674.5036363636364,2511.609090909091,2109.559090909091,7543.544545454546,22
90,A09.,6,0,400.2137755102041,1516.1826530612245,899.5024489795919,4606.822653061225,98
95,A09.,6,5,564.6476470588235,3982.270588235294,3033.756274509804,11158.952156862746,51
96,A09.,6,6,745.7923255813953,3385.8658139534887,2474.2602325581397,9322.023488372093,43
97,A09.,6,8,558.2318604651163,4399.78,3230.8323255813957,10885.051627906978,43
98,A09.,6,9,357.0678571428571,4708.191071428571,3704.426071428571,12343.732142857143,28
119,A15.,5,5,1366.7463829787234,3234.854893617021,2094.802765957447,9656.770212765958,47
120,A15.,5,6,1382.2405172413792,3727.758965517241,2697.5184482758623,11298.18379310345,58
121,A15.,5,8,470.6928205128205,3415.6743589743587,2878.346153846154,10283.036666666667,39
122,A15.,5,9,587.5008695652174,4596.865652173913,3633.703043478261,12761.540434782608,23
124,A15.,6,1,1304.7834065934064,5368.80978021978,4312.445164835165,15286.258241758242,91
125,A15.,6,2,1128.9386991869917,5290.300731707317,4515.937845528455,15150.628577235771,246
126,A15.,6,3,1498.016821192053,5924.791721854305,5003.669735099338,17193.662185430465,151
127,A15.,6,4,2886.1187,5718.1094,4828.8152,18954.24615,200
128,A15.,6,5,2386.2213875598086,6183.136507177033,4853.0857177033495,18336.072966507178,418
129,A15.,6,6,1558.3629245283018,5720.102201257861,4432.5860377358495,16396.90317610063,318
130,A15.,6,8,901.3098529411765,6057.140919117647,3995.250955882353,15590.659080882351,272
131,A15.,6,9,1126.7082142857143,7596.98619047619,6029.556547619048,21802.865714285716,84
142,A16.,3,1,325.02130434782606,1318.9843478260868,1410.124347826087,5470.423913043478,23
143,A16.,3,2,354.74617647058824,1709.5988235294117,1447.115294117647,5709.151176470588,34
