,basy_zyzd_jbbm_for_str_6,basy_yydj,basy_ssjczbm1_for_str_6,age_group,AGE-HAOCAI-6-6-E,AGE-JCJY-6-6-E,AGE-YP-6-6-E,AGE-ZFY-6-6-E,记录条数-6-6
112,A08.00,6,,0,277.78857142857146,1645.182619047619,574.4988095238095,3831.515476190476,42
177,A09.00,6,,0,304.9636,1281.8272,899.1932,3844.8403999999996,25
243,A09.90,3,,0,254.8136363636364,401.44545454545454,1283.1613636363636,2724.367272727273,22
289,A09.90,6,,0,343.71642857142854,1344.2707142857143,1029.9246428571428,4647.798571428571,28
442,A15.00,6,,2,493.95500000000004,4457.370588235294,5111.158529411765,13992.023529411765,34
443,A15.00,6,,3,530.3708333333333,5306.278333333333,4989.09,14463.282500000001,24
444,A15.00,6,,4,433.3585294117647,4965.80294117647,6510.079117647059,15720.013235294116,34
445,A15.00,6,,5,406.18510000000003,4939.7716,5343.5347,14033.345800000001,100
446,A15.00,6,,6,415.13907216494846,4914.437422680412,5689.479278350515,14909.946597938146,97
447,A15.00,6,,8,405.1564935064935,5199.167792207792,4082.861688311688,13596.847792207793,77
448,A15.00,6,,9,364.4810714285714,5675.975357142857,6579.101785714286,17390.460357142856,28
489,A15.00,6,33.240,2,394.10016666666667,5428.033333333334,4558.7390000000005,13738.903166666665,60
490,A15.00,6,33.240,3,589.2432258064516,6602.636129032258,6059.2519354838705,17545.953548387097,31
491,A15.00,6,33.240,4,465.850303030303,5879.345454545454,3805.397575757576,13362.390606060606,33
492,A15.00,6,33.240,5,457.6709090909091,6542.227272727273,4865.395340909091,15451.23340909091,88
493,A15.00,6,33.240,6,529.2139344262295,6399.03475409836,4150.4090163934425,14790.183278688526,61
494,A15.00,6,33.240,8,498.8745833333333,6237.392083333333,4123.015,14621.188750000001,48
709,A15.30,6,,4,493.1534782608696,3615.7956521739134,3067.703043478261,10911.389130434784,23
735,A15.30,6,33.240,1,418.17952380952386,3474.095714285714,1334.2047619047619,8007.466666666666,21
736,A15.30,6,33.240,2,418.4326315789474,3920.2894736842104,1528.885,8392.973421052631,38
738,A15.30,6,33.240,4,485.25380952380954,4796.576190476191,2893.8376190476192,11343.066190476191,21
739,A15.30,6,33.240,5,371.4144827586207,4704.120689655172,3568.5637931034485,11544.904827586206,29
914,A16.00,6,,1,548.12,2598.0730769230768,1274.98,7049.859615384616,26
915,A16.00,6,,2,636.1053846153847,3019.707692307692,1993.6638461538462,8858.672307692306,26
918,A16.00,6,,5,462.046,3738.64,2148.6452,9048.315200000001,25
930,A16.00,6,33.240,2,465.2712,3187.3959999999997,1961.4212,8293.2556,25
933,A16.00,6,33.240,5,446.7164516129032,4445.122580645161,1950.0187096774193,9402.686774193548,31
1112,A16.20,5,,8,317.1252380952381,3582.052380952381,2408.07380952381,9273.837142857143,21
1180,A16.20,6,,1,392.25857142857143,4036.6499999999996,2749.862619047619,10268.760238095238,42
1181,A16.20,6,,2,435.53945454545453,3783.2654545454548,2887.8752727272727,10330.695272727273,55
1182,A16.20,6,,3,360.06514285714286,3510.2971428571427,3017.097714285714,9809.614285714286,35
1183,A16.20,6,,4,432.1017307692308,3749.3384615384616,3618.6686538461536,11041.406730769231,52
1184,A16.20,6,,5,438.7119402985075,4521.670597014925,3849.162537313433,11895.059402985074,67
1185,A16.20,6,,6,404.6289655172414,5114.664137931035,4722.683793103448,14189.93896551724,58
1186,A16.20,6,,8,386.86017241379307,5444.005862068966,5327.773793103448,15441.214655172413,58
1187,A16.20,6,,9,406.84680000000003,5777.5,6571.988399999999,18066.4032,25
1243,A16.20,6,33.220,5,518.3751612903226,9104.209677419354,7045.352580645161,21714.508387096776,31
1255,A16.20,6,33.240,1,390.9496875,6134.1296875,3757.2853125,13851.9865625,32
1256,A16.20,6,33.240,2,352.8164788732395,5930.07323943662,2843.0701408450705,11991.389014084507,71
1257,A16.20,6,33.240,3,413.4971428571429,6226.891904761905,3938.453095238095,14000.839761904763,42
1258,A16.20,6,33.240,4,468.72540000000004,6353.1504,3577.696,13362.558200000001,50
1259,A16.20,6,33.240,5,485.5908080808081,6422.142323232323,3181.497070707071,13049.94686868687,99
1260,A16.20,6,33.240,6,528.8407692307693,6897.070769230769,3701.5561538461543,14606.805192307693,52
1261,A16.20,6,33.240,8,473.34814814814814,6249.43037037037,4053.5081481481484,14236.529259259258,54
1541,A16.50,6,34.040,2,474.4152173913044,3801.655652173913,1894.735652173913,9436.243913043478,23
1542,A16.50,6,34.040,3,674.2552000000001,3991.2344,1473.1356,9270.794,25
1543,A16.50,6,34.040,4,520.758695652174,4878.0595652173915,2139.2308695652173,10695.087826086956,23
1544,A16.50,6,34.040,5,727.3178260869565,4645.487391304348,2921.513043478261,12285.345652173914,23
1546,A16.50,6,34.040,8,1113.8722727272727,6205.509545454545,2904.093636363636,14208.872727272728,22
1590,A16.50,6,34.910,2,1342.6284615384614,5053.2715384615385,3113.620384615385,13626.653846153846,26
1594,A16.50,6,34.910,6,661.0842857142858,5399.178571428572,3547.861904761905,13082.020952380952,21
1595,A16.50,6,34.910,8,656.3471428571428,5375.5599999999995,2617.5633333333335,12027.637142857144,21
1709,A17.80,6,03.310,2,1052.9790476190476,9880.238095238095,11118.245238095238,32215.269523809526,21
2610,A37.90,6,,0,298.0291836734694,1456.7995918367346,2528.38,7650.09693877551,98
2998,A41.50,6,,5,585.50875,6587.55325,5857.947,16980.49025,40
2999,A41.50,6,,6,695.186511627907,6443.437674418605,6604.402325581395,18603.545116279067,43
3000,A41.50,6,,8,622.4815,7553.552,7375.757833333334,21127.931666666664,60
3001,A41.50,6,,9,785.3477551020409,7972.519387755102,7690.306326530613,23212.065714285713,49
3291,A41.90,1,,0,408.69458333333336,1189.8541666666667,1371.4441666666664,7000.200833333333,24
3323,A41.90,3,,0,317.9496296296296,1129.085185185185,1377.0992592592593,4178.983333333334,27
3329,A41.90,3,,8,621.3894285714287,5010.810285714286,4841.393714285714,13714.68457142857,35
3330,A41.90,3,,9,662.4545454545455,5064.398787878788,6464.861212121213,19026.664242424245,33
3481,A41.90,5,,0,274.2272380952381,1219.8673333333334,1102.028,4087.5129523809524,105
3486,A41.90,5,,5,345.71846153846155,4355.975384615384,3866.8623076923077,11143.359615384614,26
3487,A41.90,5,,6,396.4172222222222,6230.35,5758.308888888889,17194.45138888889,36
3488,A41.90,5,,8,561.7912765957446,5617.414893617021,5640.293404255319,16989.75063829787,47
3489,A41.90,5,,9,470.2014,5818.008000000001,6488.0084,20852.6506,50
3628,A41.90,5,93.900,9,1393.1070833333333,8288.1,11024.950833333334,30176.32875,24
3659,A41.90,5,96.720,9,4603.636190476191,18087.442380952383,15157.180476190479,59410.16857142857,21
3677,A41.90,6,,0,366.32685344827587,1994.5019396551725,1533.4692887931035,5711.674612068966,464
3678,A41.90,6,,1,432.9069230769231,2793.2926923076925,2695.8965384615385,8385.151538461538,26
3680,A41.90,6,,3,543.9087499999999,6015.404166666667,4803.23375,15099.29875,24
3681,A41.90,6,,4,443.64520833333336,5089.76625,5185.2335416666665,13926.125625,48
3682,A41.90,6,,5,528.4122580645161,6333.636854838709,5949.085967741936,16676.927258064516,124
3683,A41.90,6,,6,653.14756302521,6652.167142857143,6117.449663865546,17420.92,119
3684,A41.90,6,,8,518.3977368421052,6724.593421052631,6054.5334736842115,17448.847631578945,190
3685,A41.90,6,,9,699.6561538461539,7577.222163461538,6493.321778846153,20375.55769230769,208
3698,A41.90,6,03.310,0,767.598023255814,5639.101744186047,3494.9593023255816,14468.206279069767,86
3719,A41.90,6,17.950,0,439.3,1269.9988888888888,1491.9831111111112,5244.710888888889,45
3763,A41.90,6,33.240,5,1046.0965217391306,10618.07,12130.371739130434,31982.16347826087,23
3764,A41.90,6,33.240,6,934.9795238095238,9003.970476190476,9575.49142857143,25739.17714285714,21
