,basy_yydj,basy_ssjczbm1_for_str_6,HAOCAI-only_operation-6-E,JCJY-only_operation-6-E,YP-only_operation-6-E,ZFY-only_operation-6-E,记录条数-only_operation-6
0,1,,1958.2706017029327,1585.7689441816462,3382.0559451277204,12503.980794701987,5285
13,1,01.410,5148.8372,2251.042,4719.8594,20100.4706,50
25,1,03.090,25582.341515151515,1957.2636363636364,3009.319393939394,37571.947878787876,33
26,1,03.091,10291.140869565217,1795.4608695652173,2961.2730434782607,22756.872173913045,23
27,1,03.310,1732.8966315789473,1447.8936842105263,5403.478,15353.363368421053,95
28,1,03.530,25815.794444444444,2742.8920634920637,4062.2374603174603,37662.7773015873,63
31,1,03.910,1140.1924418604651,1836.6709302325582,1179.1702325581396,12540.781511627907,86
38,1,04.2x0,2010.313432835821,1525.739303482587,1254.7830845771143,7904.607412935324,201
44,1,04.490,5252.189841269842,1644.343015873016,4377.359841269841,17264.071904761906,63
46,1,04.740,3616.6792,820.3684,2235.7652,12956.9932,25
49,1,05.0x0,1189.354054054054,2044.2027027027027,813.0386486486486,17967.390000000003,37
57,1,06.4x0,8288.951764705882,2858.976176470588,2573.161176470588,22692.759705882352,34
59,1,06.810,1180.643,4411.3,3146.736,16482.101333333332,30
71,1,08.490,734.9583720930233,625.8220930232558,178.68627906976744,2721.9302325581393,43
81,1,09.810,939.6603144654088,634.8440251572326,559.6664779874214,3980.5793710691823,159
89,1,11.320,1401.3060576923076,470.1146634615385,192.71677884615383,3028.139423076923,208
90,1,11.390,841.3267634854772,557.4966804979254,200.40763485477177,2950.066680497925,241
96,1,12.640,757.4971875,697.11875,658.809375,5814.2965625,32
103,1,13.410,3300.43106856634,731.3345577322648,207.64103146334224,6318.498984861976,6738
106,1,13.590,2356.489375,642.1241666666666,238.54437499999997,4572.7821875,96
108,1,13.700,2306.1181881533103,642.6662369337979,200.58283972125437,4513.035731707318,574
109,1,13.710,2151.252578544061,758.8132950191571,147.58059770114943,4970.43853256705,2610
121,1,14.6x0,3633.2663636363636,838.5418181818183,348.4280303030303,6374.301515151516,66
125,1,14.740,6009.447096774194,921.9348387096774,421.3833548387097,11921.79935483871,155
162,1,17.983,2596.1226923076924,673.8161242603551,3688.325680473373,9480.268002958579,676
166,1,18.290,1155.1204,895.72,2070.8160000000003,6311.488399999999,25
168,1,19.4x0,1079.2424691358024,1248.53012345679,3792.757901234568,10745.194691358025,81
178,1,21.090,1286.4668421052631,1044.55,1692.1471052631578,5823.400789473684,38
183,1,21.5x0,3099.7213636363635,854.5863636363636,1431.2295454545454,8887.66840909091,44
185,1,21.690,2060.4885416666666,779.3088333333333,1491.7916666666667,6953.119958333334,240
188,1,21.840,1237.933116883117,714.6172077922079,2300.022077922078,7179.517467532467,154
193,1,22.120,1559.6938095238095,1530.3619047619047,3030.347142857143,10472.53619047619,21
199,1,22.530,1411.6480188679245,1069.693144654088,2631.862075471698,9855.908333333333,318
220,1,28.2x0,1829.691011235955,941.3385393258427,2224.2724719101125,7696.888876404494,89
222,1,28.5x0,1548.7205714285715,715.5071428571429,1217.1654285714285,5236.213428571428,70
223,1,28.6x0,2461.7951908396944,795.0917557251909,1320.4698473282442,7488.619541984733,131
228,1,29.990,2943.253888888889,592.7611111111112,1304.4609722222222,6884.264444444444,72
229,1,30.090,1028.4842083333333,876.0195833333333,1613.99225,6034.767000000001,240
230,1,30.091,1257.1419512195123,1047.9634146341464,2570.6653658536584,7258.946341463415,41
237,1,33.260,2015.4836082474228,900.0484536082474,1220.4465979381444,6964.943814432991,97
240,1,34.040,2411.152027027027,2506.2736486486488,5866.54418918919,15352.360675675674,74
248,1,34.910,509.8097435897436,2427.559230769231,4253.053076923077,11816.721025641025,39
254,1,38.300,1522.5163218390805,1094.344827586207,2906.9554022988505,12650.233218390806,87
257,1,38.590,2199.8336386768447,1677.9864503816796,2592.678816793893,16438.960127226463,786
264,1,38.910,4746.23704,1966.0768,4639.135200000001,28881.24184,125
265,1,38.930,657.6633707865169,1839.1419101123597,6734.822247191012,14203.132359550562,89
266,1,38.950,1528.6809523809522,1979.3000000000002,1643.3433333333332,8210.419047619047,21
270,1,39.270,1153.6270588235293,1607.379411764706,1551.0638235294118,7958.791470588235,34
272,1,39.300,3022.8191666666667,1262.2458333333334,2050.8858333333333,13967.53875,24
278,1,39.500,8498.886862745097,1405.7539215686274,753.4876470588234,14218.457549019608,102
282,1,39.790,8601.12129032258,2700.224193548387,6134.1159677419355,33183.67677419355,62
287,1,39.950,1067.3706796116505,1622.6700970873785,3517.4725242718446,11701.583203883496,103
288,1,39.960,753.0955319148936,1499.01914893617,5933.8180851063835,10671.247446808511,47
289,1,39.970,2635.4216883116883,2276.47012987013,4393.78012987013,25081.26935064935,77
301,1,42.330,3636.4231818181815,1718.5863636363638,2208.7799999999997,12848.308181818184,22
307,1,43.410,1532.7051030927835,975.7247422680413,2287.42793814433,7338.50206185567,194
312,1,44.130,795.3129577464789,1261.2750704225352,2383.325492957746,6568.899577464788,71
321,1,45.230,1782.6700854700855,728.7239316239315,3312.655128205128,8229.174273504274,117
327,1,45.420,1569.8532085561496,941.7965240641712,1309.747780748663,6439.963288770054,374
328,1,45.430,2468.36953125,1016.698828125,1660.581796875,8433.116328125,128
338,1,47.010,1456.907300613497,1394.8125766871167,2313.682147239264,7986.439938650306,163
339,1,47.090,742.7381481481482,1282.0175925925926,2488.315925925926,6846.643703703704,54
348,1,48.360,1812.9408411214954,834.6383177570094,2578.1505607476633,7984.154018691589,107
349,1,48.410,2137.17875,790.2574999999999,1998.4850000000001,7112.6625,40
355,1,48.760,1829.4191780821918,701.9653881278539,4309.757214611872,10247.08602739726,219
