,basy_yydj,basy_ssjczbm1_for_str_8,age_group,AGE-HAOCAI-only_operation-8-E,AGE-JCJY-only_operation-8-E,AGE-YP-only_operation-8-E,AGE-ZFY-only_operation-8-E,记录条数-only_operation-8
0,1,,0,501.26489552238803,1244.4044776119404,1560.3748955223882,8383.569611940298,335
1,1,,1,5617.989857142857,1506.9185714285716,1452.2265714285713,13429.754714285713,70
2,1,,2,4288.993434343434,1302.9669696969697,1959.5020202020203,12424.585353535353,198
3,1,,3,4077.0891054313097,1492.0312779552714,2824.6947603833864,14011.629392971246,313
4,1,,4,3832.175463510848,1492.3980078895465,2884.861893491124,13645.112564102565,507
5,1,,5,3131.3791860465117,1551.883546511628,3143.92125,13741.72168604651,1032
6,1,,6,1395.8008408796895,1592.1909702457958,3638.9896507115136,12071.16998706339,773
7,1,,8,831.3148019323671,1649.5428405797102,3921.93547826087,11335.491352657005,1035
8,1,,9,537.246927592955,1797.65728962818,4303.6980724070445,13039.603864970646,1022
101,1,03.3101,5,2615.7383333333332,1265.0875,5809.300416666666,15896.352083333333,24
116,1,03.5305,5,26053.550476190478,2687.2847619047616,4045.0214285714283,37848.56,21
159,1,04.2x02,5,1632.8565625,2042.24375,1393.9481250000001,9463.5484375,32
173,1,04.2x05,5,1421.5352631578949,1087.6236842105263,1248.9505263157896,5592.571842105263,38
230,1,05.0x01,2,1192.075909090909,2043.75,817.9090909090909,17901.32590909091,22
324,1,09.8100,5,513.4841666666667,713.1166666666667,350.33500000000004,2795.14875,24
336,1,09.8101,5,990.4945454545455,507.04545454545456,566.0777272727272,4118.592727272728,22
337,1,09.8101,6,955.4878571428571,509.14285714285717,611.3285714285714,3924.245,28
362,1,11.3201,6,331.20153846153846,512.1153846153846,221.56615384615387,2025.616923076923,26
363,1,11.3201,8,475.9323684210526,528.5552631578947,270.63894736842104,2400.4676315789475,38
368,1,11.3203,6,2537.0489285714284,393.60714285714283,167.4467857142857,3936.5235714285714,28
369,1,11.3203,8,2075.1783333333333,420.20208333333335,161.30916666666667,3562.448958333333,48
383,1,11.3901,5,1159.6676470588236,551.8901960784314,202.08039215686276,3418.7192156862743,51
384,1,11.3901,6,846.7122535211267,533.3711267605634,215.03056338028168,2919.437042253521,71
385,1,11.3901,8,615.8439344262296,503.34016393442624,173.9483606557377,2512.632459016393,61
420,1,13.4100,4,6153.124666666667,671.7984444444445,224.16199999999998,9307.229555555556,45
421,1,13.4100,5,4956.900847457628,618.0655084745763,218.4241101694915,7865.192415254237,236
422,1,13.4100,6,3246.6553655352477,675.1663707571802,216.60912532637076,6212.08681462141,766
423,1,13.4100,8,2924.2684889753564,657.5739040207523,211.67919584954606,5805.362315175097,1542
424,1,13.4100,9,2747.167955465587,663.0125708502025,194.42793522267206,5555.634352226721,494
429,1,13.4100x,4,7285.448297872341,937.7468085106383,201.44978723404253,10601.949787234043,47
430,1,13.4100x,5,5208.966257861635,812.4888364779874,211.49962264150946,8811.131855345913,318
431,1,13.4100x,6,3605.6510645161293,794.0867204301076,210.44801075268816,6757.416892473118,930
432,1,13.4100x,8,3021.6864637002345,780.8777517564403,200.48981264637,6070.612418032787,1708
433,1,13.4100x,9,2859.3996056782335,797.0625394321767,207.21211356466878,5877.361403785489,634
443,1,13.5900x,8,2258.3533333333335,645.4266666666667,241.16733333333335,4487.934,45
448,1,13.7000,5,2601.382888888889,647.7777777777778,196.626,4786.705555555555,45
449,1,13.7000,6,2247.278790322581,645.9967741935483,193.4798387096774,4437.265080645161,124
