,basy_zyzd_jbbm_for_str_4,basy_yydj,age_group,AGE-HAOCAI-4-only_disease-E,AGE-JCJY-4-only_disease-E,AGE-YP-4-only_disease-E,AGE-ZFY-4-only_disease-E,记录条数-4-only_disease
33,A02.,5,0,87.73454545454545,1046.5327272727272,591.2881818181818,2718.929090909091,22
39,A02.,6,0,196.88077777777778,1578.459,1002.0064444444445,4229.856666666667,90
54,A03.,3,0,89.59857142857143,550.6624489795918,454.59,2107.2830612244898,49
87,A04.,3,0,99.22818181818182,644.3434090909091,415.0822727272727,1982.3654545454547,44
102,A04.,5,0,72.76038461538462,597.2794871794872,335.66435897435895,1609.6835897435897,78
111,A04.,6,0,124.77991150442477,1145.7544690265488,429.0260176991151,2561.8001327433626,226
142,A08.,2,0,64.06866666666667,610.0882222222223,452.15274074074074,1664.1195555555557,135
144,A08.,3,0,52.85715909090909,571.9561742424243,261.58198863636363,1433.3720833333332,528
152,A08.,4,0,89.08516129032257,651.516129032258,274.0170967741936,1859.86,31
155,A08.,5,0,51.57624681933842,599.2897709923665,277.6303944020356,1538.9215776081426,786
163,A08.,6,0,79.24487609329447,897.3160641399417,344.5365087463557,2078.4790743440235,1372
176,A09.,1,5,50.123000000000005,935.013,1770.6886000000002,3691.9034,50
177,A09.,1,6,45.14333333333333,901.9059523809525,1619.6678571428572,3508.1792857142855,42
178,A09.,1,8,72.75522727272727,1050.9629545454545,1678.8938636363637,3883.274090909091,44
179,A09.,1,9,70.95596491228069,945.4556140350877,1450.2440350877193,3760.2498245614033,57
180,A09.,2,0,90.6435576923077,529.1028846153846,594.5292307692308,1668.4499999999998,104
181,A09.,2,1,29.46807692307692,639.8711538461539,716.4763461538461,1852.0665384615386,52
182,A09.,2,2,35.642391304347825,728.4630434782609,622.4208695652175,1757.8182608695652,46
183,A09.,2,3,32.10434782608696,971.0500000000001,793.2280434782608,2411.8621739130435,46
184,A09.,2,4,28.596842105263157,1121.2350877192982,959.8242105263158,2598.7124561403507,57
185,A09.,2,5,60.735327102803744,1294.0766355140188,971.0468224299065,2957.589813084112,107
186,A09.,2,6,30.596233766233766,1275.6155844155844,1040.7483116883116,2903.9984415584418,77
187,A09.,2,8,32.47155339805825,1346.1865048543689,1279.2330097087379,3271.9330097087377,103
188,A09.,2,9,53.85396226415094,1559.2396226415094,1196.4083018867925,3519.648679245283,53
189,A09.,3,0,56.744556025369974,537.4333615221988,373.6060570824524,1576.974397463002,946
190,A09.,3,1,31.60240506329114,714.6245569620253,466.84487341772154,1694.4850632911393,158
191,A09.,3,2,33.21076923076923,888.8746923076924,534.7010769230769,1947.0343846153846,130
192,A09.,3,3,42.025238095238095,1059.6952380952382,603.3065873015873,2232.1788888888887,126
193,A09.,3,4,48.14629629629629,1213.7776543209877,761.6717283950618,2657.6052469135802,162
194,A09.,3,5,48.4395390070922,1317.4974468085106,760.6679432624114,2822.2824113475176,282
195,A09.,3,6,120.88934426229508,1439.2553005464479,923.9233879781422,3367.8651912568303,183
196,A09.,3,8,77.50447488584474,1599.9241552511417,995.667397260274,3583.88904109589,219
197,A09.,3,9,68.17496453900709,1484.7680851063828,1047.179574468085,3568.650992907801,141
198,A09.,4,0,85.15048387096775,607.2553225806452,306.31854838709677,1561.1058064516128,62
202,A09.,4,4,31.56958333333333,1137.7416666666666,469.34666666666664,2382.06875,24
203,A09.,4,5,59.63772727272727,1634.0411363636363,642.7663636363636,3135.5197727272725,44
205,A09.,4,8,66.33777777777777,1751.0985185185186,913.4496296296296,3615.1892592592594,27
