,basy_zyzd_jbbm_for_str_5,basy_yydj,basy_ssjczbm1_for_str_5,age_group,AGE-HAOCAI-5-5-E,AGE-JCJY-5-5-E,AGE-YP-5-5-E,AGE-ZFY-5-5-E,记录条数-5-5
40,A02.0,6,,0,126.66756756756756,1434.6135135135135,678.4743243243244,3254.651891891892,37
128,A03.9,3,,0,91.46116279069767,540.3176744186046,448.79465116279073,2131.1332558139534,43
209,A04.9,3,,0,98.16146341463414,640.1514634146341,407.5321951219512,1990.8819512195123,41
233,A04.9,5,,0,63.28285714285715,610.0171428571429,306.062,1570.7704285714285,70
263,A04.9,6,,0,92.66328571428572,1055.7172857142857,395.4516428571429,2289.7355714285713,140
308,A04.9,6,99.21,0,163.85590909090908,1174.4013636363636,430.4827272727273,2511.5054545454545,22
340,A08.0,2,,0,57.63955223880597,679.8270149253732,273.5882089552239,1523.9255223880596,67
345,A08.0,2,99.83,0,58.97609756097561,447.2317073170732,594.0821951219511,1617.5421951219512,41
346,A08.0,3,,0,52.21953722334004,575.566921529175,261.7044668008048,1428.047384305835,497
364,A08.0,4,,0,89.67333333333333,660.4833333333333,279.28433333333334,1889.714,30
367,A08.0,5,,0,52.797641921397386,601.9636390101892,282.44937409024743,1558.0106404657934,687
374,A08.0,5,17.95,0,27.699047619047622,561.9047619047619,190.6261904761905,1390.6109523809525,21
393,A08.0,6,,0,67.80502601456816,812.7074921956296,288.2424661810614,1843.6882830385016,961
402,A08.0,6,17.95,0,134.670350877193,600.2210526315789,341.6536842105263,1922.6289473684212,57
425,A08.0,6,93.35,0,99.11911764705881,1272.3315686274511,825.6837254901961,3308.2249019607843,102
427,A08.0,6,93.39,0,69.57733333333334,904.5136666666666,497.4126666666667,2291.5570000000002,30
461,A08.4,5,,0,44.96363636363637,537.0454545454545,307.63863636363635,1340.55,22
490,A09.0,2,,0,43.32681818181818,484.68636363636364,368.23636363636365,1398.1499999999999,22
513,A09.0,3,,0,67.27623188405798,599.3101449275363,432.1648913043478,1877.4151449275364,276
514,A09.0,3,,1,42.79342105263158,704.87,522.8468421052631,1759.2392105263157,38
515,A09.0,3,,2,37.64821428571429,835.4325,517.7221428571428,1840.4417857142857,28
516,A09.0,3,,3,56.056666666666665,881.0333333333334,587.9881481481482,2043.551111111111,27
517,A09.0,3,,4,53.166222222222224,1226.1715555555556,832.0722222222222,2806.295111111111,45
518,A09.0,3,,5,56.68106382978724,1473.3851063829788,782.293829787234,2945.833829787234,47
519,A09.0,3,,6,70.85964285714286,1563.7739285714285,948.9799999999999,3452.007857142857,28
520,A09.0,3,,8,61.203061224489794,1511.6036734693878,1164.1338775510205,3731.326734693878,49
521,A09.0,3,,9,71.49000000000001,1700.1256410256408,1042.7384615384617,3767.83641025641,39
576,A09.0,5,,0,51.28253561253561,673.8609686609686,336.59230769230766,1701.798831908832,351
577,A09.0,5,,1,40.47745454545455,1027.7249090909093,520.4054545454545,2221.061090909091,55
578,A09.0,5,,2,36.609375,1064.1221875,396.5371875,1944.3221875,32
579,A09.0,5,,3,35.202413793103446,1180.213793103448,646.6117241379311,2411.38,29
580,A09.0,5,,4,47.85166666666667,1178.4336666666668,482.37233333333336,2243.6076666666663,30
581,A09.0,5,,5,52.734428571428566,1779.6995714285715,883.4681428571428,3477.4235714285714,70
582,A09.0,5,,6,60.56327868852459,1528.2319672131146,959.1006557377049,3307.8031147540983,61
583,A09.0,5,,8,78.27000000000001,1658.819365079365,871.5850793650794,3409.025873015873,63
584,A09.0,5,,9,64.99222222222222,1623.0091111111112,1064.9857777777777,3977.994666666667,45
647,A09.0,6,,0,86.942338028169,889.6370704225351,468.5967323943662,2316.1313521126763,355
648,A09.0,6,,1,60.36911111111112,1397.3404444444445,588.4877777777778,2693.432444444444,45
649,A09.0,6,,2,65.41749999999999,1426.3435,738.41775,2856.13425,40
650,A09.0,6,,3,65.11151515151515,1475.6269696969698,912.7642424242424,3141.489696969697,33
651,A09.0,6,,4,79.95973684210526,2116.2315789473687,973.8234210526316,4052.5857894736846,38
652,A09.0,6,,5,84.66830188679245,2098.3969811320753,1279.5354716981133,4843.100943396226,53
653,A09.0,6,,6,135.63117647058823,2552.7320588235293,1811.9176470588234,5769.014411764706,34
654,A09.0,6,,8,142.8475,3456.1349999999998,1951.0235,7776.81425,40
655,A09.0,6,,9,114.066,3065.4835,1518.8975,6058.3445,40
664,A09.0,6,17.95,0,107.68875000000001,585.9499999999999,392.5441666666666,1953.2504166666668,24
749,A09.0,6,93.39,0,44.96173913043478,592.6217391304348,416.6139130434783,1923.8582608695651,23
779,A09.9,1,,5,59.98129032258064,984.7709677419356,1764.2070967741936,3817.2125806451613,31
780,A09.9,1,,6,36.548965517241385,895.7637931034483,1823.1606896551723,3728.1258620689655,29
781,A09.9,1,,8,73.31448275862068,1057.2348275862068,1802.7758620689656,4223.43,29
