,basy_zyzd_jbbm_for_str_6,basy_yydj,HAOCAI-6-only_disease-E,JCJY-6-only_disease-E,YP-6-only_disease-E,ZFY-6-only_disease-E,记录条数-6-only_disease
13,A02.00,5,125.30703703703703,1450.1637037037037,790.7003703703704,3440.8166666666666,27
14,A02.00,6,229.13495412844037,2160.445871559633,1585.118348623853,5609.062752293577,109
27,A02.90,6,109.23857142857142,3155.82380952381,1233.935238095238,6039.488095238095,21
34,A03.90,3,73.14984962406015,763.9725563909775,704.8832330827067,2536.873834586466,133
36,A03.90,5,55.145714285714284,1074.46,467.5885714285714,2383.2819999999997,35
37,A03.90,6,93.24214285714287,1482.1714285714286,1144.860357142857,3877.3224999999998,28
49,A04.90,3,77.98104477611939,919.1525373134328,587.8967164179105,2399.080298507463,67
51,A04.90,5,71.1918493150685,1116.5057534246575,698.497602739726,2595.808904109589,146
52,A04.90,6,145.9023443223443,1441.3871428571429,692.6220512820513,3292.285457875458,273
66,A08.00,2,58.88469565217391,605.3340000000001,409.59634782608697,1600.8452173913045,115
67,A08.00,3,52.5619776119403,590.5848134328359,265.12149253731343,1452.5072947761194,536
68,A08.00,4,86.03218749999999,712.328125,288.708125,1918.1684375,32
69,A08.00,5,51.71685161290322,609.6790451612903,277.5162064516129,1553.0920387096776,775
70,A08.00,6,78.84055187637969,905.371766004415,352.45802060338485,2088.3770419426046,1359
71,A08.10,2,89.40619047619047,634.9285714285714,677.8919047619047,1995.5680952380953,21
80,A08.40,5,41.534814814814816,645.0659259259259,424.6140740740741,1648.6222222222223,27
87,A09.00,1,63.64915492957747,897.080985915493,1443.0311267605634,3389.0078873239436,71
88,A09.00,2,41.56176991150442,954.7088495575222,950.1306194690266,2509.323982300885,113
89,A09.00,3,60.399766718507,983.4257076205288,658.6186780715396,2476.7464852255052,643
90,A09.00,4,65.00958333333334,1247.7433333333333,751.2691666666666,2905.5329166666666,48
91,A09.00,5,70.6385297691373,1194.998736330498,688.9225880923451,2757.9126488456864,823
92,A09.00,6,137.0164308342133,1765.3018901795142,1045.1815628299896,4153.795617740233,947
93,A09.90,1,77.5000518134715,915.4508290155441,1502.4015025906735,3583.007305699482,193
94,A09.90,2,48.989812030075186,1091.1492669172933,922.4871240601504,2612.4530639097743,532
95,A09.90,3,58.461038732394364,956.185968309859,599.7121009389672,2248.9166373239436,1704
96,A09.90,4,62.72966850828729,1211.8608287292818,502.2725414364641,2455.3607182320443,181
97,A09.90,5,52.810871886121,1111.7606109134044,552.3325444839858,2437.2551482799527,1686
98,A09.90,6,117.87721286370598,1574.978751914242,820.6271362940277,3595.565467075038,1306
100,A15.00,2,74.69129032258064,2229.8193548387094,1688.3406451612902,5500.417741935485,31
101,A15.00,3,164.0053409090909,1224.0892045454545,1335.642840909091,4304.329204545455,176
103,A15.00,5,241.68286725663717,2439.1953274336283,1675.004814159292,6383.769274336283,565
104,A15.00,6,443.15543832823647,5090.064439347604,3981.010417940877,12890.188608562692,1962
108,A15.10,6,763.827,4397.091666666666,2781.2823333333336,11315.906666666668,30
112,A15.20,6,5990.884808362369,6720.328675958189,3628.803135888502,23428.472404181186,287
113,A15.30,3,98.92217948717949,1400.7,1368.8407692307692,4555.09923076923,78
