,basy_yydj,basy_ssjczbm1_for_str_4,age_group,AGE-HAOCAI-only_operation-4-E,AGE-JCJY-only_operation-4-E,AGE-YP-only_operation-4-E,AGE-ZFY-only_operation-4-E,记录条数-only_operation-4
0,1,,0,188.81809430255404,1047.458978388998,1037.9443516699412,5975.821257367387,1018
1,1,,1,438.00559202813594,976.4289683470106,1248.6794255568582,6881.075779601407,853
2,1,,2,342.2769240780911,1201.5776355748374,1478.1091062906726,7417.358720173536,2305
3,1,,3,293.01522325581396,1263.1232558139534,1483.9471627906976,7567.977286046511,4300
4,1,,4,290.68246269717207,1296.6238041779168,1498.1381199374732,7312.749887736251,7037
5,1,,5,242.75103624792473,1247.3854973713337,1525.807761483121,6641.262937188711,14456
6,1,,6,115.0574543163201,1257.4762228823477,1824.8522675308309,6197.900643622288,11109
7,1,,8,94.35670447578173,1276.453832771306,2064.620081238504,5950.879846719803,13048
8,1,,9,95.88662570073308,1348.1241472617507,2493.5015297542045,6657.593440060371,9276
42,1,01.4,6,4898.425238095238,2227.5285714285715,4829.693333333334,19861.72238095238,21
59,1,03.0,5,16535.34851851852,1627.8407407407406,2808.784814814815,27992.887037037035,27
67,1,03.3,4,2266.4922727272724,1623.9136363636362,6471.955454545454,15745.175909090909,22
68,1,03.3,5,1256.923137254902,1378.1864705882351,5043.6498039215685,12479.066470588235,51
69,1,03.3,6,403.43,1462.6352631578948,5917.3426315789475,12351.660526315789,38
70,1,03.3,8,829.9974193548388,1415.2445161290323,5137.685483870968,13454.18258064516,31
78,1,03.5,5,22785.44911764706,2531.6788235294116,3929.901470588235,36659.12911764706,34
86,1,03.9,2,473.5357142857143,1810.1657142857143,797.9214285714286,12991.624285714284,35
87,1,03.9,3,436.87742857142854,1683.9,1080.202,12874.157428571429,35
88,1,03.9,4,549.8558064516129,1405.907741935484,1209.1493548387098,7082.480322580645,31
89,1,03.9,5,291.4379365079365,1356.496507936508,928.3157142857143,5113.220793650793,63
90,1,03.9,6,600.6012765957446,1529.5421276595744,1005.776170212766,5663.368723404255,47
91,1,03.9,8,112.23348837209305,1586.0241860465114,1108.4418604651162,5660.012093023255,43
103,1,04.2,4,1823.5513953488373,1339.3823255813954,1093.3055813953488,7682.870232558139,43
104,1,04.2,5,1462.6186746987953,1395.3313253012047,1077.385903614458,6963.645180722892,83
105,1,04.2,6,1479.5368421052633,1459.2047368421051,1125.8402631578947,6871.55947368421,38
106,1,04.2,8,2247.2883333333334,1808.7633333333333,979.6005555555556,8755.6975,36
114,1,04.4,4,3972.599393939394,1415.4609090909091,3057.880606060606,12468.720606060608,33
115,1,04.4,5,5358.471428571428,1628.9530612244898,4086.470408163265,17560.18836734694,49
116,1,04.4,6,4214.765217391305,1840.378260869565,4718.103913043478,17748.446086956523,23
128,1,04.8,4,58.395,1179.9347826086957,1188.3910869565218,5182.202173913043,46
129,1,04.8,5,177.88571428571427,1262.1769387755103,1275.9635714285714,5962.795102040816,98
130,1,04.8,6,43.88455882352941,1254.6308823529412,1216.9707352941175,5181.526617647059,68
131,1,04.8,8,129.96421052631578,1454.5694736842106,1317.7398684210525,5736.468947368421,76
132,1,04.8,9,54.19967741935484,1647.5896774193548,1622.6951612903226,5921.434838709678,31
205,1,08.4,5,139.18206896551723,708.1,162.6,1926.9644827586208,29
206,1,08.4,6,182.98431034482758,565.8853448275862,135.5644827586207,1754.886724137931,58
207,1,08.4,8,201.83186046511628,618.8422480620154,193.38124031007752,2059.7428682170544,129
208,1,08.4,9,128.6496,550.229,151.05280000000002,1863.6156,50
231,1,09.6,8,85.27961538461538,599.9307692307692,226.39884615384614,2442.415384615385,26
241,1,09.8,4,725.39875,637.0458333333333,646.34,3528.775416666667,24
242,1,09.8,5,654.938028169014,640.2281690140844,492.1571830985916,3383.0692957746483,71
243,1,09.8,6,797.3931707317073,578.8536585365854,574.3085365853659,3681.2151219512198,41
244,1,09.8,8,733.7996875,567.953125,399.79593750000004,3766.32375,32
273,1,11.3,3,139.40227272727273,486.2,194.5240909090909,1912.4945454545452,22
274,1,11.3,4,423.22703125,523.76875,211.555,2329.45109375,64
275,1,11.3,5,470.06652173913045,571.0612648221344,189.2269565217391,2396.085256916996,253
276,1,11.3,6,458.7549511400651,581.7851791530944,190.6286970684039,2301.3034201954397,307
277,1,11.3,8,557.7138855421687,577.7411144578313,192.98885542168676,2450.2785542168676,332
278,1,11.3,9,596.4463953488372,587.6790697674419,202.388488372093,2548.3520930232557,86
320,1,13.4,4,5266.162413793103,843.884051724138,204.06827586206896,9258.712931034483,116
321,1,13.4,5,4114.540899224806,775.1860310077519,202.6240465116279,8208.682697674418,645
322,1,13.4,6,2853.2461775269367,784.4363776295536,198.41747049769114,6311.920241149308,1949
323,1,13.4,8,2472.1516032388663,764.3170148448044,191.8741862348178,5770.411627530364,3705
324,1,13.4,9,2230.7591030392887,769.2213046701261,187.56576723498887,5518.876108228317,1349
328,1,13.5,8,2168.84375,640.8125,223.34104166666668,4335.771250000001,48
332,1,13.7,4,2092.3384375,686.8375,158.3221875,7041.8175,32
333,1,13.7,5,1784.8753608247423,726.512027491409,157.89209621993126,5236.24852233677,291
334,1,13.7,6,1782.6810830704521,737.8558359621451,148.41508937960043,4998.838023133543,951
335,1,13.7,8,1887.2620691461498,742.9801047668936,152.33816657936092,4870.0278732320585,1909
336,1,13.7,9,1796.4367872044506,746.4428372739917,154.98440890125173,4750.383407510431,719
359,1,14.6,5,2710.5969444444445,832.1061111111111,380.63194444444446,5596.265277777778,36
365,1,14.7,4,3207.2443478260866,845.1,369.85434782608695,8407.309130434784,23
366,1,14.7,5,3181.6995833333335,817.323,407.28375,9346.997583333334,120
367,1,14.7,6,3159.4196666666667,827.1762222222222,339.9272222222222,8069.730333333333,90
