,basy_yydj,basy_ssjczbm1_for_str_9,HAOCAI-only_operation-9-E,JCJY-only_operation-9-E,YP-only_operation-9-E,ZFY-only_operation-9-E,记录条数-only_operation-9
0,1,,182.45914497965362,1267.8857547080534,1811.4634710261505,6582.025347465379,63402
16,1,00.9400,207.28102040816327,1442.2408163265306,3938.149795918367,9995.075714285715,49
23,1,01.4102,5152.879361702127,2303.1148936170216,4720.1089361702125,20128.86914893617,47
48,1,03.3101,981.0445918367346,1475.843724489796,5159.749693877551,12867.048826530612,196
54,1,03.5305,27082.026304347826,2886.413695652174,4417.613913043478,41090.321304347824,46
59,1,03.9100x0,294.94741935483876,1553.641935483871,1228.2882258064515,10556.589193548387,62
60,1,03.9101,534.5345833333333,1744.3374999999999,891.78375,13446.262083333333,24
61,1,03.9102,414.0923312883436,1583.6564417177915,973.6912269938651,5936.303803680982,163
70,1,04.2x02,1182.798875,1961.4912499999998,615.80175,8385.103125,80
73,1,04.2x05,1983.3756701030927,1027.9131958762887,1381.491855670103,6211.381443298969,97
88,1,04.4900x0,3027.00858490566,1466.0471698113208,3858.7599999999998,12930.60537735849,106
95,1,04.7408,3644.525925925926,868.7744444444444,2225.88037037037,13203.292222222222,27
99,1,04.8101,107.8639875389408,1330.2068535825547,1268.025171339564,5590.333302180686,321
103,1,05.0x01,1184.239090909091,2055.1060606060605,815.7869696969698,17819.659393939393,33
124,1,06.4x00,6926.504594594595,2662.924054054054,2564.8505405405404,20607.777297297296,37
127,1,06.8100,1228.1882142857141,4345.589285714286,3213.991785714286,16568.14857142857,28
153,1,08.4401,104.9604761904762,513.6904761904761,195.39285714285714,2506.9361904761904,21
157,1,08.4902,186.93249027237354,625.061673151751,155.05750972762647,1827.659260700389,257
176,1,09.6x01,106.86723404255319,598.5180851063831,229.30255319148935,2224.6617021276597,47
180,1,09.8100,492.99180851063835,629.8148936170213,417.4517021276596,2928.902340425532,94
182,1,09.8101,977.6883720930232,563.4895348837209,621.7803488372093,4062.6854651162794,86
198,1,11.3201,211.66958598726114,574.2385350318472,252.6716560509554,2096.144840764331,314
199,1,11.3203,1957.98975,463.5058333333333,157.8885,3549.662,120
202,1,11.3900x0,295.82614457831323,814.2759036144578,150.1690361445783,2224.9075903614457,83
203,1,11.3901,373.181113243762,560.370537428023,178.44992322456815,2335.4679078694817,521
229,1,13.4100,2534.9885640879243,741.7010476734227,196.41826719954324,6028.66847559235,3503
231,1,13.4100x0,2857.460011728829,796.3716866056767,191.7246305418719,6206.702373915083,4263
236,1,13.5900x0,2261.7395833333335,637.3708333333333,229.33875,4435.9861458333335,96
240,1,13.7000,2281.4112962962963,642.6719191919192,196.30547138047137,4527.066902356903,594
242,1,13.7100,1937.291087333719,877.7396761133602,163.88227299016773,4730.33971659919,1729
243,1,13.7100x0,1565.2560687022901,626.4950381679389,122.44823791348601,5291.073282442748,1572
264,1,14.6x02,3240.189041095891,812.7871232876712,347.8321917808219,6177.087260273973,73
270,1,14.7401,4777.5967005076145,873.5868020304569,390.4843147208122,11634.808578680204,197
272,1,14.7903,98.8716129032258,699.3984946236559,369.220752688172,1994.6120430107528,93
313,1,17.91270,459.43999999999994,1032.8,1011.1796153846154,5219.790769230769,26
314,1,17.912A0,31.462298288508556,807.0353300733497,1236.1343398533008,4671.4147799511,818
315,1,17.9133,21.98032258064516,708.3870967741935,1178.654193548387,3357.8177419354843,31
317,1,17.91350,52.67047619047619,1413.1142857142859,3034.998333333333,6792.490714285714,42
327,1,17.9500x0,58.57746666666667,1263.4238666666665,1531.3028000000002,4404.378,75
332,1,17.9571,43.94644736842105,789.1947368421052,1575.6618421052633,4062.479605263158,76
333,1,17.95710,357.0482558139535,913.9476744186046,1682.824534883721,5168.351279069768,86
335,1,17.96100,32.00625,667.3375,584.2679166666667,3213.27,24
338,1,17.9700x0,72.09951219512195,920.5939024390243,1578.0546341463414,4012.0343902439026,41
349,1,17.972E0,129.7642857142857,754.4571428571429,933.5285714285715,2705.847142857143,35
364,1,17.98320,3621.6704545454545,665.7647727272728,3776.927045454546,10321.41465909091,88
365,1,17.98330,2549.5945901639343,697.0310304449649,3529.164168618267,8906.514074941451,427
366,1,17.98340,1905.5105263157895,666.5636363636363,3944.423971291866,10002.08014354067,209
376,1,18.2900x0,787.5666666666666,766.7229166666666,1770.6541666666665,5467.232708333333,48
381,1,19.4x00x0,1010.2239506172839,1225.9506172839506,3659.827901234568,10542.56839506173,81
398,1,21.0904,1247.0458536585365,1019.0317073170733,1717.0075609756097,5809.110487804878,41
417,1,21.6903,2498.064892086331,873.740071942446,1653.3581294964029,7956.979640287769,139
418,1,21.6904,1132.2162666666666,506.03599999999994,1200.0702666666666,5024.2584,75
423,1,21.8400x0,1209.614882352941,671.2658823529412,2231.9103529411764,7087.02194117647,170
429,1,22.1200,1525.9057142857143,1488.2285714285713,3100.7461904761903,10663.531904761905,21
438,1,22.5203,1522.4545454545455,624.2272727272727,1428.1954545454546,8110.968181818182,22
439,1,22.5300,1182.94375,959.1700000000001,2107.492083333333,8083.6658333333335,24
440,1,22.5300x0,1247.6054166666665,1071.3590277777778,2627.8019097222223,9665.817465277778,288
441,1,22.5301,827.6382608695652,976.6904347826087,1895.8241304347828,8727.143695652174,46
480,1,28.2x00x0,1731.5823333333333,1062.2794999999999,2287.5440000000003,7406.9113333333335,60
486,1,28.5x00,1384.3487096774193,592.4709677419354,902.6145161290323,4120.41806451613,31
487,1,28.5x02,1741.7118181818184,760.1431818181819,1376.8302272727271,5952.328181818182,44
489,1,28.6x00x0,1939.7687692307693,798.3033846153846,1449.5696923076923,7909.059692307693,65
490,1,28.6x01,2656.1064285714283,676.0714285714286,1045.315,7162.403214285715,28
491,1,28.6x02,2668.473636363636,844.7995454545454,1299.3886363636364,7252.801136363636,44
496,1,29.1100x0,35.75103448275862,446.116091954023,1759.2062068965517,3609.9,87
503,1,29.9900,3025.2400000000002,598.8615384615384,1314.474871794872,7171.032692307693,78
504,1,30.0900x0,1085.4225925925925,750.6628395061729,1629.8907407407407,5997.010493827161,81
506,1,30.0902,1221.2842307692308,1236.2192307692308,1960.3246153846155,6844.255,26
507,1,30.0903,1171.7394545454545,991.4629090909091,1949.2810909090908,6299.511454545454,55
509,1,30.0905,635.8582758620689,941.0841379310344,1393.4010344827586,6055.372413793103,29
510,1,30.0906,763.5579245283019,667.1366037735849,1025.0216981132075,5019.066981132075,53
511,1,30.0911,955.8149019607843,897.0509803921568,2235.2496078431373,6532.043921568627,51
516,1,31.4200x0,27.566176470588236,452.2647058823529,1888.349705882353,3527.021764705882,34
