,basy_zyzd_jbbm_for_str_5,basy_yydj,HAOCAI-5-only_disease-E,JCJY-5-only_disease-E,YP-5-only_disease-E,ZFY-5-only_disease-E,记录条数-5-only_disease
4,A02.0,6,518.375,3333.3459523809524,2888.4688095238093,9472.493809523809,42
24,A04.9,6,397.86016666666666,2203.976666666667,1393.1875,5718.788666666666,60
33,A08.0,6,307.0202197802198,1743.5201098901098,734.6913186813188,4396.373956043956,91
40,A09.0,3,296.98400000000004,1254.8,1153.055,4009.9083333333333,30
42,A09.0,5,541.1718604651163,3039.8720930232557,2494.0593023255815,8582.389069767441,43
43,A09.0,6,601.4832258064516,4142.083790322581,2943.1160483870967,10700.228951612902,124
45,A09.9,2,465.4019047619048,681.8238095238095,1408.777619047619,3794.280952380952,21
46,A09.9,3,647.2730952380953,1186.057142857143,1854.0207142857141,5137.4383333333335,42
48,A09.9,5,351.9726984126984,2096.8809523809523,1287.4703174603176,5099.61873015873,63
49,A09.9,6,451.16083333333336,2575.5613020833334,1742.9628645833334,6971.460520833333,192
52,A15.0,3,807.839347826087,1518.8739130434783,2111.177608695652,6510.893913043478,46
54,A15.0,5,569.3167816091953,3262.112068965517,2557.2082183908046,9548.001781609195,174
55,A15.0,6,864.9936730769231,6052.170538461539,5478.663663461539,16810.84698076923,1040
62,A15.2,6,6252.791965065503,7064.569781659388,3984.871484716157,24890.308253275107,229
66,A15.3,6,932.8234444444445,4503.0100555555555,2879.0707222222222,12041.136444444444,360
73,A15.6,6,2719.086967213115,6445.031311475409,4262.166721311476,20104.781229508197,122
76,A16.0,3,390.09583333333336,1394.4058333333332,1799.4487499999998,5390.30875,24
78,A16.0,5,548.5502272727273,3586.763977272727,3384.763295454545,11351.63875,88
79,A16.0,6,920.625617433414,4521.639539951574,2265.251937046005,11076.098232445522,413
84,A16.2,3,566.9706315789474,4536.764842105264,3362.823263157895,13968.053684210527,95
86,A16.2,5,866.6063837638376,3821.7238007380074,2606.7035424354244,10774.550147601476,271
87,A16.2,6,1597.8540422535214,6228.155070422535,4516.2596056338025,16735.825091549294,1420
91,A16.4,6,1028.90725,3419.11875,1568.4645,9435.49675,40
93,A16.5,3,565.083125,2485.61375,1893.308125,7084.0909375,32
95,A16.5,5,491.4259349593496,3212.814308943089,1575.6236585365853,8003.581138211382,123
96,A16.5,6,1311.6453789279112,5496.949316081331,3480.3984658040667,14801.07900184843,541
98,A16.7,6,431.30625000000003,4963.4375,2729.5033333333336,11915.922083333333,24
99,A16.8,6,31037.83380952381,9124.357142857143,19537.273333333334,77273.3961904762,21
107,A17.0,6,2258.8702608695653,9388.439391304348,9264.136260869565,29926.847304347826,115
112,A17.8,6,1811.629863945578,10795.342925170067,10220.413673469388,32358.95380952381,147
118,A18.0,5,6784.025599999999,5505.714,5615.8296,32363.0204,25
119,A18.0,6,17683.675379746834,7606.168449367088,6816.389778481012,48375.53984177215,316
124,A18.1,5,1815.2596428571428,3742.128214285714,2788.5382142857147,13047.4675,28
125,A18.1,6,2343.9245161290323,4743.295419354839,2734.9656129032255,16493.929548387096,155
131,A18.2,6,1121.4899555555555,4450.3893333333335,2315.0228,11750.774844444444,225
137,A18.3,6,1703.0504838709678,7396.052526881721,6867.145913978496,22612.305161290322,186
141,A18.4,6,1767.888125,5238.990625,5848.476875,19293.63,32
147,A18.8,6,2903.9043333333334,9572.989,5189.602833333333,24916.4705,60
151,A19.0,6,892.4870588235293,9944.257882352942,9719.91494117647,28876.10188235294,85
158,A19.8,6,843.9586666666667,7845.5924,6717.577333333334,21687.7384,75
