,basy_zyzd_jbbm_for_str_9,basy_yydj,basy_ssjczbm1_for_str_9,age_group,AGE-HAOCAI-9-9-E,AGE-JCJY-9-9-E,AGE-YP-9-9-E,AGE-ZFY-9-9-E,记录条数-9-9
129,A08.000,6,,0,277.78857142857146,1645.182619047619,574.4988095238095,3831.515476190476,42
507,A15.000,6,,5,508.2187096774193,4211.885161290323,3220.826129032258,10021.547419354838,31
508,A15.000,6,,6,449.86863636363637,4496.637272727273,4108.274090909091,12645.559545454546,22
607,A15.000x0,6,,5,346.3795744680851,6107.064255319149,7625.650425531915,18421.846382978725,47
608,A15.000x0,6,,6,422.3250980392157,5894.962745098039,7490.5617647058825,18335.583725490196,51
609,A15.000x0,6,,8,395.3667441860465,6064.002093023256,4884.303720930233,15922.740930232558,43
650,A15.000x0,6,33.2400x0,6,538.8788,6069.171600000001,2785.7476,12883.4952,25
657,A15.000x0,6,33.2403,2,370.5961904761905,5684.633333333333,5785.210952380952,15486.385714285712,42
660,A15.000x0,6,33.2403,5,467.10380000000004,7747.545999999999,6199.826999999999,18382.362399999998,50
661,A15.000x0,6,33.2403,6,497.00739130434783,7266.843478260869,6851.748260869566,19061.36739130435,23
1492,A16.008,6,,1,593.5045454545455,2609.9590909090907,1265.540909090909,7301.043181818182,22
1828,A16.200x0,6,,1,385.5818918918919,4157.545945945946,2967.957837837838,10845.781351351352,37
1829,A16.200x0,6,,2,438.0428,3906.94,2883.0342,10593.5176,50
1830,A16.200x0,6,,3,359.3857142857143,3782.4928571428572,3086.491785714286,10391.291785714286,28
1831,A16.200x0,6,,4,417.2036170212766,3898.863829787234,3746.9265957446805,11454.185319148935,47
1832,A16.200x0,6,,5,451.13745454545455,4819.32909090909,4119.224181818182,12691.422181818181,55
1833,A16.200x0,6,,6,405.5841860465116,5363.195813953489,4887.001860465116,14543.821395348836,43
1834,A16.200x0,6,,8,376.80346153846153,5573.611538461539,5713.589423076923,16215.989423076922,52
1835,A16.200x0,6,,9,407.6526086956522,6108.869565217391,6794.018260869564,18869.962173913045,23
1881,A16.200x0,6,33.2200x0,5,525.0034482758621,9216.086206896553,7232.797586206897,22119.101034482755,29
1894,A16.200x0,6,33.2400x0,2,371.9491304347826,4723.734782608695,1445.3004347826088,9510.89956521739,23
1897,A16.200x0,6,33.2400x0,5,489.75666666666666,5818.570833333334,1445.8908333333331,10271.414999999999,24
1905,A16.200x0,6,33.2403,2,348.31955555555555,6673.66,3716.057111111111,13600.312666666665,45
1906,A16.200x0,6,33.2403,3,414.688275862069,6784.168965517241,4957.520344827586,15827.465172413793,29
1907,A16.200x0,6,33.2403,4,418.5933333333333,7187.153333333334,4822.262,15574.729333333333,30
1908,A16.200x0,6,33.2403,5,434.6161666666667,6973.639166666666,4130.487666666667,14711.981333333333,60
1909,A16.200x0,6,33.2403,6,491.00870967741935,7345.258064516129,3949.5241935483873,14999.261935483872,31
1910,A16.200x0,6,33.2403,8,434.2613333333333,6770.043333333333,5364.205666666667,16328.944333333335,30
2349,A16.500x0,6,34.0401,3,701.3576190476191,4163.576190476191,1430.4485714285715,9646.62619047619,21
3783,A37.900,6,,0,319.7725,1256.565,1931.293409090909,6466.606363636363,44
3806,A37.901+J,6,,0,280.3124074074074,1619.9537037037037,3014.8950000000004,8614.422592592593,54
4249,A41.501,6,,5,450.39958333333334,6622.896250000001,5607.662916666667,16350.226666666667,24
4250,A41.501,6,,6,734.5591666666666,6099.509999999999,5867.589166666668,17043.125833333335,24
4251,A41.501,6,,8,577.8337142857143,7167.634285714286,7596.486285714286,20695.112,35
4252,A41.501,6,,9,617.9438461538462,8084.089615384615,6844.331538461538,22728.840384615385,26
4680,A41.900,1,,0,410.325,1136.090909090909,1445.4422727272727,6879.735000000001,22
4790,A41.900,6,,0,416.3239534883721,2370.246899224806,1958.8587596899224,7332.5853488372095,129
4794,A41.900,6,,5,594.6076,5767.3632,4270.404,13843.0128,25
4795,A41.900,6,,6,586.7080645161291,5663.857419354838,5564.052258064516,14913.463548387097,31
4796,A41.900,6,,8,493.15687499999996,7217.5720833333335,6927.899583333333,19260.710416666665,48
4797,A41.900,6,,9,712.02,8262.785483870968,8162.977741935484,23548.880967741938,31
4799,A41.900,6,03.3101,0,845.4676666666667,6509.2519999999995,3084.0243333333333,15371.117333333334,30
4806,A41.900,6,17.9500x0,0,427.0733333333334,1135.3283333333334,1216.214,4540.259,30
5287,A41.900x0,6,96.7201,9,3824.3642857142854,38008.09333333333,27943.01095238095,96898.54714285715,21
5322,A41.901,3,,0,259.507619047619,1018.1142857142858,1186.935238095238,3724.4738095238095,21
5328,A41.901,3,,8,498.90592592592594,5068.585185185185,4787.4051851851855,13327.691851851852,27
5454,A41.901,5,,0,275.0421,1236.9867,1120.5839999999998,4134.6067,100
5459,A41.901,5,,6,371.784,6223.148,4667.2648,16332.263200000001,25
5460,A41.901,5,,8,540.4009090909091,5355.915151515152,5167.21303030303,15952.279696969696,33
5461,A41.901,5,,9,419.21000000000004,5250.625641025641,4349.2697435897435,15805.010256410256,39
5640,A41.901,6,,0,346.5998795180723,1833.7489457831325,1351.5138855421687,5047.6127710843375,332
5641,A41.901,6,,1,338.65956521739133,1840.304347826087,2024.5204347826088,5997.040869565218,23
5644,A41.901,6,,4,455.71846153846155,5276.6030769230765,5773.641794871794,14984.035897435899,39
5645,A41.901,6,,5,501.2202127659574,6400.849893617022,6328.787021276596,17215.160957446806,94
5646,A41.901,6,,6,617.5529113924051,6896.43911392405,6191.279873417721,17656.93151898734,79
5647,A41.901,6,,8,516.26608,6376.44424,5368.563679999999,16085.69904,125
5648,A41.901,6,,9,623.8818633540373,7383.867204968945,6116.967577639752,19553.264223602484,161
5658,A41.901,6,03.3101,0,725.8821428571429,5172.949821428571,3715.1030357142854,13984.503928571428,56
5724,A41.901,6,33.2403,9,1101.814090909091,12086.46590909091,13647.401363636365,38096.35318181818,22
5783,A41.901,6,38.9303,9,1569.8631818181818,14632.2,12118.806363636364,44111.07,22
5804,A41.901,6,38.9900x0,0,350.668,1609.3,863.834,4244.973999999999,25
6000,A41.901,6,57.9400,8,1338.3,12441.479565217393,6879.896956521739,28386.709130434785,23
6001,A41.901,6,57.9400,9,3175.314,13339.388,11990.516333333333,38996.341,30
6088,A41.901,6,89.5200,0,271.25615384615384,1550.2053846153844,817.9146153846153,4004.7496153846155,26
6125,A41.901,6,93.3504,0,314.43285714285713,2328.6166666666663,1790.4404761904761,6806.831666666667,42
6138,A41.901,6,93.9000,9,1475.641304347826,13360.434782608696,10286.382608695652,36710.068695652175,23
