,basy_zyzd_jbbm_3,count,耗材费
0,0,10,2369.77
1,1,41,1316.5678048780487
2,2,313,745.7954952076677
3,3,50,402.0424
4,4,341,535.7627272727273
5,5,32,2729.875
6,6,33,506.99454545454546
7,7,398,464.6864824120603
8,8,2739,1097.5342278203725
9,9,7354,1431.1936116399238
10,10,8366,1362.950234281616
11,11,3808,1566.2153203781513
12,12,2302,3434.4853562119897
13,13,1419,2781.385158562368
14,14,179,750.5855307262569
15,15,51,4024.0870588235293
16,16,42,2491.085476190476
17,17,49,1062.0653061224489
18,18,73,707.5457534246576
19,19,91,942.1892307692308
20,20,128,1135.891953125
21,21,188,1055.7898936170213
22,22,185,965.4227027027027
23,23,68,2193.7247058823527
24,24,3191,2059.449974929489
25,25,6329,2146.9399241586348
26,26,6969,2162.247790213804
27,27,6721,2013.6043282249664
28,28,6210,1875.7676247987117
29,29,6637,1800.1534789814675
30,30,480,1093.7425416666667
31,31,368,1088.9224456521738
32,32,528,1019.731231060606
33,33,500,980.33372
34,34,271,1047.5177859778598
35,35,242,1164.8137603305786
36,36,93,640.6965591397849
37,37,43,3950.792790697675
38,38,46,924.6654347826087
39,39,202,531.9158910891089
40,40,84,575.1054761904762
41,41,96,1051.2040625
42,42,68,514.7751470588236
43,43,127,683.4256692913385
44,44,54,517.4996296296296
45,45,74,2565.457027027027
46,46,17,841.1529411764706
47,47,8,277.91625
48,48,360,863.642111111111
49,49,114,654.7071929824561
50,50,426,803.37441314554
51,51,318,1055.4356918238993
52,52,209,951.0752631578948
53,53,663,838.6187481146304
54,54,228,610.7676754385965
55,55,1285,1498.4392529182878
56,56,1019,1238.699617271835
57,57,32,598.5378125
58,58,2197,1596.9505644060082
59,59,84,590.292261904762
60,60,804,1372.0468532338307
61,61,791,977.0231605562578
62,62,1550,1088.9081419354839
63,63,843,1129.8107473309608
64,64,243,1269.4836625514401
65,65,188,1050.4956914893617
66,66,1381,1025.5972700941347
67,67,523,1400.1424091778201
68,68,251,2833.3419920318725
69,69,890,1030.069584269663
70,70,225,1183.154311111111
