,basy_yydj,basy_ssjczbm1_for_str_4,HAOCAI-only_operation-4-E,JCJY-only_operation-4-E,YP-only_operation-4-E,ZFY-only_operation-4-E,记录条数-only_operation-4
0,1,,1958.2706017029327,1585.7689441816462,3382.0559451277204,12503.980794701987,5285
4,1,00.8,30151.51827586207,2720.005172413793,3657.5217241379314,43237.17724137931,29
7,1,01.4,5149.589090909091,2260.847272727273,4903.069454545454,20295.411272727273,55
13,1,03.0,19380.47293103448,1904.0431034482758,3070.458620689655,31548.41103448276,58
14,1,03.3,1732.8966315789473,1447.8936842105263,5403.478,15353.363368421053,95
15,1,03.5,25815.794444444444,2742.8920634920637,4062.2374603174603,37662.7773015873,63
18,1,03.9,1149.5126436781609,1833.194252873563,1200.1924137931035,12548.753563218392,87
20,1,04.2,2005.2440594059406,1531.8123762376235,1250.6121782178218,7894.817574257425,202
22,1,04.4,7641.884625000001,1746.9888749999998,4663.572875,21461.29625,80
23,1,04.7,3838.3596153846156,896.7773076923077,2268.710769230769,13355.10576923077,26
25,1,05.0,1189.354054054054,2044.2027027027027,813.0386486486486,17967.390000000003,37
31,1,06.4,8288.951764705882,2858.976176470588,2573.161176470588,22692.759705882352,34
33,1,06.8,1138.0554545454545,4342.142424242425,2961.691212121212,15814.683636363636,33
38,1,08.4,690.4634693877551,604.0724489795919,189.20857142857142,2711.9573469387756,49
44,1,09.8,939.6603144654088,634.8440251572326,559.6664779874214,3980.5793710691823,159
51,1,11.3,1100.7381069042315,517.0168151447662,196.8448329621381,2986.234008908686,449
57,1,12.6,1008.4744117647058,713.4294117647058,632.9791176470588,5922.497058823529,34
62,1,13.4,3299.906541543027,731.4411350148368,207.6298234421365,6317.92896884273,6740
63,1,13.5,2356.489375,642.1241666666666,238.54437499999997,4572.7821875,96
65,1,13.7,2180.5984971822168,737.8941202254226,157.83904195366313,4888.880150281778,3194
72,1,14.6,3633.2663636363636,838.5418181818183,348.4280303030303,6374.301515151516,66
73,1,14.7,5494.41011235955,905.5222471910112,432.5651685393259,11557.101910112358,178
87,1,17.1,2847.2279166666667,699.3541666666666,1449.0945833333333,8091.132083333334,24
90,1,17.9,2532.803369713506,730.769031377899,3637.8095907230563,9451.707653478854,733
92,1,18.2,1149.6100000000001,881.1420689655172,2048.436896551724,6201.360689655172,29
94,1,19.4,1079.2424691358024,1248.53012345679,3792.757901234568,10745.194691358025,81
100,1,21.0,1640.507894736842,895.2578947368421,1440.192456140351,5831.561403508772,57
102,1,21.3,1900.5929166666667,1021.3891666666667,1684.8304166666667,7395.7625,24
103,1,21.5,3099.7213636363635,854.5863636363636,1431.2295454545454,8887.66840909091,44
104,1,21.6,2053.0572199170124,780.7208298755187,1492.4584232365144,6951.84153526971,241
106,1,21.8,1260.89,717.8047770700638,2281.5606369426755,7198.8780254777075,157
108,1,22.1,1559.6938095238095,1530.3619047619047,3030.347142857143,10472.53619047619,21
111,1,22.5,1438.3095467422097,1032.3364872521245,2524.993399433428,9692.147082152975,353
125,1,28.2,1829.691011235955,941.3385393258427,2224.2724719101125,7696.888876404494,89
127,1,28.5,1548.7205714285715,715.5071428571429,1217.1654285714285,5236.213428571428,70
128,1,28.6,2461.7951908396944,795.0917557251909,1320.4698473282442,7488.619541984733,131
132,1,29.9,2943.253888888889,592.7611111111112,1304.4609722222222,6884.264444444444,72
133,1,30.0,1061.8470818505336,901.1074733096085,1753.5780071174377,6213.383914590747,281
139,1,33.2,2015.4836082474228,900.0484536082474,1220.4465979381444,6964.943814432991,97
141,1,34.0,2713.6412,2503.383333333333,5875.359866666667,15666.756666666666,75
145,1,34.9,569.208,2499.61325,4205.7855,12030.79825,40
150,1,38.3,1488.0246666666667,1113.5222222222221,2872.9752222222223,12491.16177777778,90
151,1,38.5,2195.681924050633,1676.6501898734175,2588.5609240506333,16396.718670886075,790
155,1,38.9,2844.9146122448983,1949.5259591836734,5262.155224489796,21248.389959183674,245
156,1,39.2,1866.5551428571428,1652.537142857143,1789.0894285714285,9250.446857142857,35
157,1,39.3,4816.327209302326,1032.860465116279,2515.86,15382.062325581393,43
159,1,39.5,8329.553831775702,1424.848785046729,878.7209345794392,14397.261495327102,107
160,1,39.7,9651.206666666667,2702.6920634920634,6088.383174603175,34062.38269841269,63
161,1,39.9,2648.3895744680854,1822.928170212766,4295.232765957447,17224.438765957446,235
170,1,42.3,3514.5644,1596.348,2471.8736,12293.866399999999,25
175,1,43.4,1532.7051030927835,975.7247422680413,2287.42793814433,7338.50206185567,194
179,1,44.1,929.2829591836735,1345.4329591836733,2622.048775510204,7824.138571428571,98
