,basy_ssjczbm1_3,count,耗材费
0,0,24967,24459.006292706374
1,1,32076,14233.100650642225
2,2,3758,35817.4981053752
3,3,40991,4616.00075138445
4,4,26516,3657.7359854427514
5,5,1228,1260.76756514658
6,6,43637,4149.441028026674
7,7,6774,7002.937503690581
8,8,7344,555.791598583878
9,9,7571,1355.8819402985075
10,10,1267,753.5827229676402
11,11,11422,866.4581132901419
12,12,5683,2141.9762220658104
13,13,346067,2610.3574122352034
14,14,29044,5067.099191227104
15,15,6398,599.4519177868084
16,16,4552,2001.7650681019331
17,17,95354,3622.8756822996415
18,18,7849,912.1316881131354
19,19,6427,1743.5962035164152
20,20,6310,2509.6274057052296
21,21,29004,1397.468104399393
22,22,35273,1456.9475417458113
23,23,1334,592.9756071964018
24,24,1864,2841.0157403433477
25,25,3085,2907.144188006483
26,26,6853,1881.0881672260325
27,27,13780,2103.320656023222
28,28,36317,1882.0534774348102
29,29,9135,1165.6644302134648
30,30,29615,919.4275323315887
31,31,7009,1811.1677742901982
32,32,53381,17471.30162005208
33,33,99153,961.0253422488478
34,34,55410,1398.7950781447391
35,35,12202,40117.783853466644
36,36,60134,11859.926795157482
37,37,32753,37757.87905535371
38,38,94261,3690.285345158655
39,39,126423,16681.003196016547
40,40,10992,1709.6684188500728
41,41,17959,2636.246587783284
42,42,19899,8278.616001306598
43,43,54956,5200.524898828153
44,44,51015,1288.0384275213173
45,45,164201,1444.7547783509237
46,46,11565,5133.277364461738
47,47,103087,1597.9887458166404
48,48,79101,3032.718623911202
49,49,138069,1170.3090383069336
50,50,25214,8556.989268263664
51,51,213556,2640.453909934631
52,52,7103,12778.577520765873
53,53,61947,2588.1515217847514
54,54,39916,2040.5315991081272
55,55,43531,3866.5583620867887
56,56,104320,4065.9336548121164
57,57,36530,1619.2778806460442
58,58,5813,1326.8242800619303
59,59,29019,2449.9885354422963
60,60,45660,2512.6889605781867
61,61,6605,986.4329901589705
62,62,5373,1018.0788293318444
63,63,6050,1051.4562776859505
64,64,14662,1096.7427956622562
65,65,39113,2136.5223084396494
66,66,31725,1655.4752384554768
67,67,17415,643.2623565891472
68,68,134700,1841.7237757238308
69,69,31806,902.2005366911903
70,70,7323,2667.7119896217396
71,71,8502,1138.050165843331
72,72,2721,674.8830319735391
73,73,32650,527.3707451761102
74,74,230518,1023.0388471182295
75,75,53783,512.4358455273971
76,76,11648,6678.410768372252
77,77,14147,5060.857858203153
78,78,104531,1532.1347235748246
79,79,201682,5610.799136313603
80,80,53624,4410.090066574668
81,81,170762,9398.263307878802
82,82,11808,1379.6230945121952
83,83,30834,1870.6471291431535
84,84,9739,5610.881117157819
85,85,75435,3143.6286890700603
86,86,74137,2412.4279826537354
87,87,5975,587.5023330543933
88,88,218468,1399.788045663438
89,89,33290,534.7543478522078
90,90,1604,755.9865399002493
91,91,106,461.08103773584907
92,92,37000,1279.7156248648648
93,93,166475,694.6315933924013
94,94,2384,466.0021895973154
95,95,820,351.09935365853664
96,96,79199,2624.735799315648
97,97,10432,712.3437260352761
98,98,6396,754.4383880550344
99,99,256866,851.1361384924435
100,100,637743,443.7149398582187
