,最小样本数量,费用类型,记录总数,统计特征长度,原始训练数据量,原始验证数据量,训练数据可预测数据量,测试数据可预测数据量,训练数据可预测数据的均方差,测试数据可预测数据的均方差,训练数据可预测数据的O/E标准差,测试数据可预测数据的O/E标准差,训练数据可预测数据O/E均值,测试数据可预测数据O/E均值
0,5,耗材费,327037,3,261629,65408,239627,59228,5768.2061280946,5834.939328828575,1.0793278507158488,1.5803559844258923,1.0000000000000004,1.0248534134914102
1,10,耗材费,327037,3,261629,65408,229215,56831,5740.493852667025,5784.892876862509,1.090739798341482,1.4447554395036002,0.9999999999999998,1.0151195483452267
2,15,耗材费,327037,3,261629,65408,220971,54931,5728.775122818787,5770.669551336677,1.096668989174337,1.4295939302353027,0.9999999999999999,1.0107071483259742
3,20,耗材费,327037,3,261629,65408,214490,53341,5669.222007895343,5761.107319054255,1.099788345125728,1.4369839321572624,1.0,1.0098289239912412
4,30,耗材费,327037,3,261629,65408,204250,50788,5632.03554546959,5672.49333506044,1.1037180590113242,1.4447060266988332,0.9999999999999999,1.0065520322791894
5,50,耗材费,327037,3,261629,65408,188364,46888,5562.489222347427,5358.582641473272,1.1089025897301032,1.435936443171533,1.0000000000000002,1.0026671848776503
6,100,耗材费,327037,3,261629,65408,163722,40742,5057.590539789936,4890.413990105187,1.1138944762561633,1.3159430700590478,0.9999999999999998,0.9996085695267487
7,5,耗材费,327037,4,261629,65408,230749,56856,5158.270419041251,5246.529221226311,1.003499696623595,1.4782280894590856,0.9999999999999998,1.0231861639449837
8,10,耗材费,327037,4,261629,65408,218422,54010,5133.684889190232,5164.33182957038,1.0168233879812756,1.4114027232195354,1.0,1.0148367892588839
9,15,耗材费,327037,4,261629,65408,209587,52008,5121.87092940136,5113.341827852111,1.0229906875075399,1.3925436757051644,1.0,1.0093844716756788
10,20,耗材费,327037,4,261629,65408,202179,50187,5113.286184403659,5098.522784697679,1.0287219955192062,1.380011635226564,1.0000000000000002,1.0061193406216424
11,30,耗材费,327037,4,261629,65408,189704,47067,5050.929054179653,5029.983056118095,1.0350116257394177,1.402980921551895,1.0,1.0051823581628732
12,50,耗材费,327037,4,261629,65408,174351,43285,4721.533326521366,4621.005654559319,1.0417644377404627,1.4097154464108956,1.0,1.0037163800212072
13,100,耗材费,327037,4,261629,65408,149551,37181,4292.163097908597,4147.636360643833,1.0400413917002542,1.2856680347323577,1.0,1.0021522002519232
14,5,耗材费,327037,5,261629,65408,209127,51220,4623.579020541445,4757.91673605022,0.8342633800068588,1.3885161927423249,1.0,1.023969954217033
15,10,耗材费,327037,5,261629,65408,191058,47088,4448.962823839384,4466.3997233867785,0.8487644047408692,1.393276726807659,1.0,1.0165948651316372
