,最小样本数量,费用类型,记录总数,统计特征长度,原始训练数据量,原始验证数据量,训练数据可预测数据量,测试数据可预测数据量,训练数据可预测数据的均方差,测试数据可预测数据的均方差,训练数据可预测数据的O/E标准差,测试数据可预测数据的O/E标准差,训练数据可预测数据O/E均值,测试数据可预测数据O/E均值
0,5###10,耗材费,4266194,3,3412955,853239,41420,9685,7226.7340703929995,7430.725139775404,0.8270293174081688,3.119992497722006,1.0,1.2721993233675264
1,10###15,耗材费,4266194,3,3412955,853239,32118,7743,6816.498468687601,6695.832482061352,0.9797174368189889,3.542762843470225,1.0,1.2213624503738916
2,15###20,耗材费,4266194,3,3412955,853239,26567,6399,6053.387672957703,6422.783230507688,1.043104886158672,4.814735212973905,1.0,1.1380288029662533
3,20###30,耗材费,4266194,3,3412955,853239,46672,11311,6999.450231285822,7285.955369372294,1.0973273428733281,2.144195079313384,0.9999999999999999,1.0925945536992172
4,30###50,耗材费,4266194,3,3412955,853239,73738,18115,6900.577190374461,7889.640079476787,1.2213019713118092,1.440862231013737,1.0,1.0292570803227874
5,50###100,耗材费,4266194,3,3412955,853239,132450,32817,6462.944559198967,6811.7226107920305,1.2673336773273562,1.5628762357901356,1.0,1.0374436303652481
6,100###1000000,耗材费,4266194,3,3412955,853239,3001419,749947,6659.605350279162,6691.882119494867,1.278566954677797,1.2979073272066037,1.0,1.0028748266547094
7,5###10,耗材费,4266194,4,3412955,853239,62254,14460,7238.505076018036,6510.207092375381,0.7601098896762448,2.5502212707940837,1.0,1.2012593381854035
8,10###15,耗材费,4266194,4,3412955,853239,45541,10823,6159.019498112245,7912.294451242812,0.8966531453152068,2.9469187386470943,1.0,1.186946558247265
9,15###20,耗材费,4266194,4,3412955,853239,36495,8656,6876.1527769633385,7222.737912635184,0.9301544509805371,1.5641884914136253,1.0,1.0681800758498083
10,20###30,耗材费,4266194,4,3412955,853239,61417,15097,7031.756788672751,6942.502804512817,1.0079112374549244,1.841017436502791,1.0000000000000002,1.082224028567612
11,30###50,耗材费,4266194,4,3412955,853239,92019,22642,7759.68563178388,7437.47659234242,1.1107903700465889,1.262204416328876,1.0,1.0140167580025785
12,50###100,耗材费,4266194,4,3412955,853239,161596,40055,8059.590229100279,8001.390070242,1.155703192993163,1.4349026289878872,1.0000000000000002,1.0319770565065147
13,100###1000000,耗材费,4266194,4,3412955,853239,2850796,711979,5745.543962060766,5814.615476840024,1.1766378533851065,1.1752188239960557,1.0,1.0027004560239108
14,5###10,耗材费,4266194,5,3412955,853239,108625,24899,6012.82899558241,6822.020907972666,0.7040440430829629,2.0049086264091467,1.0,1.1609142818355302
15,10###15,耗材费,4266194,5,3412955,853239,74204,17744,6895.212712830505,7582.29254279375,0.826330880337854,1.845928585921685,1.0,1.113490816121895
16,15###20,耗材费,4266194,5,3412955,853239,60170,14308,7242.690662720764,8063.143386943554,0.8745957192812073,1.7961209344717002,1.0,1.090474246989411
17,20###30,耗材费,4266194,5,3412955,853239,94860,23372,6914.8869129714585,7434.492622912768,0.9282568567311819,1.362451794545908,0.9999999999999999,1.0551431175218895
18,30###50,耗材费,4266194,5,3412955,853239,134747,32872,7236.99832180725,7338.409673619786,0.9999137120814373,1.4089542740277137,1.0,1.0302403850702797
19,50###100,耗材费,4266194,5,3412955,853239,221254,55007,7188.7454799483385,7133.134292315207,1.0364819191065204,1.21225273238927,1.0000000000000002,1.0128694115264187
20,100###1000000,耗材费,4266194,5,3412955,853239,2497527,623269,5189.883134728955,5267.215460583387,1.033781545581501,1.0940151086453176,0.9999999999999997,1.0044288217851252
21,5###10,耗材费,4266194,6,3412955,853239,111337,25438,6012.879346863996,6748.600868890053,0.7034812009580244,1.95940037139079,0.9999999999999999,1.1506846084008004
22,10###15,耗材费,4266194,6,3412955,853239,75901,18120,6871.651335993603,7287.517275854612,0.8225522962471845,1.8039526807629904,1.0,1.1096040008284407
23,15###20,耗材费,4266194,6,3412955,853239,61950,14700,7324.113209365756,8229.109414157045,0.8651164634711753,1.7936486925830768,0.9999999999999999,1.0924043842785471
24,20###30,耗材费,4266194,6,3412955,853239,97497,23997,6891.316989015667,7565.937567062088,0.9253806835526694,1.3999841370163997,1.0000000000000002,1.056318454441086
25,30###50,耗材费,4266194,6,3412955,853239,137722,33701,7166.306343171483,7063.207940908769,0.990442702448964,1.3488534469783509,1.0,1.025968699308554
26,50###100,耗材费,4266194,6,3412955,853239,223611,55564,7157.968984918595,7170.917413168382,1.021095624376612,1.1605819469551815,1.0000000000000004,1.0110314007641403
27,100###1000000,耗材费,4266194,6,3412955,853239,2473924,617358,5138.910400458295,5214.65060567615,1.0295954351661591,1.092872024969234,0.9999999999999997,1.0046176214858762
