,科室名称,人次,人次占比
0,内科,12223,0.33834357526435255
1,外科,6777,0.187593423019432
2,急诊医学科,4999,0.13837679233792835
3,重症医学科,3790,0.10491059071029175
4,中医科,1647,0.045590433482810166
5,全科医疗科,1491,0.041272213917953826
6,肿瘤科,953,0.02637989259812877
7,康复医学科,744,0.020594585617007142
8,妇产科,530,0.014670874162652937
9,耳鼻咽喉科,485,0.013425233903559763
10,传染科,447,0.012373359906992194
11,儿科,348,0.009632951336987211
12,中西医结合科,308,0.008525715551126613
13,疼痛科,257,0.007113989924154349
14,眼科,244,0.006754138293749654
15,预防保健科,137,0.0037922825665725516
16,皮肤科,136,0.0037646016719260367
17,unname,132,0.0036538780933399765
18,精神科,129,0.003570835409400432
19,小儿外科,106,0.0029341748325305873
20,医学影像科,66,0.0018269390466699883
21,其他业务科室,59,0.0016331727841443835
22,结核病科,41,0.001134916680507114
23,口腔科,30,0.0008304268393954493
24,职业病科,12,0.0003321707357581797
25,临终关怀科,10,0.00027680894646514977
26,运动医学科,10,0.00027680894646514977
27,医疗美容科,7,0.00019376626252560483
28,民族医学科,3,8.304268393954493e-05
29,儿童保健科,2,5.536178929302995e-05
30,医学检验科,1,2.7680894646514975e-05
31,妇女保健科,1,2.7680894646514975e-05
32,病理科,1,2.7680894646514975e-05
