,科室编号,出院人次,科室名称
0,3,569933,内科
1,4,360019,外科
2,50,210138,中医科
3,2,175434,全科医疗科
4,7,118879,儿科
5,5,110054,妇产科
6,19,51734,肿瘤科
7,1,46217,预防保健科
8,10,44283,眼科
9,21,41929,康复医学科
10,11,36691,耳鼻咽喉科
11,52,17370,中西医结合科
12,16,12020,传染科
13,8,8481,小儿外科
14,28,7510,重症医学科
15,27,6984,疼痛科
16,13,6242,皮肤科
17,69,5795,其他业务科室
18,20,4398,急诊医学科
19,15,3061,精神科
20,12,3031,口腔科
21,32,2861,医学影像科
22,17,1092,结核病科
23,9,810,儿童保健科
24,23,743,职业病科
25,51,735,民族医学科
26,22,666,运动医学科
27,6,584,妇女保健科
28,24,513,临终关怀科
29,30,464,医学检验科
30,14,453,医疗美容科
31,26,122,
32,25,53,特种医学与军事医学科
33,90,5,
