科室名称,入院人次,人次占比
内科,54056,27.836%
外科,47328,24.371%
妇产科,35620,18.342%
中医科,14285,7.356%
眼科,8600,4.429%
耳鼻咽喉科,7846,4.040%
肿瘤科,7467,3.845%
儿科,3722,1.917%
小儿外科,3223,1.660%
重症医学科,2887,1.487%
传染科,1385,0.713%
口腔科,1303,0.671%
全科医疗科,1276,0.657%
急诊医学科,1208,0.622%
疼痛科,739,0.381%
康复医学科,686,0.353%
中西医结合科,594,0.306%
医学影像科,557,0.287%
其他业务科室,332,0.171%
职业病科,229,0.118%
皮肤科,221,0.114%
结核病科,175,0.090%
临终关怀科,109,0.056%
精神科,90,0.046%
预防保健科,75,0.039%
医疗美容科,72,0.037%
运动医学科,71,0.037%
妇女保健科,19,0.010%
特种医学与军事医学科,17,0.009%
儿童保健科,3,0.002%
,1,0.001%
