科室名称,入院人次,人次占比
内科,495461,32.038%
全科医疗科,282421,18.262%
中医科,220713,14.272%
外科,183236,11.849%
预防保健科,79937,5.169%
康复医学科,63345,4.096%
儿科,58994,3.815%
妇产科,49855,3.224%
中西医结合科,22195,1.435%
肿瘤科,18609,1.203%
耳鼻咽喉科,14614,0.945%
眼科,13456,0.870%
皮肤科,6807,0.440%
其他业务科室,6600,0.427%
传染科,5148,0.333%
精神科,5064,0.327%
疼痛科,5054,0.327%
急诊医学科,4329,0.280%
小儿外科,1405,0.091%
儿童保健科,1309,0.085%
医学影像科,1083,0.070%
民族医学科,1066,0.069%
重症医学科,988,0.064%
口腔科,887,0.057%
妇女保健科,878,0.057%
医学检验科,811,0.052%
运动医学科,592,0.038%
职业病科,536,0.035%
临终关怀科,309,0.020%
,233,0.015%
医疗美容科,203,0.013%
,162,0.010%
结核病科,153,0.010%
,7,0.000%
病理科,1,0.000%
特种医学与军事医学科,1,0.000%
