,科室编号,basy_rykb,科室名称
0,3,573304,内科
1,4,354187,外科
2,50,209701,中医科
3,2,176269,全科医疗科
4,7,118808,儿科
5,5,109886,妇产科
6,19,50173,肿瘤科
7,1,46334,预防保健科
8,10,44167,眼科
9,21,40951,康复医学科
10,11,36679,耳鼻咽喉科
11,52,17509,中西医结合科
12,16,11136,传染科
13,20,9276,急诊医学科
14,8,8438,小儿外科
15,28,8199,重症医学科
16,27,7027,疼痛科
17,13,6313,皮肤科
18,69,5705,其他业务科室
19,15,3168,精神科
20,12,2995,口腔科
21,32,2785,医学影像科
22,17,1073,结核病科
23,9,809,儿童保健科
24,23,739,职业病科
25,51,720,民族医学科
26,22,636,运动医学科
27,6,582,妇女保健科
28,24,503,临终关怀科
29,30,464,医学检验科
30,14,455,医疗美容科
31,101,127,
32,26,122,
33,25,53,特种医学与军事医学科
34,90,10,
35,31,1,病理科
