,医院名称,检查检验费均值
2071,成都市第四人民医院（精神卫生中心 电子科技大学成都脑科学研究院临床医院 第四人民医院互联网医院,11941.97019
2211,成都顾连锦宸康复医院,11894.94609
969,四川省监狱管理局中心医院,7266.382687
1996,成都市公共卫生临床医疗中心,6035.921829
984,四川赫尔森康复医院,5900.992333
279,什邡岷德烧伤医院,5489.594828
2070,成都市第六人民医院,4853.255155
1989,成都安定医院,4731.4
926,四川大学华西医院,4720.919357
1987,成都天府新区顾连禾泰康复医院,4647.223826
1914,慈恒凉山精神卫生防治医院,4562.589474
2068,成都市第五人民医院,4456.13894
83,中国五冶集团有限公司医院,4260.846422
3010,绵阳市第三人民医院,4249.653472
2066,成都市第三人民医院,4170.243232
3084,自贡市精神卫生中心,4097.137786
3356,西南医科大学附属医院,4051.818561
2065,成都市第七人民医院,4017.653549
958,四川省医学科学院·四川省人民医院,4015.105188
2069,成都市第八人民医院（成都市慢性病医院   成都市第八人民医院互联网医院）,3992.16271
1983,成都大学附属医院（成都大学附属医院互联网医院）,3935.118433
2089,成都市金牛区人民医院（四川省人民医院金牛医院 成都市脑外伤抢救中心 成都市金牛区人民医院互联网医院）,3831.186397
3657,邛崃市医疗中心医院,3781.121484
982,四川蓝生脑科医院,3748.903943
3608,遂宁市中心医院,3746.78167
928,四川大学华西天府医院,3745.479579
2054,成都市温江区人民医院,3743.115104
2181,成都西区安琪儿妇产医院（成都西区安琪儿妇产医院互联网医院）,3703.903614
647,南充市中心医院,3677.773192
2346,核工业四一六医院,3675.349029
2617,渠县康缘精神病医院,3660.25
2149,成都新华医院,3636.364389
1833,彭州市天彭街道安康护理院,3498.175
3101,自贡怡然精神病医院,3459.730263
930,四川大学华西第四医院,3430.949074
2035,成都市新都区人民医院,3427.923664
3024,绵阳顾连康复医院,3416.907426
976,四川省肿瘤医院,3400.408913
2881,简阳市人民医院,3391.607879
1969,成都医学院第一附属医院,3384.598733
965,四川省林业中心医院,3381.046786
3080,自贡市第一人民医院,3377.956418
1922,成都东篱医院,3297.195878
210,乐山老年病专科医院,3290.298778
2702,甘孜藏族自治州人民医院,3263.075369
3083,自贡市第四人民医院,3253.67971
2829,眉山心脑血管病医院,3252.967883
977,四川省骨科医院,3247.663785
2260,攀钢集团成都医院,3239.791449
960,四川省南充精神卫生中心,3237.321126
1990,成都安琪儿妇产医院,3236.16
3654,邛崃市中医医院,3235.978554
1981,成都城南金花医院,3212.275166
1523,川北医学院附属医院,3172.847616
980,四川绵阳四0四医院,3136.76848
2074,成都市郫都区人民医院,3131.519105
2967,绵阳市中心医院,3129.936833
1874,德阳市人民医院,3122.937374
3081,自贡市第三人民医院,3113.450121
3254,蒲江县人民医院,3099.448162
2921,米诺娃妇女儿童医院,3048.995056
148,丹棱恒康精神病医院,3031.947826
2150,成都新生堂妇女儿童医院,3016.536585
2129,成都市龙泉驿区第一人民医院,3014.882456
242,九〇三医院,2998.878483
2067,成都市第二人民医院,2979.010453
3013,绵阳市骨科医院,2970.557196
631,南充临江医院,2965.048947
1958,成都体育学院附属体育医院,2942.635476
2187,成都誉美医院,2935.242099
949,四川泰康医院,2928.1768
546,凉山彝族自治州第一人民医院（凉山州传染病医院）,2899.841197
957,四川省八一康复中心（四川省康复医院）,2898.375176
924,四川友谊医院,2887.135051
1254,宜宾市第一人民医院,2874.378165
3384,西藏自治区人民政府驻成都办事处医院,2872.440103
3490,达州宜心精神病医院,2850.565217
947,四川护理职业学院附属医院（四川省第三人民医院）,2846.037077
2522,泸县人民医院,2845.537939
552,凉山高新肿瘤医院,2833.366337
2201,成都锦江大观医院,2823.407781
2549,泸州市中医医院,2809.048767
