,医院等级,医院类型,检查检验费
6,三级甲等,其他,2865.84088
7,三级甲等,口腔,2026.52258
8,三级甲等,妇幼,1273.891331
10,三级甲等,骨科,2670.14218
4,三级未评等,其他,2080.960037
9,三级甲等,肿瘤,3400.408913
0,三级乙等,其他,1890.269825
1,三级乙等,口腔,831.6713333
2,三级乙等,妇幼,987.874482
23,二级甲等,肿瘤,2054.624295
3,三级乙等,骨科,1960.619841
21,二级甲等,其他,1446.100163
17,二级未评等,口腔,402
22,二级甲等,妇幼,729.9965147
14,二级乙等,肿瘤,1911.102923
24,二级甲等,骨科,1377.534595
11,二级乙等,其他,1192.723881
12,二级乙等,口腔,143.4705882
18,二级未评等,妇幼,664.2712963
19,二级未评等,肿瘤,1809.869003
27,未评级未评等,骨科,1062.477351
16,二级未评等,其他,938.7314172
13,二级乙等,妇幼,551.4325585
5,三级未评等,肿瘤,1034.059114
15,二级乙等,骨科,1062.332361
25,未评级未评等,其他,535.5108476
26,未评级未评等,妇幼,273.1239076
20,二级未评等,骨科,990.4371581
