,basy_yydj_str,医院类型,检查检验费
0,三级乙等,中医,1612.3185800565243
1,三级乙等,其他,2110.6461422751768
2,三级乙等,口腔,772.3238095238096
3,三级乙等,妇幼,1016.8160134559319
4,三级乙等,骨科,2062.141072949191
5,三级未评等,中医,1571.747745959241
6,三级未评等,其他,2237.3596409303104
7,三级未评等,肿瘤,1701.303263707572
8,三级甲等,中医,2248.1937275646187
9,三级甲等,其他,3142.525095095315
10,三级甲等,口腔,2191.357330316742
11,三级甲等,妇幼,1330.4401349937734
12,三级甲等,肿瘤,4271.262374245473
13,三级甲等,骨科,2707.2680376285275
14,二级乙等,中医,1669.8116458333334
15,二级乙等,其他,1266.86788457506
16,二级乙等,口腔,224.73214285714286
17,二级乙等,妇幼,616.689068534646
18,二级乙等,肿瘤,2083.598895027624
19,二级乙等,骨科,1166.8290927882408
20,二级未评等,中医,813.4238993238166
21,二级未评等,其他,1037.186710847155
22,二级未评等,口腔,344.0
23,二级未评等,妇幼,706.3917647058823
24,二级未评等,肿瘤,1641.6104191616766
25,二级未评等,骨科,1057.440696960393
26,二级甲等,中医,1216.1152975861432
27,二级甲等,其他,1660.8830119546537
28,二级甲等,妇幼,761.2885573489502
29,二级甲等,肿瘤,2111.778100373289
30,二级甲等,骨科,1587.033958041958
31,未评级未评等,中医,707.1149385586184
32,未评级未评等,其他,659.099803192251
33,未评级未评等,妇幼,466.99970254191453
34,未评级未评等,骨科,1174.8221026490066
