,basy_yydj_str,医院类型,耗材费
0,三级乙等,中医,2066.696968030064
1,三级乙等,其他,2515.79399921936
2,三级乙等,口腔,383.9370588235294
3,三级乙等,妇幼,734.8196869111465
4,三级乙等,骨科,1797.4212011173186
5,三级未评等,中医,2317.1478492647057
6,三级未评等,其他,2620.8503017093035
7,三级未评等,肿瘤,2372.3958724832214
8,三级甲等,中医,2891.083757964905
9,三级甲等,其他,4351.260746537017
10,三级甲等,口腔,6244.503309265945
11,三级甲等,妇幼,1224.3998506910168
12,三级甲等,肿瘤,5229.291313910862
13,三级甲等,骨科,5722.416840932117
14,二级乙等,中医,3393.6206565656566
15,二级乙等,其他,2036.176821665375
16,二级乙等,妇幼,440.7450928381963
17,二级乙等,肿瘤,1012.8663725490196
18,二级乙等,骨科,6368.132479674798
19,二级未评等,中医,3069.1359415584416
20,二级未评等,其他,2570.5952626931567
21,二级未评等,妇幼,417.523125
22,二级未评等,肿瘤,4944.188768233387
23,二级未评等,骨科,5992.748695893452
24,二级甲等,中医,1526.332143864598
25,二级甲等,其他,1986.5088412063174
26,二级甲等,妇幼,556.7501355107713
27,二级甲等,肿瘤,2257.0922388059703
28,二级甲等,骨科,5720.141530909091
29,未评级未评等,中医,1735.8713157894738
30,未评级未评等,其他,1699.0351364653245
31,未评级未评等,妇幼,906.6284126984127
32,未评级未评等,骨科,4998.4790466101695
