,basy_caption,耗材费
0,万源仁合医院,5224.429593147752
1,万源市中医院,1114.0442857142857
2,万源市中心医院,1549.2986268871316
3,万源市古东关街道社区卫生服务中心,222.21466666666666
4,万源市固军镇卫生院,207.52
5,万源市大沙镇卫生院,263.1
6,万源市大竹中心卫生院,223.84333333333333
7,万源市妇幼保健计划生育服务中心,794.241294117647
8,万源市河口中心卫生院,322.03125
9,万源市玉带乡卫生院,213.03
10,万源市石窝镇卫生院,226.775
11,万源市竹峪中心卫生院,256.0
12,万源市罗文中心卫生院,205.0
13,万源忠栋医院,3898.8450000000003
14,万源民生医院,1351.6666666666667
15,三六三医院,3189.6911447997063
16,三台华厦眼科医院,1416.122340425532
17,三台县中医院,2612.476925110132
18,三台县中医骨科医院,2241.5289523809524
19,三台县中太镇中心卫生院,1479.5
20,三台县乐安镇中心卫生院,874.4825000000001
21,三台县人民医院,2797.3439901112483
22,三台县八洞镇卫生院,753.4
23,三台县刘营镇中心卫生院,653.362
24,三台县北坝镇中心卫生院,865.5204347826087
25,三台县古井镇中心卫生院,696.3199999999999
26,三台县塔山镇中心卫生院,701.1500952380952
27,三台县妇幼保健院,216.9
28,三台县富顺镇中心卫生院,1235.1084615384616
29,三台县建中镇卫生院,624.01
30,三台县建平镇中心卫生院,230.5
31,三台县忠孝乡卫生院,258.0
32,三台县新生镇中心卫生院,612.1999999999999
33,三台县新鲁镇卫生院,660.5793333333334
34,三台县景福镇中心卫生院,2161.097
35,三台县永明镇卫生院,610.275
36,三台县灵兴镇卫生院,1198.01
37,三台县精神病院,393.245
38,三台县芦溪镇中心卫生院  （三台县第二人民医院）,966.6286222222222
39,三台县西平镇中心卫生院,1522.454393939394
40,三台县观桥镇中心卫生院,1223.075483870968
41,三台县郪江镇中心卫生院,547.9066666666666
42,三台县金石镇中心卫生院,990.9410714285714
43,三台县鲁班镇卫生院,810.0714285714286
44,三台县龙树镇中心卫生院,410.46333333333337
45,中国五冶集团有限公司医院,1030.7140567612687
46,中国人民解放军第五七O一工厂医院,1030.4453571428571
47,中国十九冶集团有限公司职工医院,1235.5130990990992
48,中康凉山康复医院,1602.9499999999998
49,中江县万福中心卫生院,1411.8933333333334
50,中江县中医医院,1503.9216581632654
51,中江县人民医院,3685.2025675675677
52,中江县仓山中心卫生院,1464.5794347826088
53,中江县凯江中心卫生院,983.36
54,中江县南华镇卫生院,1638.6729411764704
55,中江县城南社区卫生服务中心,2374.1641538461536
56,中江县妇幼保健院（中江县妇女儿童医院、中江县妇幼保健计划生育服务中心）,872.3821965317919
57,中江县富兴镇卫生院,1233.8333333333333
58,中江县广福中心卫生院,967.1323529411765
59,中江县悦来镇卫生院,249.8
60,中江县永兴中心卫生院,512.5
61,中江县永太中心卫生院,410.7788888888889
62,中江县永安中心卫生院,750.8
63,中江县继光镇卫生院,682.0
64,中江县辑庆中心卫生院,838.0035714285714
65,中江县集凤中心卫生院,1422.4762500000002
66,中江县黄鹿镇卫生院,237.05
67,中江县龙台中心卫生院,887.6614917127073
68,中铁二局集团医院,1245.7136685082874
69,丹巴县人民医院,1581.990987654321
70,丹巴长征骨科医院,5209.926060606061
71,丹棱南苑中医医院,1818.051485148515
72,丹棱县人民医院,2025.2377615062762
73,丹棱县妇幼保健服务中心,285.90625
74,乐山五通桥中医医院,2995.233846153846
75,乐山友谊医院,5520.136931216931
76,乐山市中医医院,2855.3816452154447
77,乐山市五通桥区中医医院,1305.2500591715977
78,乐山市五通桥区人民医院,2575.188757142857
79,乐山市五通桥区冠英镇卫生院,1439.09
80,乐山市五通桥区妇幼保健院,510.3358064516129
81,乐山市五通桥区蔡金镇卫生院,1175.3649999999998
82,乐山市五通桥区金粟镇卫生院,1639.841
83,乐山市人民医院,4577.398011765878
84,乐山市妇幼保健院,1531.3360626836436
85,乐山市市中区中医医院,3615.0826764705885
86,乐山市市中区人民医院（乐山市第二人民医院）,2519.9225856164385
87,乐山市市中区妇幼保健计划生育服务中心,630.3282589285715
88,乐山市市中区安谷镇中心卫生院,583.04
89,乐山市市中区肿瘤医院（乐山市市中区第二人民医院）,1148.6872844827587
90,乐山市市中区苏稽镇中心卫生院,1151.2825806451613
91,乐山市市中区茅桥镇中心卫生院,961.7
92,乐山市沙湾区人民医院,1961.2024999999999
93,乐山市沙湾区福禄镇中心卫生院,1194.5240000000001
94,乐山市精神卫生中心,313.70666666666665
95,乐山市金口河区人民医院,1337.2659677419356
96,乐山昶康心血管病医院,21885.435345911952
97,乐山爱尔眼科医院,1551.8249541284406
98,乐山现代妇产医院,723.0064285714286
99,乐山老年病专科医院,2249.943013168087
100,乐山肛康中医肛肠医院,1683.2844117647057
101,乐山骨科医院,9098.102894736843
102,乐山鲍氏医疗投资有限公司乐山嘉定医院,1831.298880597015
103,乐至上好医院,706.6560000000001
104,乐至县人民医院,2206.681251725725
105,乐至县南塔街道社区卫生服务中心,1424.0
106,乐至县回澜镇中心卫生院,806.0
107,乐至县妇幼保健计划生育服务中心,437.54714285714283
108,乐至县石湍镇中心卫生院,454.25
109,乐至县童家镇中心卫生院,695.0154545454545
110,乐至天颐新区医院,2922.620688405797
111,乐至民仁医院,1148.2463636363636
112,乐至蓝天医院,712.5861111111111
113,九〇三医院,3253.537400442478
114,九寨沟县中藏医院,283.8533333333333
115,九寨沟县人民医院,620.0
116,乡城县人民医院,843.446923076923
117,井研县中医医院,1216.2476527331191
118,井研县人民医院,1274.6009117221417
119,井研县妇幼保健计划生育服务中心,441.5208928571429
120,井研县马踏镇中心卫生院,1714.41
