,疾病,口腔科耗材费均值,口腔科次数,非口腔科耗材费均值,非口腔科次数
0,三叉神经疾患,71.79314285714285,35,4532.1979943719625,3909
1,上呼吸道的其他疾病,796.4371428571428,49,488.68421013133207,7995
2,上肢单神经病,44.555,4,951.8955125284738,3512
3,不适和疲劳,11.6,1,56.50484897959184,2450
4,与有毒动物接触的毒性效应,0.0,1,58.41261274158912,16764
5,与淋巴网状组织和网状组织细胞系统的某些疾病,6398.6,1,2013.3627906976744,430
6,人类免疫缺陷病毒[HIV]病造成的传染病和寄生虫病,155.65,1,517.4194598687532,1981
7,人类免疫缺陷病毒[HIV]病造成的恶性肿瘤,194.75,1,1256.7802040816325,49
8,偏瘫,7.086666666666668,30,101.7687445703585,51799
9,"入脑前动脉的闭塞和狭窄,未造成脑梗死",11869.84,2,8402.62715995397,13035
10,其他B细胞淋巴瘤[恶性免疫增生性疾病],681.26,1,919.0424242424243,66
11,其他传染性和未特指病因的胃肠炎和结肠炎,5.763809523809524,21,30.765232119959176,76426
12,"其他先天性畸形,不可归类在他处者",1428.9404444444444,45,1216.5473022151898,1264
13,其他关节炎,0.0,1,263.5339687131683,18666
14,"其他关节疾患,不可归类在他处者",0.0,4,184.39626515878945,28119
15,其他内部假体装置、植入物和移植物的并发症,403.09800000000007,5,1933.0670202020203,1386
16,其他再生障碍性贫血,151.13,2,209.6321682168217,9999
17,"其他动物源性细菌性疾病,不可归类在他处者",585.3199999999999,2,479.2421893491124,169
18,其他医疗照顾,707.094375,48,446.8516525648704,470862
19,其他呼吸性疾患,11.597857142857142,14,190.77998475940552,396310
20,其他和不明确部位的恶性肿瘤,7014.365730337079,89,2186.9638824289405,1548
21,其他和不明确部位的继发性恶性肿瘤,3409.9376,25,3210.6729446747163,5549
22,其他和未特指胸内器官损伤,235.87,1,2742.8247657800716,5038
23,其他和未特指部位的动态未定或动态未知的肿瘤,1446.3914285714286,7,1671.612038166745,6393
24,其他和未特指部位的原位癌,29965.0,1,2244.32599009901,202
25,其他和未特指部位的良性肿瘤,1129.70025,40,1211.381193151418,3738
26,其他器官的结核,1455.4631578947367,19,1964.7552984895708,4171
27,其他女性盆腔炎性疾病	,5.36,5,80.18202530469391,64573
28,其他心律失常,30431.27,1,12493.962145745898,13105
29,其他急性缺血性心脏病,0.0,1,1844.5610950159587,8146
30,其他慢性阻塞性肺病,18.273935483870968,310,86.06111009318575,877602
31,其他手术的随诊医疗,165.23307692307694,26,1847.6184644957032,4422
32,其他椎间盘疾患,2.445323529411765,340,301.24665964569374,507527
33,其他矫形外科的随诊医疗,802.5123702031602,443,705.1190305929092,76521
34,其他破伤风,687.13,1,1922.1856435643565,101
