,basy_zyzd_jbbm_for_str_3,basy_yydj,age_group,AGE-HAOCAI-3-only_disease-E,AGE-JCJY-3-only_disease-E,AGE-YP-3-only_disease-E,AGE-ZFY-3-only_disease-E,记录条数-3-only_disease
28,A02,6,0,163.57920000000001,1217.3862,534.464,3010.7176,50
91,A04,5,0,64.72785714285713,566.6517857142857,322.73821428571426,1695.7775000000001,28
100,A04,6,0,98.01882978723405,958.0393617021276,367.8267021276596,2151.847553191489,94
108,A04,6,9,93.57484848484847,1439.1454545454546,484.9081818181818,3478.7284848484846,33
136,A08,3,0,64.39428571428572,531.9009523809524,228.58809523809526,1603.9795238095237,21
141,A08,5,0,50.04586206896551,726.805172413793,196.4803448275862,1559.5141379310344,29
145,A08,6,0,126.77988636363638,1125.2749999999999,317.0434090909091,2327.5185227272727,88
151,A08,6,9,81.3075,1421.3625,248.24541666666667,2991.67,24
164,A09,1,5,65.43448275862069,919.7689655172413,1288.8020689655173,2807.055517241379,29
166,A09,1,8,32.51782608695652,999.9013043478261,1246.3021739130436,2962.4734782608693,23
168,A09,2,0,83.02742857142857,448.51142857142855,489.396,1538.2582857142856,35
171,A09,2,3,15.808181818181817,862.2363636363636,729.6859090909091,2120.864545454546,22
172,A09,2,4,18.87125,1065.2729166666666,938.5775,2524.30875,24
173,A09,2,5,25.525106382978723,1036.4510638297872,1348.6087234042554,3058.9717021276597,47
174,A09,2,6,33.31583333333333,1242.9916666666666,1051.336111111111,2845.849722222222,36
175,A09,2,8,25.44135135135135,1015.345945945946,1188.1527027027028,2881.8527027027026,37
176,A09,2,9,31.790357142857143,975.6071428571429,1183.1075,2734.085714285714,28
177,A09,3,0,41.92995815899582,527.3471966527196,257.32761506276154,1367.207280334728,239
178,A09,3,1,19.61712643678161,778.7632183908046,321.3848275862069,1549.6458620689655,87
179,A09,3,2,28.92549019607843,864.8792156862744,548.9792156862745,1880.6466666666665,51
180,A09,3,3,33.01153846153846,964.9907692307692,421.7330769230769,2025.823846153846,52
181,A09,3,4,38.09213114754098,1148.0016393442625,550.6336065573771,2406.8926229508197,61
182,A09,3,5,34.318137254901956,1159.9254901960783,602.5779411764706,2457.0322549019606,102
183,A09,3,6,42.38551020408163,1324.8576530612245,699.7098979591838,2766.3489795918367,98
184,A09,3,8,41.4171,1329.941,687.4247,2767.6037,100
185,A09,3,9,54.13777777777777,939.1377777777777,498.0124444444445,2354.7145555555553,90
186,A09,4,0,50.661500000000004,715.2633333333334,238.32866666666666,1563.0031666666666,60
187,A09,4,1,34.06037037037037,818.2518518518518,441.83037037037036,1775.1414814814814,27
191,A09,4,5,55.57107142857143,1604.0042857142857,694.0814285714285,2960.6549999999997,28
192,A09,4,6,57.699999999999996,1634.0435714285716,754.6753571428571,3180.082142857143,28
193,A09,4,8,67.67166666666667,1790.364,616.8979999999999,3175.823666666666,30
194,A09,4,9,85.34586206896553,1454.5727586206897,581.2706896551724,2842.1251724137933,29
195,A09,5,0,47.98442567567567,623.9894256756756,230.9758108108108,1447.2830067567568,296
196,A09,5,1,32.29813333333333,942.4801333333332,316.22693333333336,1795.3211999999999,75
197,A09,5,2,27.615357142857142,1209.995892857143,363.03499999999997,2193.485357142857,56
198,A09,5,3,56.15196078431372,1252.4133333333334,525.6445098039216,2488.944901960784,51
199,A09,5,4,58.706875000000004,1409.1376249999998,493.49174999999997,2730.46825,80
200,A09,5,5,54.52178571428571,1637.1035,677.7522857142858,3244.2345,140
201,A09,5,6,63.10797752808988,1753.2059550561796,732.6022471910112,3577.5880898876408,89
202,A09,5,8,92.36638095238095,1871.2624761904763,725.4970476190476,3769.5852380952383,105
203,A09,5,9,73.24300000000001,1555.9450000000002,519.757,3138.513272727273,110
204,A09,6,0,64.3201798561151,816.5026618705035,287.3335971223022,1866.5570863309351,278
205,A09,6,1,66.68011904761904,1220.4926190476192,448.12285714285713,2404.2264285714286,84
206,A09,6,2,56.59907692307692,1756.876923076923,710.8269230769231,3307.5803076923075,65
207,A09,6,3,106.4253125,1557.8728125,825.0184375,3419.49984375,64
208,A09,6,4,110.9755,1899.0033333333333,918.7976666666667,3941.05,60
209,A09,6,5,122.52120000000001,2225.9416666666666,1081.7506,4542.614066666667,150
210,A09,6,6,174.3645652173913,2328.258043478261,1079.3635869565217,4807.329891304347,92
211,A09,6,8,154.3780303030303,2581.984696969697,1349.6377272727273,5512.361742424242,132
212,A09,6,9,116.68652777777778,1775.1508333333334,791.2583333333333,3954.4694444444444,144
213,A09,7,0,21.191183431952663,414.31224852071006,260.9726035502959,981.929349112426,338
214,A09,7,1,11.524508547008548,443.78600427350426,379.7765384615385,1107.3538675213674,468
215,A09,7,2,15.277651006711409,466.435033557047,445.9595973154362,1201.5910738255034,149
216,A09,7,3,14.135974576271186,518.5416101694916,456.32063559322035,1278.8034322033898,236
217,A09,7,4,13.841814159292035,556.4329867256637,562.2342920353982,1476.5939380530972,452
218,A09,7,5,13.77707034728406,570.4067853962599,616.2754496883348,1580.4078628673196,1123
219,A09,7,6,14.056478517270431,588.0955770850884,674.37250210615,1664.6790732940185,1187
220,A09,7,8,16.946057298772168,613.6708117326058,668.4879672578445,1703.3513642564803,1466
221,A09,7,9,18.129676806083648,625.6042015209125,685.909391634981,1763.1150760456273,526
229,A15,3,1,161.83083333333332,1104.0694444444443,820.8058333333333,4082.5172222222222,36
230,A15,3,2,161.2451851851852,1158.1851851851852,737.6944444444445,3811.969259259259,27
231,A15,3,3,54.8148,1303.4,863.4036,4226.178400000001,25
232,A15,3,4,135.98692307692306,1496.9346153846154,835.3796153846155,4131.418461538462,26
246,A15,5,2,149.60954545454547,2554.284090909091,1239.7827272727272,5953.043636363636,22
247,A15,5,3,69.61043478260869,1964.2030434782607,1169.6769565217392,4616.991739130434,23
248,A15,5,4,257.9468421052632,3243.299736842105,1788.5492105263156,8017.154210526315,38
249,A15,5,5,492.5143902439024,2363.388902439024,1396.8439024390243,6433.208292682926,82
250,A15,5,6,385.0461797752809,2951.9973033707865,1790.1956179775282,7938.861573033709,89
251,A15,5,8,225.92875,2930.3982954545454,1494.5363636363638,7221.837840909091,88
252,A15,5,9,234.24199999999996,3181.5768,1626.3344,8012.846799999999,25
254,A15,6,1,675.8010810810811,4318.748198198198,1890.1531531531532,9660.981981981982,111
255,A15,6,2,1463.8588148148149,5021.565629629629,3201.9785925925926,13017.872148148148,135
256,A15,6,3,1151.6200000000001,5278.998625954198,3266.2374809160306,13067.392366412212,131
257,A15,6,4,1727.7381547619048,5269.862738095238,3261.2247023809523,13905.971726190477,168
258,A15,6,5,1470.4872459016392,5341.9226229508195,3044.4124590163938,13160.112131147542,305
259,A15,6,6,476.5875420875421,5126.33228956229,2997.430134680135,11566.396195286196,297
260,A15,6,8,865.6399152542373,5027.044788135593,2911.639491525424,12334.143516949152,236
261,A15,6,9,333.01444444444445,5527.853888888889,3188.4154166666667,12412.373611111112,72
267,A15,7,6,212.36391304347825,2341.0086956521736,2693.5421739130434,7756.5886956521745,23
283,A16,3,1,238.8855072463768,1297.595652173913,848.5026086956522,4250.609130434783,69
284,A16,3,2,165.54291666666666,2134.9689583333334,816.9841666666666,5373.003958333334,48
285,A16,3,3,100.35469387755103,1463.3799999999999,664.9726530612245,4147.063877551021,49
286,A16,3,4,122.02826086956522,1894.6065217391304,977.9608695652173,5466.058913043478,46
287,A16,3,5,90.11523076923076,1685.7169230769232,897.3318461538462,4543.9627692307695,65
288,A16,3,6,112.59828571428572,1992.0502857142856,1609.0837142857142,5741.8394285714285,35
289,A16,3,8,72.70535714285714,1805.0939285714285,1096.0864285714285,4361.162857142857,28
