,basy_zyzd_jbbm_for_str_8,basy_yydj,HAOCAI-8-only_disease-E,JCJY-8-only_disease-E,YP-8-only_disease-E,ZFY-8-only_disease-E,记录条数-8-only_disease
10,A02.000,6,138.84135135135136,1270.6813513513514,485.53135135135136,2913.6056756756757,37
58,A04.900,5,75.89,1331.7864000000002,629.0928,3156.2052000000003,25
59,A04.900,6,59.373684210526314,1511.3947368421052,625.2907894736843,3133.0686842105265,38
60,A04.900,7,19.109444444444446,646.7888888888889,642.7791666666667,1712.0411111111111,36
64,A04.900x,5,46.93512820512821,933.7294871794871,423.89384615384614,2177.0899999999997,39
65,A04.900x,6,112.21752475247524,1070.4951485148515,393.3472277227723,2385.0566336633665,101
91,A08.000,3,54.341071428571425,683.8714285714286,244.92357142857142,1810.139642857143,28
93,A08.000,5,45.39074074074074,652.1592592592592,197.93074074074073,1447.5862962962963,27
94,A08.000,6,54.38333333333333,1046.6595238095238,197.41309523809525,2223.005476190476,42
100,A08.101,6,182.39254901960786,1406.5235294117647,455.67470588235295,2935.282549019608,51
119,A09.000,7,13.012244897959183,706.5002040816327,599.2838775510204,1701.3591836734695,49
123,A09.000x,5,141.7284,2472.3208,1008.6916,5254.7176,25
124,A09.000x,6,147.46587301587303,2656.8180952380953,1816.2526984126985,6091.837936507936,63
128,A09.001,3,18.053703703703704,875.085925925926,524.717037037037,2123.6281481481483,27
130,A09.001,5,50.808499999999995,1199.404,502.89250000000004,2392.19875,40
131,A09.001,6,85.23878787878789,1637.9390909090907,624.7024242424243,3172.059696969697,66
132,A09.001,7,15.705457227138641,611.6421533923304,629.2134218289086,1611.7166076696167,339
140,A09.004,2,30.16416666666667,665.0583333333333,860.5770833333332,2054.3166666666666,24
141,A09.004,3,46.73777777777778,771.533950617284,427.0308641975309,1890.6679629629632,162
142,A09.004,4,57.17733333333334,1213.6921333333335,421.19773333333336,2418.0861333333332,75
143,A09.004,5,57.84767527675277,1149.6626199261993,478.72996309963105,2446.5773800738007,271
144,A09.004,6,107.32640449438203,1601.9652059925095,649.7706367041199,3381.491947565543,267
145,A09.004,7,12.543214285714285,582.9552142857143,498.4452857142857,1525.030142857143,140
156,A09.007,3,37.45428571428572,789.3628571428571,362.22114285714287,1928.8862857142858,35
