,basy_zyzd_jbbm_for_str_9,basy_yydj,basy_ssjczbm1_for_str_9,age_group,AGE-HAOCAI-9-9-E,AGE-JCJY-9-9-E,AGE-YP-9-9-E,AGE-ZFY-9-9-E,记录条数-9-9
26,A02.000,6,,0,154.53833333333333,1137.8379166666666,456.0829166666667,2697.2429166666666,24
219,A04.900x0,6,,0,78.29096153846154,905.498076923077,308.81865384615384,1931.8315384615385,52
308,A08.000,5,,0,44.95434782608696,672.2913043478261,197.05521739130435,1485.6530434782608,23
329,A08.101,6,,0,81.42866666666667,1092.4793333333332,306.56433333333337,2132.565,30
531,A09.001,7,,1,12.993333333333334,431.685,392.39124999999996,1119.7495833333332,24
535,A09.001,7,,5,15.534242424242423,600.4231818181818,674.6386363636364,1657.1946969696971,66
536,A09.001,7,,6,15.209142857142858,691.4821428571429,736.5898571428571,1806.3537142857142,70
537,A09.001,7,,8,17.62912087912088,666.0603296703297,627.8142857142857,1654.9150549450549,91
578,A09.004,3,,0,57.956393442622954,562.5803278688525,272.7675409836066,1544.4127868852459,61
605,A09.004,4,,0,48.710476190476186,675.3857142857144,291.7528571428572,1713.7495238095237,21
627,A09.004,5,,0,52.136785714285715,597.9359523809524,306.95476190476194,1543.674761904762,84
635,A09.004,5,,9,57.27478260869565,942.4239130434783,311.1386956521739,2036.8765217391306,23
687,A09.004,6,,0,85.65225352112677,820.5832394366197,321.51352112676057,2036.2094366197182,71
695,A09.004,6,,9,99.39777777777779,1783.2374074074075,480.3611111111111,3367.7825925925927,27
758,A09.004,7,,5,12.423333333333334,580.45375,507.8908333333333,1480.19125,24
759,A09.004,7,,6,5.570769230769231,549.031923076923,543.8980769230769,1503.396923076923,26
760,A09.004,7,,8,12.332727272727272,700.3263636363637,592.9645454545454,1804.6831818181818,22
883,A09.900,7,,0,15.05391304347826,403.95608695652174,237.79717391304348,942.410652173913,46
884,A09.900,7,,1,12.513714285714286,478.8357142857143,358.7397142857143,1121.297142857143,70
885,A09.900,7,,2,12.610833333333332,464.21333333333337,599.7641666666667,1291.3066666666666,24
886,A09.900,7,,3,10.518055555555556,476.5155555555556,376.8333333333333,1148.7558333333334,36
887,A09.900,7,,4,11.345535714285715,598.0983928571429,606.83375,1570.6457142857143,56
888,A09.900,7,,5,10.383812154696132,499.80386740331494,562.3893370165746,1388.0088950276242,181
889,A09.900,7,,6,8.879396984924623,533.334824120603,553.1585427135678,1441.3264321608042,199
890,A09.900,7,,8,13.115065502183405,588.149519650655,612.6202620087337,1584.2842794759824,229
891,A09.900,7,,9,11.74563829787234,603.3814893617022,596.818085106383,1555.3758510638297,94
945,A09.900x0,3,,0,40.4422,623.9496,325.6356,1517.5936,50
951,A09.900x0,3,,6,34.593809523809526,1241.6857142857143,767.5314285714286,2394.710952380952,21
952,A09.900x0,3,,8,29.24909090909091,1318.340909090909,633.0140909090909,2484.663181818182,22
953,A09.900x0,3,,9,40.440769230769234,1129.7192307692308,719.795,2580.9134615384614,26
1012,A09.900x0,5,,0,35.99952380952381,651.1607142857143,199.64238095238093,1337.1959523809523,42
1019,A09.900x0,5,,8,79.91727272727273,1750.0568181818182,528.7940909090909,3194.1,22
1077,A09.900x0,6,,0,42.920249999999996,957.4575000000001,233.83075,1934.7965,40
1085,A09.900x0,6,,9,61.9096,1405.8627999999999,741.548,3398.1832,25
1171,A09.900x0,7,,0,26.497575757575756,406.8809090909091,260.6563636363636,1046.6957575757576,33
1172,A09.900x0,7,,1,22.602608695652176,520.4478260869565,453.4904347826087,1331.3973913043478,23
1175,A09.900x0,7,,4,17.714864864864865,570.1445945945945,633.7218918918919,1463.7064864864865,37
1176,A09.900x0,7,,5,16.158923076923077,594.3307692307692,752.9541538461538,1701.1952307692309,65
1177,A09.900x0,7,,6,20.78088888888889,684.7453333333334,827.5893333333332,1886.4917777777778,45
1178,A09.900x0,7,,8,18.708157894736843,645.3369736842105,712.9457894736842,1768.1147368421052,76
1179,A09.900x0,7,,9,53.839999999999996,778.7873913043478,771.3934782608695,2152.2069565217394,23
1231,A09.901,3,,0,25.15409090909091,450.8484848484849,203.34757575757575,1037.580909090909,66
1232,A09.901,3,,1,16.20027027027027,727.7297297297297,333.5216216216216,1413.5313513513515,37
1236,A09.901,3,,5,29.231153846153845,898.4115384615385,517.3488461538461,1959.2146153846154,26
1238,A09.901,3,,8,44.57344827586207,1435.844827586207,716.983103448276,2949.967931034483,29
1298,A09.901,5,,0,29.008372093023254,605.5081395348836,166.93918604651162,1247.3388372093023,86
1303,A09.901,5,,5,29.623636363636365,1397.3236363636363,395.0536363636364,2396.5145454545454,22
1347,A09.901,6,,0,33.95759259259259,711.8514814814815,188.64962962962963,1426.2224074074072,54
1396,A09.901,7,,0,22.698732394366196,414.1427230046948,259.44483568075117,964.3316431924882,213
1397,A09.901,7,,1,9.945247524752475,420.3322442244224,385.76537953795383,1073.7409240924092,303
1398,A09.901,7,,2,16.565473684210527,421.1842105263158,392.83315789473687,1090.5847368421053,95
1399,A09.901,7,,3,10.362014388489207,493.85604316546767,443.31604316546765,1209.266834532374,139
1400,A09.901,7,,4,10.150255474452555,511.61379562043794,551.8331386861314,1396.9357664233578,274
1401,A09.901,7,,5,11.09116564417178,561.3807208588956,626.395536809816,1571.3189877300613,652
1402,A09.901,7,,6,13.361726618705035,576.8932086330935,696.5971223021583,1663.136964028777,695
1403,A09.901,7,,8,15.341400462962962,590.1512037037037,696.6790972222223,1692.3561458333334,864
1404,A09.901,7,,9,16.559069069069068,608.8212012012011,707.6461561561562,1755.4837837837838,333
1656,A09.902,7,,5,8.912549019607843,575.8458823529412,553.4954901960784,1616.9435294117645,51
1657,A09.902,7,,6,11.6213698630137,613.4790410958905,667.3623287671232,1731.6198630136987,73
1658,A09.902,7,,8,12.61277777777778,619.2633333333333,611.2206666666667,1675.3895555555555,90
1713,A09.903,6,,9,145.72375,1044.7908333333332,645.5033333333333,2944.5429166666668,24
1808,A15.000x0,5,,5,125.11,2099.1779166666665,1163.7575,5184.92,24
1809,A15.000x0,5,,6,105.06173913043479,2384.3521739130433,1456.1817391304348,6366.611304347826,23
1849,A15.000x0,6,,2,110.07227272727272,3934.615454545454,3658.3349999999996,9630.168181818182,22
1850,A15.000x0,6,,3,139.5823076923077,4139.338461538462,2330.735,8333.871538461539,26
1851,A15.000x0,6,,4,157.62757575757576,3813.761212121212,3092.316363636364,9861.138484848485,33
1852,A15.000x0,6,,5,170.74058823529413,4575.863676470588,3466.601176470588,10362.50544117647,68
1853,A15.000x0,6,,6,215.8148888888889,4308.509777777778,3039.6003333333338,9766.579888888888,90
