,basy_yydj,basy_ssjczbm1_for_str_3,HAOCAI-only_operation-3-E,JCJY-only_operation-3-E,YP-only_operation-3-E,ZFY-only_operation-3-E,记录条数-only_operation-3
0,1,,78.2452936181775,1089.9378286859355,1967.3854518900928,5188.888438338484,29443
1,1,00.,17107.49952380952,1639.5047619047618,3565.935714285714,35159.07666666667,21
2,1,01.,2222.115142857143,2487.3514285714286,5075.2014285714295,17943.59657142857,35
3,1,03.,3699.6877540106952,1708.5070053475936,4103.0952941176465,14761.528770053475,187
4,1,04.,694.0118518518518,995.578913580247,1504.4581234567902,6573.9051851851855,405
6,1,06.,10989.530119760479,1990.3215568862277,2948.86125748503,22426.08616766467,167
7,1,08.,191.68854961832062,580.7561832061068,292.0917557251908,2041.8716030534351,131
8,1,09.,616.3636842105262,587.2094736842106,617.7735087719298,3188.009298245614,114
9,1,10.,86.00979591836733,802.5181632653062,499.47571428571433,1930.7293877551022,49
10,1,11.,332.7981352459016,573.3603278688526,228.45377049180328,2208.902602459016,488
11,1,12.,742.7647222222222,674.9997222222223,371.09166666666664,3084.3594444444443,36
12,1,13.,2132.906041757921,676.9781062928895,172.2905854869324,5146.213819535699,6849
13,1,14.,2552.250256410256,688.9685897435897,343.00290598290593,7082.217521367521,234
16,1,17.,1005.9359962581852,737.9728250701589,2538.3756969130027,6043.381506080449,1069
17,1,18.,575.6192592592593,623.5818518518519,1480.6699999999998,4287.256666666666,27
19,1,20.,777.6557534246575,1073.2869863013698,3112.6365753424657,8907.158356164384,73
20,1,21.,1190.1829599999999,788.668,1860.4280800000001,6036.2632,125
21,1,22.,1108.6283018867923,1153.3861635220126,2691.2549056603775,9004.578679245284,159
25,1,28.,1766.9661403508774,989.8122807017544,1576.4054385964912,6890.908947368421,57
26,1,29.,841.4197368421053,1126.7605263157895,2931.4228947368424,7031.944210526316,38
27,1,30.,934.3606493506494,696.964935064935,1613.2667532467533,5549.714415584415,77
29,1,32.,12527.502631578947,1799.3947368421052,1007.1647368421053,18617.89736842105,38
30,1,33.,564.4676086956522,1829.7147826086957,2433.1121739130435,7817.593695652174,46
31,1,34.,322.41573770491806,1765.2837704918034,2519.375901639344,6791.646721311476,61
35,1,38.,1194.797234927235,1471.3056133056134,2526.445343035343,14880.354594594593,481
36,1,39.,3587.2920308483294,1304.8646658097687,3103.9475578406173,14174.851979434447,778
40,1,43.,376.3704895104895,774.400606060606,2750.2483216783216,5403.964825174826,429
41,1,44.,104.5756135770235,1258.344229765013,1626.7515665796343,4158.070783289818,383
42,1,45.,515.9048655256723,1055.6899266503667,1848.5545476772618,4912.749315403423,409
44,1,47.,777.9794545454546,1150.3995454545454,1944.1835454545455,6297.316636363636,110
45,1,48.,1069.5354867256638,994.609557522124,3303.6969911504425,7981.334424778762,113
46,1,49.,3684.8189444444447,598.4611527777778,3341.322694444444,10012.032833333333,720
47,1,50.,4316.5090625,1888.021875,4517.2915625000005,14645.9484375,32
48,1,51.,2010.0064345991561,1636.4597468354432,4297.661793248945,11497.566497890295,474
50,1,53.,1649.764677419355,1000.7132258064516,1389.7825806451613,6426.073387096774,124
51,1,54.,1192.5393902439025,967.8254471544716,1899.6062195121951,15525.269715447155,246
52,1,55.,5430.962368421053,2209.334210526316,5250.619473684211,18469.204210526317,38
53,1,56.,5475.2831683168315,1996.6781518151815,4374.171485148515,15913.930627062704,303
54,1,57.,724.541914893617,2020.55609929078,3020.8093617021277,8177.135673758865,141
56,1,59.,3571.6770786516854,1654.8116853932584,3279.6232584269665,10524.499325842697,89
57,1,60.,1513.2648484848485,1789.4857575757576,3597.053181818182,14800.72090909091,66
60,1,63.,350.7831428571429,701.3714285714286,960.5025714285713,8122.72,35
62,1,65.,718.265,1413.9707894736841,1511.2931578947369,9511.911052631578,38
63,1,66.,320.0906849315068,771.0182876712329,1696.8065068493152,13852.402808219178,146
64,1,67.,424.29076923076923,1166.5676923076924,1222.9684615384617,6794.573076923077,39
65,1,68.,503.62833333333333,1119.5094444444444,1385.3903703703704,8314.678981481482,108
66,1,69.,176.40642201834862,1087.236513761468,755.7151376146788,5423.418440366972,109
67,1,70.,414.9312765957447,836.9202127659574,793.0355319148936,6821.919787234042,47
68,1,71.,656.4555294117647,1849.2621176470589,795.2562352941177,15560.964588235294,85
70,1,73.,497.9923456790123,1378.7176543209878,679.8459259259259,10558.537160493826,81
71,1,74.,942.9273408239701,1670.5702621722846,1309.077415730337,18013.518089887642,534
72,1,75.,589.9315789473684,2088.5340350877195,741.0409941520468,15405.808596491228,171
74,1,77.,1787.4092700729927,1457.0925547445254,3357.134306569343,21610.051824817518,137
75,1,78.,1410.4186842105264,873.7117669172932,1439.0214473684211,6177.534154135338,532
76,1,79.,6527.725828488372,1656.9518749999997,3283.327630813954,15460.381075581396,688
77,1,80.,1546.2488434782608,1234.8287217391305,3059.617217391304,15713.791469565218,1150
78,1,81.,5558.661609421,1482.328233562316,2639.04467124632,14715.59978410206,1019
79,1,82.,3712.9878750000003,635.2737500000001,1873.196875,8377.51575,80
80,1,83.,348.51956072351425,887.4125064599483,1615.3685142118863,5793.518927648579,774
81,1,84.,3514.061428571428,818.4951428571429,3460.9665714285716,11700.427142857143,35
82,1,85.,2033.4704347826087,940.0130434782608,2421.5917391304347,8273.544782608695,23
83,1,86.,2164.728832951945,1091.2845308924486,2772.8000686498854,10485.737414187643,437
85,1,88.,886.9749253731343,1237.4037313432837,2877.2176119402984,9154.69656716418,134
86,1,89.,41.97557692307692,2443.4067307692308,2237.289423076923,7626.167980769231,104
87,1,92.,2374.444532019704,1999.2719211822662,12556.9781773399,31994.99039408867,203
88,1,93.,163.87727929373997,1316.0345425361156,2192.544430176565,6474.106974317817,1246
91,1,96.,476.9973809523809,2518.44880952381,5028.06880952381,12612.29261904762,42
92,1,97.,293.16672413793106,764.6903448275863,1324.7934482758621,3944.873879310345,116
93,1,98.,55.750375000000005,667.6630277777778,1202.131625,2996.2342500000004,720
94,1,99.,749.9256567874131,1110.1879692645446,1942.9224588364434,6493.708024149287,2733
95,2,,52.83765618107952,1181.1446648868252,1571.9129843296575,4025.4822398142774,43075
97,2,01.,7444.242413793103,6554.410344827586,6637.587586206897,32921.57896551724,29
99,2,03.,5869.366238095237,1846.1359047619046,3268.381523809524,15860.728952380952,210
100,2,04.,231.06882352941176,1071.320056561086,1220.564773755656,5445.4561085972855,884
102,2,06.,596.5635294117646,1908.9588235294118,1641.2617647058823,8172.167941176471,34
104,2,08.,115.15830769230769,893.2626153846154,501.31030769230773,2417.8809230769234,65
105,2,09.,226.3630434782609,912.4565217391304,805.5447826086956,3647.543043478261,23
106,2,10.,72.41961538461538,791.2307692307693,718.3253846153846,2430.585769230769,26
107,2,11.,366.31585714285717,631.7257142857143,289.8972857142857,2718.3454285714283,70
109,2,13.,2466.893763688761,669.4766628242076,171.7195850144092,5440.811146974063,1735
110,2,14.,2026.8933333333334,749.3976190476191,845.3391666666668,6312.780119047619,84
113,2,17.,365.71159390159386,1089.7829937629938,1459.6972903672904,4988.919057519058,1443
114,2,18.,74.2792,1108.81,684.2139999999999,3041.385,50
116,2,20.,110.6572972972973,885.4081081081081,884.2851351351351,3399.1735135135136,37
117,2,21.,401.6215976331361,1196.996449704142,1076.5671005917159,4817.070532544379,169
118,2,22.,781.7145631067962,1037.1895145631067,1408.098155339806,6897.051844660194,103
123,2,27.,254.62220000000002,1178.6142,898.4725999999999,3783.6206,50
124,2,28.,1034.2464444444445,947.2466666666667,1412.4015555555557,5827.852000000001,45
125,2,29.,101.09911111111111,1594.795111111111,1339.8722222222223,4596.381777777778,45
126,2,30.,661.8382608695651,1008.0478260869564,1273.8119565217391,5608.810652173913,46
127,2,31.,61.60434782608695,1436.7,1347.839420289855,3912.8414492753623,69
128,2,32.,2305.86724137931,4256.306896551724,7680.415862068965,40178.41413793103,29
129,2,33.,127.55280952380953,2923.575714285714,2325.5194761904763,8696.330904761904,210
130,2,34.,385.74973262032086,2456.062299465241,2911.923101604278,8904.705935828877,187
133,2,38.,986.2905405405405,2039.8492792792792,4089.529954954955,12543.538288288288,222
134,2,39.,1275.6655733333334,1265.4394666666667,3384.574266666667,14970.504400000002,375
137,2,42.,1966.7413793103449,1768.693103448276,2106.852068965517,8674.442413793104,29
138,2,43.,543.9535903614458,1406.586265060241,1319.336096385542,5628.700313253012,415
139,2,44.,99.92596020761246,1617.198858131488,1548.0321539792387,4523.661323529412,1156
140,2,45.,381.4345776255708,1615.4639611872146,1328.48649543379,5145.118378995434,876
142,2,47.,1039.5742827442828,1361.815945945946,1677.634158004158,6940.654095634096,481
143,2,48.,720.763309178744,1513.0792270531401,1412.89038647343,6637.512632850241,414
144,2,49.,1058.6420663507108,978.5849952606635,1573.2066255924171,6525.733251184834,1055
146,2,51.,1454.5346688034188,1607.1625106837607,2160.7343803418803,8750.156602564102,936
148,2,53.,1681.5259507042254,1210.5992253521126,1291.0814084507042,6950.6925,284
149,2,54.,835.3590163934426,2069.8411475409835,2946.1633606557375,9358.504918032788,122
150,2,55.,3982.723548387097,2204.318129032258,2799.955483870968,14887.855483870968,155
151,2,56.,2663.432874493927,1588.6456882591092,1668.2822672064779,9348.268643724696,494
152,2,57.,360.9819913419913,1869.9922510822512,3373.0716666666667,8069.324545454545,462
153,2,58.,506.56583333333333,1120.3487499999999,1364.50125,4761.384166666667,24
154,2,59.,1648.6283018867925,1556.7087735849057,1425.3808490566037,6814.579150943397,106
155,2,60.,1283.0996153846154,1905.7175,3070.5071794871797,10179.71878205128,156
160,2,65.,858.173,1713.2915454545455,1667.5488181818182,8373.697727272727,110
161,2,66.,619.3100757575758,930.2837121212121,1452.6885606060605,6799.762727272728,132
162,2,67.,121.39351265822785,1006.5154746835443,910.1264556962026,3360.0646202531643,316
163,2,68.,572.6189215686275,1427.6595294117647,1359.0901960784313,6708.256588235294,510
164,2,69.,67.60736670293798,785.5002829162133,561.640718171926,2406.6315233949945,919
165,2,70.,201.2711111111111,890.8496296296296,848.9097883597884,4057.335238095238,189
166,2,71.,144.1395260663507,754.7970616113744,637.5427488151659,3141.9088625592417,211
168,2,73.,120.13506329113923,743.5173417721519,592.8454852320675,3066.2651898734175,237
169,2,74.,434.74358374384235,910.8012438423646,1234.5128448275864,5740.789236453203,812
170,2,75.,130.05058011049724,754.6162983425414,480.0581767955801,3196.6661049723753,362
172,2,77.,1728.1845679012345,1398.9832098765432,2146.1393827160496,8686.185802469136,81
173,2,78.,1778.105577523413,1015.4106035379813,1261.4709157127993,6676.255182101978,961
174,2,79.,6603.13266620014,1819.8246466060182,3258.0308677396783,16551.02523442967,1429
175,2,80.,2104.048594164456,1369.6753315649867,1998.3272679045092,9420.247931034482,377
176,2,81.,6500.738656280428,1793.669406037001,2313.330740019474,14563.045423563779,1027
177,2,82.,500.24254545454545,850.859909090909,1070.1824545454547,4001.5031818181815,110
178,2,83.,473.117891221374,963.8742461832061,1285.5035019083969,5141.050639312977,1048
179,2,84.,3004.113695652174,1442.8602173913046,3589.1297826086957,13185.338478260868,46
180,2,85.,950.2947272727273,1608.3872727272728,1302.4552727272726,6028.971636363636,55
181,2,86.,488.1135755478662,1192.7171856978086,1548.2849134948096,5085.15199538639,867
182,2,87.,46.202573099415204,1426.6415204678362,820.1781871345029,3074.8736257309943,171
183,2,88.,537.1082162162162,2329.4875675675676,1215.2531891891892,5423.986486486487,185
184,2,89.,115.12740963855423,1574.9497891566266,1488.8972289156627,4445.187575301205,664
185,2,92.,982.1207575757576,4701.1878787878795,8989.14909090909,30933.925303030304,66
186,2,93.,106.80156171284635,1261.1219345088161,1524.6280226700253,4386.125151133501,3970
187,2,94.,131.68916666666667,3328.097222222222,1888.4030555555555,7073.5088888888895,36
189,2,96.,525.7779523809523,3704.0793333333336,4334.3190476190475,15772.945523809523,210
190,2,97.,64.7783774834437,738.5378476821191,445.31930463576157,2083.0458609271523,302
191,2,98.,20.569672943508422,1078.2921902874134,822.4173637264619,3174.5605550049554,1009
192,2,99.,41.7318661971831,1331.2304906103286,1656.3964953051643,5257.700830985916,4260
193,3,,65.56043281332735,1300.7412052462223,1011.7126640055395,3588.4989577613946,122755
194,3,00.,15878.071029411765,3786.4501470588234,3779.101323529412,32902.65,68
195,3,01.,8571.632254335262,8463.95965317919,8327.615202312138,43973.369479768786,173
197,3,03.,3229.70622923588,2243.3794352159466,2342.9778903654483,13687.371162790696,602
198,3,04.,303.2848695054945,1285.9767032967034,1056.0107005494506,5605.406943681319,1456
200,3,06.,1756.0839449541284,2688.7663302752294,1233.0588073394497,10706.234128440366,109
202,3,08.,149.40407407407406,1361.9627160493826,541.9982098765432,3634.9295679012343,162
203,3,09.,249.4404761904762,1097.2201190476192,701.4095238095239,3411.7578571428567,84
204,3,10.,79.66333333333333,876.0645454545455,360.27151515151513,2546.165454545455,33
205,3,11.,152.1379295154185,746.071013215859,255.41651982378855,2769.925814977974,227
207,3,13.,1906.9296556380823,986.2093112761647,229.10861580013503,5201.665010128291,1481
210,3,16.,81.68771428571429,2586.2942857142857,1066.2294285714286,4964.251142857143,35
211,3,17.,214.01915799004075,1146.731902444545,1005.7995110909915,4246.5079164780445,8836
212,3,18.,96.64950570342205,1145.3447148288972,648.0868441064639,3123.2828517110265,263
214,3,20.,208.06890109890105,1156.6773626373626,914.989010989011,4048.0564835164837,91
215,3,21.,255.68827464788734,1093.9261091549297,745.1139436619718,4109.471355633803,568
216,3,22.,564.6317957746479,1334.4284154929576,1055.583309859155,7344.499330985916,284
217,3,23.,155.12399999999997,1305.876,1055.8872000000001,4422.2996,25
220,3,26.,557.1323333333333,1791.7206666666668,975.1883333333334,6601.437333333333,30
221,3,27.,190.51662068965518,1330.7310344827586,759.3515172413793,3888.6048275862067,145
222,3,28.,828.920974025974,1071.025,862.978181818182,5448.076428571429,154
223,3,29.,112.82989285714285,1764.1876428571427,998.7404642857143,4170.195321428571,280
224,3,30.,510.6045333333334,1238.5437333333334,936.6679333333334,5840.8678,150
225,3,31.,67.28525641025641,1733.49758974359,1137.5175897435897,4197.263076923077,390
226,3,32.,9391.516530612245,4778.394489795918,2845.75693877551,27914.651428571426,49
227,3,33.,263.00686274509803,2920.2337156862745,2183.0225980392156,8066.529029411765,1020
228,3,34.,555.4955070422535,3036.70814084507,2732.0187323943665,9759.738577464788,710
229,3,36.,11007.879104477612,3593.8756716417906,2137.2011940298507,23940.36746268657,67
230,3,37.,14737.34,3754.2428571428572,3031.310476190476,26890.41333333333,21
231,3,38.,1306.4169632495164,3399.869584139265,3742.480251450677,13670.963684719534,1034
232,3,39.,4555.367361530715,4968.2733333333335,5620.470634441088,28349.375055387714,993
233,3,40.,801.6749019607843,3049.5772549019607,1297.6799999999998,7414.306862745098,51
234,3,41.,2646.171803278689,5342.298360655738,4437.616557377049,19670.02836065574,61
235,3,42.,2395.852977099237,3409.715954198473,2179.679541984733,11927.734351145038,131
236,3,43.,684.547610062893,2131.2867672955977,1134.9501886792452,6479.124100628931,795
237,3,44.,137.43730508474576,2081.4466214689264,1261.1436129943502,5000.089740112994,3540
238,3,45.,442.22668524712003,2046.4906354515049,1009.4944890375325,5347.853519137867,2691
239,3,46.,2297.3233333333333,4133.644305555556,4320.557916666667,17404.06986111111,72
240,3,47.,1172.4055447247706,1600.2469896788991,1283.979380733945,7509.481743119266,1744
241,3,48.,760.1802168256722,2053.6232263660017,1026.6766782307025,6545.85710320902,1153
242,3,49.,448.4735228461807,1078.6085385420301,1167.8754586675968,6210.141144053017,2867
243,3,50.,3771.4288235294116,3833.5775,3875.5926470588233,18093.072352941177,68
244,3,51.,1592.8106518590052,2080.0335924674073,1602.7619507484308,9500.456605504587,2071
246,3,53.,1952.9559523809523,1415.9022321428572,790.0756398809523,7175.223824404762,672
247,3,54.,774.1109382716049,2448.5585432098765,2700.8903456790126,9539.245975308642,405
248,3,55.,2639.7218300653594,2888.5571241830066,2017.7918300653596,13286.353790849673,153
249,3,56.,2803.869866108787,1873.540577405858,1298.093832635983,9866.010359832637,1195
250,3,57.,525.3578867924529,2504.3306289308175,2367.2478238993713,9388.788905660376,795
251,3,58.,2250.27975,1804.622625,1478.1211250000001,8141.5985,80
252,3,59.,1415.4908521303257,1681.410902255639,1063.647192982456,6243.068496240602,399
253,3,60.,1586.6081458966567,2534.156534954407,2208.438723404255,11268.703617021278,329
254,3,61.,352.7685714285715,1500.1698412698413,1057.278888888889,6136.434603174604,63
256,3,63.,470.66975,1162.875,728.77175,4714.4574999999995,40
257,3,64.,581.6301754385964,810.519298245614,480.980350877193,3300.288947368421,57
258,3,65.,999.6281679389313,2010.3639312977098,1150.931641221374,8770.875458015267,262
259,3,66.,843.0663007159903,1181.768782816229,915.8330548926014,6734.142649164678,419
260,3,67.,173.44554455445544,1185.1043762376237,454.43928712871286,3411.072217821782,505
261,3,68.,546.1549410840535,1564.0731814611154,812.1813589945011,6522.884634721131,1273
262,3,69.,91.89950745033113,834.1812293046358,385.78405629139075,2377.9448385761593,2416
263,3,70.,244.45041379310342,1011.0291379310345,604.5973793103448,3983.6317586206897,290
264,3,71.,161.63565621370498,742.1432171893148,310.91121951219515,2903.515598141696,861
265,3,72.,364.4964864864865,1208.9472972972974,724.0959459459459,5520.384594594595,37
266,3,73.,165.559255,757.033675,386.07374,3114.87214,2000
267,3,74.,547.9314265198659,1059.3723480134036,1033.1420895165152,6331.4398755385355,4178
268,3,75.,202.62944518419886,871.2426986240569,485.3490812250333,3714.269280958722,2253
270,3,77.,1839.583111111111,1491.330962962963,1140.278,7894.1064444444455,135
271,3,78.,1169.7782090997096,1279.9151984511132,1145.1482526621492,6764.158015488868,2066
272,3,79.,4384.638849706129,2448.7976266442765,2882.500985166527,16448.063951861182,3573
273,3,80.,1935.048594224924,1865.9906686930092,1726.5165577507598,9854.40132218845,1316
274,3,81.,7099.815131710571,2567.9330343447814,2719.774654884962,18331.366412137377,2999
275,3,82.,343.9949683544304,935.3684493670886,754.0484493670886,4071.226582278481,316
276,3,83.,398.248694900605,1261.2943647363873,1314.2926274848746,5964.452618841832,1157
277,3,84.,2695.2502797202797,1795.172097902098,2087.401958041958,10975.173846153846,143
278,3,85.,1321.5643589743588,1639.8730256410256,570.128,5460.778512820513,195
279,3,86.,562.0715167840863,1526.0604392871944,1298.5720472440946,5839.829283050145,2413
280,3,87.,84.29915789473684,1690.0847368421053,785.1903157894736,3702.2115263157893,570
