,basy_yydj,basy_ssjczbm1_for_str_9,age_group,AGE-HAOCAI-only_operation-9-E,AGE-JCJY-only_operation-9-E,AGE-YP-only_operation-9-E,AGE-ZFY-only_operation-9-E,记录条数-only_operation-9
0,1,,0,187.98836222355052,784.9848953974895,1025.0807232516438,4656.237704722056,1673
1,1,,1,54.55159944367176,823.7817802503477,1254.0273296244784,3796.744993045897,719
2,1,,2,68.03422198041349,957.5582480957563,1606.4928182807398,5251.803264417846,919
3,1,,3,75.44241588156123,1012.4015006729476,1864.7855181695827,5397.970323014805,1486
4,1,,4,102.16995928338763,1000.5455985342021,1970.8008957654722,5648.942548859935,2456
5,1,,5,87.50125172890733,1034.9276953665283,1926.6871732365144,5343.49851659751,5784
6,1,,6,60.38920769230769,1085.3737711538463,2022.911326923077,4850.929996153846,5200
7,1,,8,57.42080094576622,1157.0798817792227,2074.7276015959806,4885.76182207773,6767
8,1,,9,71.14013741833746,1325.4721896823607,2369.592203198919,5934.111581437261,4439
150,1,04.8101,4,84.18,826.4621276595745,834.9248936170213,3942.0842553191487,47
151,1,04.8101,5,79.15941860465117,888.6989534883721,820.5532558139535,4524.731279069768,86
152,1,04.8101,6,97.34553571428572,894.4180357142858,1027.4089285714285,4561.885,56
153,1,04.8101,8,79.02413793103447,1080.1975862068966,1044.1868965517242,4285.877413793103,58
170,1,06.1101,4,10272.2875,1754.8285714285714,2223.522142857143,19368.28107142857,28
171,1,06.1101,5,11674.771515151515,1843.2121212121212,2528.197272727273,22036.98393939394,33
214,1,08.4902,8,131.22642857142856,589.6616071428572,311.26982142857145,1902.2364285714286,56
282,1,11.3201,5,177.06617647058823,725.5823529411764,400.98205882352937,2408.3170588235294,34
283,1,11.3201,6,178.28441860465117,633.3186046511628,253.23186046511626,1912.7209302325582,43
284,1,11.3201,8,88.8325,598.575,185.2075,1741.04,36
293,1,11.3900x0,6,177.3426923076923,604.3615384615384,219.89769230769232,1802.3250000000003,26
294,1,11.3900x0,8,244.60956521739132,612.4521739130435,221.34217391304347,2004.621304347826,23
299,1,11.3901,4,261.46565217391304,407.9478260869566,178.7691304347826,2147.583043478261,23
300,1,11.3901,5,319.61,471.6184782608696,204.01760869565217,2573.3217391304347,46
301,1,11.3901,6,341.8435820895522,530.1059701492537,171.43223880597014,2221.7873134328356,67
302,1,11.3901,8,366.97983870967744,583.7453225806452,154.68564516129032,2267.9161290322577,62
331,1,13.4100,5,5516.25,772.1452272727273,185.5686363636364,8123.635227272727,44
332,1,13.4100,6,4526.761030927835,773.2744329896908,180.13412371134018,7245.691134020619,97
333,1,13.4100,8,4487.183474576272,736.6321186440679,185.10923728813557,7248.01220338983,118
334,1,13.4100,9,3797.391071428571,738.0464285714287,203.72178571428572,6769.831071428571,28
338,1,13.4100x0,4,2831.533214285714,667.1767857142858,192.77875,6971.146607142858,56
339,1,13.4100x0,5,2620.422880562061,675.9083138173302,170.4464168618267,6404.875362997657,427
340,1,13.4100x0,6,2037.9362414733969,715.241480218281,170.04515688949525,5165.062824010914,1466
341,1,13.4100x0,8,1872.1849407114626,697.3473794466404,164.1496600790514,4931.738276679842,2530
342,1,13.4100x0,9,1808.3814935064936,690.7231331168831,169.26988636363637,4868.234642857143,616
354,1,13.7000,6,2533.7761379310346,644.1862068965518,295.07724137931035,4786.081655172414,145
355,1,13.7000,8,2598.2892063492063,625.1984126984127,293.88698412698415,4837.116666666666,126
356,1,13.7000,9,2624.2400000000002,621.725,292.43224999999995,4847.11725,40
358,1,13.7100,5,1674.9724137931037,647.3172413793104,72.88586206896552,4201.068620689655,29
359,1,13.7100,6,1618.3043617021278,640.3106382978723,48.24829787234043,4124.037765957447,94
360,1,13.7100,8,1572.3880419580419,636.7713286713287,46.957062937062936,4110.382937062937,143
361,1,13.7100,9,1512.462051282051,631.351282051282,42.646410256410256,4016.575128205128,39
364,1,13.7100x0,5,2594.243417721519,583.8379746835443,233.1960759493671,5118.455696202532,79
365,1,13.7100x0,6,2251.59216,540.1228000000001,190.79632,4745.55472,250
366,1,13.7100x0,8,1992.6086571428573,503.4945714285714,188.4782857142857,4457.648542857143,350
367,1,13.7100x0,9,1862.1110227272727,500.175,165.59045454545455,4547.443749999999,88
401,1,14.7401,5,3449.928181818182,831.0636363636363,385.7184848484848,9702.59303030303,33
402,1,14.7401,6,3688.1473333333333,688.1133333333333,373.173,11702.010666666667,30
403,1,14.7401,8,4975.928333333333,711.4708333333333,299.17875,10367.70375,24
409,1,14.7903,5,1.216,579.872,178.6636,1824.9979999999998,25
410,1,14.7903,6,1.5199999999999998,565.2181818181817,355.5531818181818,1781.5445454545456,22
460,1,17.912A0,4,122.32,685.182,876.46,4445.933999999999,25
461,1,17.912A0,5,10.96309090909091,610.8072727272728,981.6492727272727,3660.6532727272725,55
462,1,17.912A0,6,14.266428571428573,810.9416666666666,1172.3561904761905,4339.934523809524,42
463,1,17.912A0,8,22.334634146341465,806.8731707317074,1645.1470731707316,5113.090975609755,41
475,1,17.9200x0,5,63.895833333333336,1317.3999999999999,1991.1666666666667,5205.92875,24
489,1,17.9500x0,4,30.493793103448272,679.4241379310345,1828.0213793103446,3908.3837931034486,29
490,1,17.9500x0,5,25.99326530612245,725.645918367347,2022.807244897959,4006.9405102040814,98
491,1,17.9500x0,6,32.644603174603176,777.5936507936508,1847.9571428571428,3989.408095238095,63
492,1,17.9500x0,8,31.85322033898305,959.7728813559322,2001.0683050847458,4311.722372881356,59
493,1,17.9500x0,9,84.58380952380952,932.695238095238,1817.7038095238095,4459.120952380952,21
525,1,17.9700x0,8,139.77904761904762,646.9047619047619,1716.61,3247.99,21
556,1,17.98330,1,3303.3391666666666,450.2,5117.0575,10836.748333333333,24
557,1,17.98330,2,4194.966274509804,436.70588235294116,5193.91568627451,11485.563921568628,51
558,1,17.98330,3,4181.384285714285,475.2392857142857,5658.732857142857,12063.161785714285,28
559,1,17.98330,4,3712.039756097561,494.89512195121955,5675.831219512194,11597.01756097561,41
560,1,17.98330,5,3906.890571428572,559.5171428571429,5089.904285714286,11513.050571428572,35
694,1,22.5300x0,4,1257.1141666666667,1331.8500000000001,3166.48875,10259.15375,24
695,1,22.5300x0,5,1157.9525925925927,1066.5037037037036,2728.321111111111,9300.680740740741,27
886,1,38.5900x0,4,697.3752083333334,1366.4270833333333,2430.4,15352.785624999999,48
887,1,38.5900x0,5,790.375,1483.6139705882354,2607.433602941176,17004.802867647057,136
888,1,38.5900x0,6,1038.5227173913042,1574.8304347826086,2664.7583695652174,17251.53652173913,92
889,1,38.5900x0,8,1446.6315555555555,1572.2111111111112,2730.9264444444443,18063.091333333334,45
974,1,39.5000x0,5,7285.929444444445,990.2138888888888,653.8830555555555,12282.121666666666,36
993,1,39.7903,4,9144.14,2039.5,4986.559310344827,21986.475172413793,29
994,1,39.7903,5,8813.758666666667,2021.1555555555556,4004.2562222222223,19502.00377777778,45
1002,1,39.9500,4,627.9799999999999,1003.5247826086957,2915.424130434783,7994.78652173913,46
1003,1,39.9500,5,374.8065979381443,1016.6809278350515,2679.3003092783506,7686.80237113402,97
1004,1,39.9500,6,388.04749999999996,1132.22109375,2082.25453125,6287.28921875,64
1005,1,39.9500,8,605.0449090909091,1547.3454545454545,2931.0505454545455,10146.794727272727,55
1006,1,39.9500,9,663.1371428571429,1972.3761904761905,5758.400952380953,17101.29,21
1078,1,43.4101,4,50.83404761904761,664.5619047619048,1869.7645238095238,3821.4366666666665,42
1079,1,43.4101,5,152.03755813953487,725.9093023255814,1959.4219767441862,4363.034302325582,86
1080,1,43.4101,6,120.92371428571428,806.0885714285714,1849.002,4185.811428571428,35
1081,1,43.4101,8,445.91761904761904,759.1857142857143,2141.9561904761904,4602.45,21
1086,1,43.4105,4,463.305,652.275,3776.210882352941,6591.603529411765,34
1087,1,43.4105,5,536.088611111111,746.5397222222223,3360.6543055555558,6208.079444444444,72
1088,1,43.4105,6,415.13314285714284,827.7842857142857,2949.454,5877.424,35
1111,1,44.1300x0,4,100.80611111111111,1283.431388888889,1600.8708333333334,4687.118888888889,36
1112,1,44.1300x0,5,90.0511956521739,1083.228804347826,1299.0089130434783,3671.814130434783,92
1113,1,44.1300x0,6,93.95626506024097,1216.1715662650604,1783.6100000000001,4170.898674698795,83
1114,1,44.1300x0,8,84.97476923076923,1420.9413846153845,2063.918153846154,4770.125846153846,65
1128,1,45.1300X0,5,27.8625,1650.675,477.3233333333333,2587.1275,24
1175,1,45.4200x0,5,920.3727272727273,688.309090909091,2798.1145454545454,6215.590303030303,33
1281,1,49.0400x0,2,3570.50696969697,415.71515151515155,4238.23,10863.55696969697,33
1282,1,49.0400x0,3,2784.7403846153848,542.7684615384616,4683.010769230769,10645.271538461539,26
1315,1,49.4500,1,3125.116,565.432,2376.3988,7843.2396,25
1316,1,49.4500,2,3266.8862962962967,629.1277777777779,2607.8744444444446,8443.35148148148,27
1338,1,49.4600,3,1538.235,412.1318181818182,2905.101818181818,6636.004999999999,22
1339,1,49.4600,4,2117.7880952380956,496.99047619047616,3588.4083333333333,9437.128333333334,42
1340,1,49.4600,5,1663.8612280701755,460.1061403508772,2978.2328070175436,7202.638596491229,57
1348,1,49.4900x0,2,8586.733235294118,679.0588235294117,2872.0917647058823,14370.681470588235,34
1350,1,49.4900x0,4,7993.291304347827,715.8452173913043,3107.494782608696,13894.808260869566,23
1351,1,49.4900x0,5,7434.62,738.3114285714286,2789.5954285714283,13071.491999999998,35
1357,1,49.4901,5,6069.222857142857,471.2657142857143,5107.956666666667,13610.955238095237,21
1393,1,51.0400x0,5,3500.2215384615383,2205.369230769231,7743.281538461539,18414.233076923076,26
1414,1,51.2300,3,1820.0925000000002,1632.9454545454546,4035.0143181818185,10751.78,44
1415,1,51.2300,4,1629.3345283018866,1418.8681132075471,2904.1884905660377,8768.066226415094,53
1416,1,51.2300,5,1372.075172413793,1371.0685344827587,3104.174396551724,9052.869655172415,116
1417,1,51.2300,6,1403.360925925926,1441.9492592592592,2703.58,8676.85925925926,54
1418,1,51.2300,8,1461.5936666666666,1274.4540000000002,2618.248,8281.612333333333,30
1511,1,54.51009,2,766.4811111111112,616.8851851851853,1537.9192592592592,18330.253333333334,27
1512,1,54.51009,3,937.029142857143,512.74,1482.5748571428571,19824.372571428572,35
1520,1,54.5103,2,1845.9788235294118,617.1176470588235,651.17,15873.909411764707,34
1521,1,54.5103,3,2006.3968181818184,667.5431818181819,697.8990909090909,15499.185,44
1576,1,56.0x00x0,3,5953.04,2009.68,4991.702888888889,17318.690222222223,45
1577,1,56.0x00x0,4,5988.11,2072.2672413793102,4880.868448275862,17265.395344827586,58
1578,1,56.0x00x0,5,5451.206136363637,1907.5531818181817,4363.193977272727,16015.71625,88
1579,1,56.0x00x0,6,5314.88275862069,2033.8137931034482,3948.5272413793105,15068.71827586207,29
1637,1,57.9400,8,655.0150000000001,2340.792857142857,3059.692857142857,7777.186428571428,28
1638,1,57.9400,9,830.0003703703703,3114.9333333333334,3481.4114814814816,9968.476296296296,27
1790,1,66.7905,2,96.04833333333333,615.2249999999999,1819.5747222222224,15732.108611111113,36
1791,1,66.7905,3,107.32366666666667,646.2666666666667,1698.756,15627.161333333333,30
1942,1,71.7102,2,654.77,2108.5307894736843,668.5871052631579,17474.71289473684,38
1943,1,71.7102,3,858.1356,2229.1295999999998,572.5216,20186.971999999998,25
