疾病编码,总费用,总住院天数,总住院次数,总人数,平均费用,平均住院次数
E75.200x021,26300.58,90,95,5,276.8482105,19
Q78.200,88229.27,67,34,2,2594.978529,17
E75.200x007,34380.48,26,166,10,207.1113253,16.6
D68.200x005,14206.34,14,14,1,1014.738571,14
G12.101,209032,287,13,1,16079.38462,13
D82.301,57332.32,11,11,1,5212.029091,11
D86.800x007,35293.56,57,11,1,3208.505455,11
D80.300x001,47502.48,10,10,1,4750.248,10
E74.003,42457.98,63,39,4,1088.666154,9.75
T95.101,164113.36,546,29,3,5659.081379,9.666666667
E16.100x010,55908.16,113,9,1,6212.017778,9
T91.051,97438.71,448,18,2,5413.261667,9
E75.205,347208.73,198,160,18,2170.054563,8.888888889
D80.000x011,718097,237,205,24,3502.912195,8.541666667
D61.007,265763.48,62,17,2,15633.14588,8.5
Q44.505,128483.58,58,17,2,7557.857647,8.5
D60.800,165263.38,46,33,4,5007.981212,8.25
D61.000x006,56508.28,41,16,2,3531.7675,8
D64.000,83069.64,55,16,2,5191.8525,8
E83.103,81766.68,96,8,1,10220.835,8
T75.401,39574.17,209,8,1,4946.77125,8
J60.x00,16686904.51,73778,3354,421,4975.224958,7.966745843
D80.500x001,112836.53,43,23,3,4905.936087,7.666666667
D55.204,221067.22,219,68,9,3250.988529,7.555555556
D56.100x003,4895970.39,2350,1138,153,4302.258691,7.437908497
D58.100,10377.03,7,7,1,1482.432857,7
E83.201,18171.18,53,7,1,2595.882857,7
F80.200,37836.72,127,7,1,5405.245714,7
H16.303,85492.58,118,14,2,6106.612857,7
K91.817,100011.2,168,14,2,7143.657143,7
Z51.105,49642.55,21,7,1,7091.792857,7
D75.000,5976.52,13,13,2,459.7323077,6.5
C91.001,8937181.64,5202,540,84,16550.33637,6.428571429
T92.951,217345.02,1143,45,7,4829.889333,6.428571429
C91.002,21351160.09,12242,1766,276,12090.12463,6.398550725
C81.300x002,151183.76,145,19,3,7957.04,6.333333333
C91.003,1336187.97,681,57,9,23441.89421,6.333333333
M32.113+H36.8*,9611.66,24,6,1,1601.943333,6
T91.400,70490.53,322,12,2,5874.210833,6
M08.200,1417812.94,1247,398,67,3562.34407,5.940298507
F01.300,5182406.75,16128,236,41,21959.35064,5.756097561
Z00.600,376098.68,687,340,60,1106.172588,5.666666667
T90.453,180484.39,812,33,6,5469.223939,5.5
F20.301,13374696.97,63223,1256,247,10648.64408,5.085020243
A16.400x010,25806.77,15,5,1,5161.354,5
B66.100,16274.23,34,5,1,3254.846,5
C84.500x002,113272.42,92,5,1,22654.484,5
C96.702,112781.28,102,20,4,5639.064,5
D43.300x003,13905.86,13,5,1,2781.172,5
D55.200,46036.49,29,5,1,9207.298,5
D66.x00,79907.53,126,10,2,7990.753,5
F60.200,132454.32,840,15,3,8830.288,5
F63.200,49632.93,363,5,1,9926.586,5
F65.000,74318.29,273,5,1,14863.658,5
J66.051,107772.75,455,20,4,5388.6375,5
M35.906+G63.5*,14928.81,18,5,1,2985.762,5
T92.154,24105.07,131,5,1,4821.014,5
T95.000x005,54515.24,328,5,1,10903.048,5
G80.101,16637301.3,50376,1722,367,9661.615157,4.692098093
C38.000,17552.21,21,14,3,1253.729286,4.666666667
D80.500,58993.84,13,14,3,4213.845714,4.666666667
M72.806,77810.37,292,23,5,3383.059565,4.6
D56.100,4325851.9,4152,1252,278,3455.153275,4.503597122
D59.501,461557.96,261,45,10,10256.84356,4.5
D81.900x001,377770.51,134,9,2,41974.50111,4.5
D83.900x001,384996.3,174,27,6,14259.12222,4.5
F07.100,571463.99,3070,58,13,9852.827414,4.461538462
Z51.807,32889996.62,28428,13997,3149,2349.788999,4.444903144
F20.500,247756400.7,1244969,17360,3967,14271.68207,4.376102849
M32.107+G99.2*,108982.63,91,13,3,8383.279231,4.333333333
T91.153,125677.51,661,26,6,4833.750385,4.333333333
C22.200,2855021.2,1159,118,28,24195.09492,4.214285714
F60.201,571057.63,3949,59,14,9678.942881,4.214285714
D68.204,114292.46,172,25,6,4571.6984,4.166666667
F20.800x001,3927892.41,15216,232,56,16930.57073,4.142857143
D56.102,1393852.99,744,294,71,4740.996565,4.14084507
D67.x01,1040553.34,822,218,54,4773.180459,4.037037037
A17.851+,20602.77,106,4,1,5150.6925,4
B55.000,40087.88,50,4,1,10021.97,4
C41.002,18399.94,8,4,1,4599.985,4
C50.600x001,120538.76,20,4,1,30134.69,4
C81.001,36415.05,20,4,1,9103.7625,4
C84.500x004,122077.77,109,12,3,10173.1475,4
C88.000x011,22044.47,58,8,2,2755.55875,4
C94.201,188462.32,87,4,1,47115.58,4
C96.400x001,25209.78,35,4,1,6302.445,4
D39.201,33098.01,79,8,2,4137.25125,4
D56.100x001,81540.18,58,16,4,5096.26125,4
E27.808,74520.54,50,4,1,18630.135,4
E76.100x001,747368.39,144,4,1,186842.0975,4
F07.204,43090.79,189,8,2,5386.34875,4
F19.700,110620.64,718,12,3,9218.386667,4
F43.802,104683.56,738,8,2,13085.445,4
F60.800,51917.28,310,4,1,12979.32,4
F64.900,36019.49,292,4,1,9004.8725,4
G25.500x004,601273.28,30,4,1,150318.32,4
