科室名称,科室平均耗材费
重症医学科,4076.551758
口腔科,3340.005196
外科,2399.929672
医学影像科,2298.793206
运动医学科,1897.565405
小儿外科,1854.702944
医疗美容科,1840.504515
急诊医学科,1547.343432
眼科,1481.366662
特种医学与军事医学科,1048.486923
耳鼻咽喉科,938.2113434
内科,832.756406
疼痛科,796.0283717
肿瘤科,707.5527001
妇产科,693.1140172
其他业务科室,692.9553973
结核病科,646.1678329
传染科,597.5084323
中医科,543.8024769
职业病科,437.6862341
临终关怀科,436.990709
儿科,193.5684479
中西医结合科,192.7689881
康复医学科,160.2927456
精神科,156.3530071
皮肤科,146.8974463
全科医疗科,79.68520427
妇女保健科,49.83361627
民族医学科,40.779375
儿童保健科,36.22619289
预防保健科,15.86427607
医学检验科,7.297330211
病理科,0
