,index,科室名称,高OE值人次,所有人次,高OE值人次占比
0,8,医学影像科,459,5300,0.08660377358490566
1,14,急诊医学科,681,18331,0.037150182750531884
2,19,结核病科,63,2155,0.02923433874709977
3,6,其他业务科室,284,11302,0.02512829587683596
4,22,肿瘤科,2015,99397,0.02027224161695021
5,1,中西医结合科,565,33550,0.01684053651266766
6,24,重症医学科,239,16310,0.014653586756591048
7,7,内科,15306,1116368,0.013710532727559371
8,3,传染科,300,21917,0.01368800474517498
9,10,外科,9165,687515,0.013330618241056559
10,23,运动医学科,16,1321,0.012112036336109008
11,18,精神科,66,6458,0.010219882316506659
12,2,临终关怀科,10,1086,0.009208103130755065
13,11,妇产科,1855,216104,0.008583830007774036
14,15,疼痛科,83,13536,0.006131796690307329
15,4,儿科,1142,208399,0.005479872744111056
16,16,皮肤科,59,12296,0.004798308392973324
17,13,康复医学科,352,79255,0.004441360166551007
18,0,中医科,1492,404521,0.0036883128440797883
19,9,口腔科,21,5851,0.0035891300632370535
20,5,全科医疗科,1237,346544,0.0035695322960432154
21,21,职业病科,5,1418,0.003526093088857546
22,12,小儿外科,49,15099,0.003245248029670839
23,20,耳鼻咽喉科,125,69069,0.0018097844184800707
24,25,预防保健科,49,89007,0.0005505184985450583
25,17,眼科,29,78442,0.0003696999056627827
