,jbbm_length,次数
0,0,34444
1,1,84513
2,2,3868
3,3,793666
4,4,31005
5,5,544632
6,6,79754
7,7,141940699
8,8,678398
9,9,26926
10,10,22980
11,11,12625002
12,12,60061
13,13,11043
14,14,1575388
15,15,36791
16,16,9889
17,17,4989
18,18,210915
19,19,1169
20,20,1776
21,21,1023
22,22,123
23,23,180
24,24,81
25,25,226
26,26,161
27,27,57
28,28,16
29,29,116
30,30,11
31,31,33
32,32,5
33,33,35
34,34,5
35,35,23
36,36,2
37,37,7
38,38,3
39,39,7
40,40,1
41,41,7
42,42,1
43,43,4
44,44,3
45,45,1
46,46,1
47,47,4
48,49,3
49,50,1
50,51,1
51,53,6
52,55,1
53,57,1
54,58,1
55,59,1
