,basy_zyzd_jbbm_for_str_4,basy_yydj,age_group,AGE-HAOCAI-4-only_disease-E,AGE-JCJY-4-only_disease-E,AGE-YP-4-only_disease-E,AGE-ZFY-4-only_disease-E,记录条数-4-only_disease
73,A09.,6,5,451.8152173913044,2673.986956521739,1454.1721739130435,6425.032608695652,23
75,A09.,6,8,479.5708333333334,4503.094166666667,2904.5616666666665,10248.085833333333,24
76,A09.,6,9,357.89212121212125,3120.057878787879,1680.9260606060604,7768.048787878787,33
106,A15.,5,5,1187.664,3156.5330000000004,1720.9843333333333,9235.028666666667,30
107,A15.,5,6,638.3108823529411,4037.843823529412,2972.8532352941174,11700.761470588235,34
108,A15.,5,8,486.8494117647059,3601.7591176470587,1912.1064705882354,9465.181176470587,34
111,A15.,6,1,1281.3632352941177,5465.975882352941,2294.069117647059,12601.378823529412,34
112,A15.,6,2,3156.47078125,5567.15359375,3086.93046875,15948.816875,64
113,A15.,6,3,2603.37126984127,6611.685079365079,4948.712063492063,18640.549365079365,63
114,A15.,6,4,3378.97686746988,6309.579156626506,3897.1181927710845,18295.37518072289,83
115,A15.,6,5,2246.5417708333334,6343.768072916667,3618.3924479166667,16984.6159375,192
116,A15.,6,6,961.3321428571428,5767.983511904762,3447.003273809524,13813.553035714287,168
117,A15.,6,8,1423.633237410072,6389.096115107914,3699.201582733813,16174.880503597124,139
118,A15.,6,9,523.637111111111,6102.972888888889,3399.480222222222,14440.023333333334,45
126,A16.,3,1,502.14500000000004,1397.0454545454545,987.7659090909091,4747.62909090909,22
146,A16.,5,4,1316.2054545454548,5295.482727272727,3335.343181818182,14024.660454545454,22
147,A16.,5,5,796.53,4238.414,1995.9494285714284,10850.068571428572,35
148,A16.,5,6,1180.639375,4547.071875,2546.3121875,11819.0821875,32
149,A16.,5,8,1020.5562499999999,3613.1578125,2000.431875,10197.4290625,32
152,A16.,6,1,706.3481481481481,5678.37037037037,2372.7838271604937,11606.756913580248,81
153,A16.,6,2,1218.4779207920792,5743.300891089109,3285.0629702970296,13909.849207920792,101
154,A16.,6,3,1563.8042857142857,5902.319897959183,3331.876632653061,14563.123265306123,98
155,A16.,6,4,1972.816785714286,5632.193095238095,3818.655,15110.621428571429,84
156,A16.,6,5,1547.998125,6422.6498125,3701.4261875,15200.139625,160
