,basy_zyzd_jbbm_for_str_6,basy_yydj,basy_ssjczbm1_for_str_6,age_group,AGE-HAOCAI-6-6-E,AGE-JCJY-6-6-E,AGE-YP-6-6-E,AGE-ZFY-6-6-E,记录条数-6-6
295,A15.00,6,,5,407.19925925925924,5626.553333333333,5940.737037037037,14993.831481481482,27
296,A15.00,6,,6,417.37624999999997,4848.715,3148.529,11050.305499999999,40
297,A15.00,6,,8,448.0736111111111,5748.268055555555,3998.1830555555553,13231.631666666666,36
324,A15.00,6,33.240,5,427.95977777777773,6551.325333333333,3650.967111111111,14655.573999999999,45
325,A15.00,6,33.240,6,578.8118604651163,6255.742325581395,3378.891860465116,14084.793720930233,43
326,A15.00,6,33.240,8,355.00969696969696,5723.774242424242,2922.0784848484845,12901.951515151513,33
523,A15.30,6,33.240,5,479.9756,5255.444,2059.0316000000003,10597.9224,25
524,A15.30,6,33.240,6,601.707037037037,5391.885555555556,2144.6855555555558,11312.815925925926,27
782,A16.20,6,,5,378.55125,4490.51625,3462.25125,10157.321249999999,24
783,A16.20,6,,6,385.66964285714283,4779.140357142857,4079.8939285714287,11873.4525,28
784,A16.20,6,,8,359.5811764705882,5058.2091176470585,3252.904411764706,10885.226764705883,34
823,A16.20,6,33.240,1,498.52076923076925,7213.788461538462,3225.548076923077,13501.707307692308,26
824,A16.20,6,33.240,2,455.57107142857143,6114.060357142857,3036.785,12584.896428571428,28
825,A16.20,6,33.240,3,429.19588235294117,6480.081764705882,3489.2008823529413,13403.346176470588,34
827,A16.20,6,33.240,5,446.863,6729.186749999999,3103.0845,13188.78675,40
828,A16.20,6,33.240,6,537.4528205128205,6450.294358974359,2665.060769230769,13292.853846153846,39
829,A16.20,6,33.240,8,484.4590909090909,5982.330606060606,2843.197878787879,12362.123636363636,33
1736,A41.50,6,,6,543.7509523809524,9406.868095238096,6098.244761904762,22047.214285714286,21
1737,A41.50,6,,8,552.448888888889,7563.464444444445,5687.48,19236.78962962963,27
1738,A41.50,6,,9,581.9531578947368,8041.48552631579,5836.940263157895,20248.73289473684,38
2121,A41.90,5,,8,444.53066666666666,4947.415,3180.125666666667,12571.894333333334,30
2122,A41.90,5,,9,353.8232,4529.058,2536.2864,11483.6008,25
2262,A41.90,6,,0,329.5294285714286,1954.1678095238094,1347.594,5227.447904761905,105
2266,A41.90,6,,4,609.7268181818182,6345.070454545454,7013.401363636363,19196.155000000002,22
2267,A41.90,6,,5,856.9100000000001,5909.720555555556,6279.036111111111,17437.638055555555,72
2268,A41.90,6,,6,562.7317441860465,6472.445581395348,5443.745,16852.08848837209,86
2269,A41.90,6,,8,507.108115942029,6995.697463768116,4754.700797101449,16471.33391304348,138
2270,A41.90,6,,9,623.2491428571429,6372.685071428572,4317.315571428572,17369.8465,140
2322,A41.90,6,33.240,6,917.92,11883.753703703704,8488.507037037038,31017.925925925927,27
2323,A41.90,6,33.240,8,913.5228125,12509.789375,8303.420937500001,32869.12625,32
2324,A41.90,6,33.240,9,996.417,12321.085000000001,7486.5485,32573.296500000004,40
