,basy_zyzd_jbbm_for_str_9,basy_yydj,HAOCAI-9-only_disease-E,JCJY-9-only_disease-E,YP-9-only_disease-E,ZFY-9-only_disease-E,记录条数-9-only_disease
54,A09.004,6,361.12125000000003,2771.54,1435.66375,6447.13625,32
66,A09.900x0,6,352.79535714285714,2758.5714285714284,1237.1996428571426,6141.918928571429,28
77,A09.902,6,674.8891666666667,3319.870833333333,1220.27375,6776.675833333334,24
87,A15.000x0,5,396.62822222222223,3589.244,1798.1197777777777,9000.289111111111,45
88,A15.000x0,6,683.5572486772486,6419.700978835979,4311.8741005291,15323.183544973544,378
93,A15.007,5,460.2425,4286.910357142858,3187.391071428571,11865.030357142856,28
94,A15.007,6,355.28285714285715,3885.8817142857138,2301.465142857143,9633.004,35
108,A15.200,6,5778.703478260869,5533.244347826087,1727.1947826086955,17826.33956521739,23
111,A15.201,6,12623.90603773585,11131.71679245283,5866.628490566038,40506.83320754717,53
125,A15.300,6,752.1268888888889,5177.716222222222,3062.891333333333,12554.533333333333,45
135,A15.307,6,445.28780487804875,5106.2931707317075,1986.7563414634144,10595.236341463415,41
138,A15.308,6,470.81298245614033,4850.912280701755,1899.2949122807017,10279.463157894737,57
153,A15.601,6,995.6659259259259,5576.578518518519,2028.657777777778,12677.678148148148,27
165,A16.000,3,458.4354166666667,1452.375,821.6841666666666,4581.06125,24
167,A16.000,6,417.4,4243.0756756756755,1873.9764864864867,9233.543513513514,37
197,A16.200x0,3,493.0286363636364,7231.936818181817,1944.1245454545458,15584.475,22
199,A16.200x0,5,1112.25,5039.322988505747,2930.613908045977,13362.057011494253,87
200,A16.200x0,6,943.44709486166,6617.591007905138,3804.5442490118576,14700.129664031621,506
222,A16.500x0,5,580.6487096774193,3403.0803225806453,1370.5525806451612,7879.40064516129,31
223,A16.500x0,6,781.9088311688312,5310.878831168831,1800.6194155844157,11277.81116883117,154
243,A17.000+G,6,1972.7730769230768,11851.89346153846,8240.683076923076,31502.333846153844,26
253,A17.803+G,6,1376.4515909090908,12894.924090909091,10614.14318181818,34249.663636363635,44
262,A18.006+M,6,11816.699565217392,9494.992608695653,7269.826086956522,42929.18260869565,23
265,A18.007+M,6,9671.800357142856,8749.774642857143,6486.610357142857,39323.71785714285,28
296,A18.103+N,6,4311.549047619048,4426.173809523809,2528.1400000000003,19680.231428571427,21
318,A18.205,6,1408.6374576271187,4509.981186440678,1555.9483050847457,11732.277288135592,59
326,A18.300x0,6,1500.2924137931034,11522.739310344828,9222.144827586208,28271.556551724138,29
338,A18.314+K,6,1269.9640909090908,7466.318181818182,2137.224090909091,14213.030454545455,22
411,A41.000,6,3918.982888888889,15705.198222222223,16535.54088888889,58317.24088888888,45
423,A41.200,6,1968.5965789473685,12673.149210526315,12732.657105263159,38478.766052631574,38
431,A41.500x0,6,3211.1483636363637,17767.92309090909,13615.520181818181,54454.18490909091,55
435,A41.501,5,666.2313432835821,5373.316268656717,3574.387014925373,13542.100298507463,67
436,A41.501,6,1541.4328934010155,10164.927918781726,7301.68807106599,26797.812182741116,197
439,A41.502,6,3192.9109090909096,13528.658636363636,19598.15409090909,55032.98318181818,22
443,A41.503,5,757.9468,5718.8952,4690.5472,16079.1248,25
444,A41.503,6,4504.927340425532,16221.05425531915,17735.89510638298,57195.00170212766,94
465,A41.805,6,5607.4534375,15721.530312500001,17283.928125000002,57034.575,32
474,A41.900,5,2285.3,8459.754545454547,12168.520606060605,31113.984848484848,33
475,A41.900,6,1290.5507555555555,7585.495422222222,6448.488088888889,23505.94582222222,225
481,A41.900x0,5,2244.0932258064518,10028.628548387096,8208.18,31242.35193548387,62
482,A41.900x0,6,3407.2575,13045.600550847457,11265.946652542374,39741.14885593221,236
485,A41.901,2,529.6007407407408,4824.403703703703,5139.137777777778,16392.485555555555,27
486,A41.901,3,813.992090909091,6312.716636363636,5240.654090909091,19365.121636363634,110
487,A41.901,4,1506.4890178571427,7091.547767857142,7629.815714285714,23571.36946428571,112
488,A41.901,5,1092.2116486486486,6323.334297297297,4870.053567567567,19500.803513513514,370
489,A41.901,6,2209.0456998484083,10558.929292572006,8733.958312278928,31896.692713491662,1979
501,A48.100x0,6,1702.8496153846156,10798.458076923076,6072.98576923077,26299.39576923077,26
551,A49.815,6,865.5891666666666,5120.14875,3661.384583333334,16057.040833333334,24
573,A52.300,6,654.625,3557.359090909091,3656.9190909090908,10648.698636363637,22
585,A63.000x0,6,490.5636666666667,1602.4766666666667,2434.859,10726.798666666667,30
606,A86.x00,6,813.7379213483147,6846.002752808989,3911.7460112359554,17410.578764044945,178
611,A86.x02,6,1188.8675,9583.208214285714,4831.407857142856,24168.22428571429,28
614,A87.900,6,512.0668000000001,5400.109,2388.834,11037.6446,50
645,B02.202+G,3,404.61727272727273,1574.0636363636365,2922.249090909091,8055.095909090908,22
647,B02.202+G,5,1269.7152564102564,1833.4557692307692,1207.4626923076924,6649.076923076923,78
648,B02.202+G,6,1652.1571000000001,2811.85244,1549.60758,10321.6538,500
649,B02.202+G,7,726.8639130434782,1299.7652173913043,770.0208695652174,5346.479565217392,23
651,B02.203+G,6,375.92638297872344,1732.8170212765956,2195.114680851064,8006.515319148935,47
688,B02.900,6,370.38103448275865,2213.0137931034483,1291.1437931034482,6113.756206896552,29
732,B18.101,6,295.99914285714283,3447.4857142857145,2791.3854285714287,8617.090285714285,35
736,B18.106,6,6324.376444444444,7427.088000000001,8777.606666666667,36187.39488888889,45
740,B18.107,6,2494.0165909090906,3891.0654545454545,2338.841363636364,12497.953181818184,44
757,B20.100,6,1017.7478048780489,9626.460975609756,7487.660487804878,23001.95536585366,41
769,B20.700,6,704.37775,10945.5485,16456.290625,34048.198749999996,80
785,B22.701,6,1122.4483928571428,12550.324999999999,15144.786607142858,35108.94642857143,56
798,B24.x01,6,594.0337837837837,5815.675675675676,3039.7905405405404,13147.871621621622,37
803,B27.001,6,320.45814814814815,1688.0333333333333,1390.9729629629628,5017.257037037037,27
807,B27.800,6,330.0881818181818,1445.9636363636364,1256.1812121212122,4559.603636363637,33
812,B27.900,6,446.86408163265304,1970.2563265306121,1049.811224489796,5035.577959183674,49
830,B37.100,6,1120.1785714285713,9675.492380952383,8507.810000000001,32163.924761904764,21
836,B37.101+J,6,1355.6863346613547,9918.560876494023,8362.022310756973,27768.818486055778,251
853,B44.000,6,1838.0829824561404,10779.05947368421,12264.780175438596,33707.69403508772,57
