,basy_yydj,basy_ssjczbm1_for_str_4,HAOCAI-only_operation-4-E,JCJY-only_operation-4-E,YP-only_operation-4-E,ZFY-only_operation-4-E,记录条数-only_operation-4
0,1,,722.5190226628895,1457.8878517469311,3631.5153116147308,11798.498290840414,2118
5,1,01.4,2450.232916666667,2706.9375,5485.259166666667,20071.179583333334,24
7,1,03.0,7553.032142857142,2040.3428571428572,3278.4560714285717,21768.920714285716,28
9,1,03.5,13903.834347826087,2081.5760869565215,4215.114347826087,26989.68391304348,23
11,1,03.9,799.2475862068966,1360.503448275862,1699.4303448275864,6997.905862068965,29
17,1,04.8,559.0223529411765,1306.9414705882355,1183.7252941176469,5759.0952941176465,34
20,1,06.1,11474.122736842104,1822.4442105263158,2407.509368421053,21450.491789473683,95
22,1,06.3,12749.025681818182,1494.3761363636365,3297.9740909090906,24304.717954545456,44
32,1,09.8,816.0712676056338,547.7077464788732,707.3450704225352,4034.324647887324,71
36,1,11.3,1229.1184057971013,561.9858695652174,257.4442753623188,3145.411304347826,138
44,1,13.4,2648.3686329386437,734.905715823466,176.56288912809472,5410.500725511302,4645
46,1,13.7,2146.036534867002,574.7051689432063,187.88214234363767,4559.619920920201,1391
51,1,14.6,2867.929166666667,718.4166666666666,283.34041666666667,6567.02375,24
52,1,14.7,5656.975977011494,790.7245977011494,401.6672413793104,10866.843908045978,87
61,1,17.9,3340.6785,508.22823529411767,5153.231264705882,10928.478970588236,340
66,1,20.4,1344.0397297297297,1763.9378378378378,4227.12054054054,13874.552702702704,37
71,1,21.6,1377.083023255814,704.3953488372093,1487.8711627906976,5880.856279069768,43
73,1,21.8,1222.1179411764706,719.0470588235295,2137.5805882352943,6720.07205882353,34
76,1,22.5,1464.9112173913045,1353.7521739130434,3279.671652173913,10367.97652173913,115
85,1,28.6,2031.0793103448277,912.4275862068966,1496.1275862068965,7472.955172413794,29
88,1,29.3,1268.628148148148,1531.9166666666667,3496.6307407407407,8797.756666666666,27
89,1,30.0,956.86703125,614.465625,1410.705,5164.43859375,64
90,1,32.2,12930.905483870967,1807.8387096774193,1039.208064516129,19164.20193548387,31
92,1,33.2,713.6985714285714,1679.2908571428572,2177.2245714285714,7360.576857142857,35
101,1,38.3,3709.7702380952383,1201.095238095238,1908.5792857142858,12443.111428571428,42
102,1,38.5,1098.9460433604336,1474.4179403794037,2558.2047696476966,16725.642628726288,369
105,1,38.9,1511.1065384615383,2317.349230769231,4603.660384615385,12745.505769230771,26
107,1,39.3,13838.156500000001,867.48375,5678.76825,27254.857,40
109,1,39.5,7962.281195652174,974.8297826086956,866.0914130434783,13031.479347826087,92
110,1,39.7,8983.354173228347,1870.0629921259842,3725.8051181102364,21207.807322834644,127
111,1,39.9,3411.4029838709675,1548.6406451612904,4378.240161290323,16353.168306451615,124
120,1,43.4,1333.663064516129,647.4206451612904,2947.8328225806454,6895.726774193548,124
123,1,44.1,847.3189189189189,1417.1432432432434,2610.2045945945943,9005.265135135134,37
128,1,45.4,1195.8043930635838,778.7416184971098,1872.0564739884394,5469.389075144509,173
132,1,47.0,1010.139375,1088.499,2036.5919999999999,6510.047375,80
134,1,48.3,1553.6915555555554,615.5911111111111,2821.882,7625.718666666666,45
137,1,49.0,3457.1502197802197,488.39527472527476,4825.296923076923,11227.697582417582,91
138,1,49.1,2897.814838709677,437.98387096774195,4544.946774193549,10195.376451612903,31
141,1,49.4,4818.950037593985,567.8375939849624,3464.8829887218044,11165.084492481203,532
147,1,51.0,3379.0703571428567,2190.92619047619,7788.176190476191,18484.604166666668,84
149,1,51.2,1724.1920289855072,1474.418586956522,3233.7590579710145,9437.98108695652,276
154,1,53.0,1774.817,981.6516,1434.8691000000001,6545.058099999999,100
164,1,54.5,1404.340612244898,555.8178571428572,1123.029336734694,17283.571020408162,196
166,1,55.0,5165.317037037037,2349.337037037037,6320.365185185185,20241.052592592594,27
170,1,56.0,5724.277348993288,1972.2440939597316,4403.363657718121,16235.25187919463,298
173,1,57.0,919.318695652174,1392.0217391304348,2323.8095652173915,7950.648695652175,23
184,1,59.8,4123.655652173913,1623.5289855072465,3303.8042028985506,11058.824057971015,69
187,1,60.2,1586.537111111111,1555.2075555555555,4220.464666666667,11401.648222222222,45
193,1,63.1,846.4193333333333,168.52666666666667,532.3283333333334,14923.865333333333,30
218,1,68.2,867.1848648648648,1252.7091891891891,1492.687027027027,9013.544594594596,37
223,1,69.0,580.7737142857143,694.6051428571428,976.7905714285714,7170.179428571429,35
232,1,71.7,806.7646153846154,2248.1182051282053,626.9230769230769,21389.785641025643,39
240,1,73.6,709.9042857142857,1689.8614285714289,867.5454761904763,14281.132142857145,42
243,1,74.1,1107.4511648351647,1747.7137582417583,1424.3562197802196,18857.338571428572,455
245,1,75.0,629.2229166666667,921.5895833333334,1060.6291666666666,10720.192083333333,24
248,1,75.6,828.0981914893616,2650.8294680851063,727.3551063829788,18970.431702127662,94
261,1,78.5,10527.788965517242,1639.290344827586,4059.6941379310347,21232.051034482756,29
262,1,78.6,986.3511614730879,792.2346458923513,1375.8332294617564,5428.543682719546,353
266,1,79.1,6291.3496341463415,1775.4523170731707,2934.6301219512197,13834.786585365853,82
268,1,79.3,7164.2919076305225,1626.7878714859437,3310.833493975904,15637.731726907632,498
277,1,80.5,4512.029442060087,1281.8486695278968,2911.336566523605,11862.48939914163,233
