,basy_yydj,basy_ssjczbm1_for_str_7,age_group,AGE-HAOCAI-only_operation-7-E,AGE-JCJY-only_operation-7-E,AGE-YP-only_operation-7-E,AGE-ZFY-only_operation-7-E,记录条数-only_operation-7
0,1,,0,527.9227037037037,1021.3647037037036,1802.852111111111,7849.526092592592,540
1,1,,1,703.7951020408163,1160.8665306122448,2135.1071428571427,7120.978979591836,49
2,1,,2,975.9859322033898,1709.6038983050848,2542.136949152542,12916.908305084746,59
3,1,,3,838.7588172043012,1772.208817204301,3407.252043010753,12945.321935483871,93
4,1,,4,1334.0589130434782,1639.3221739130433,5090.529782608695,18681.784855072463,138
5,1,,5,1180.4348701298702,1716.2900324675322,5554.277954545455,19103.67272727273,308
6,1,,6,704.6815447154472,1414.38581300813,3572.7760569105694,10266.079349593496,246
7,1,,8,584.0795142857144,1350.2692285714286,3608.2396857142853,9430.9292,350
8,1,,9,446.83513432835815,1905.4569850746268,4750.838805970149,12379.810567164179,335
109,1,06.1101,4,10574.7025,1779.4285714285713,2140.4160714285713,19905.761428571426,28
110,1,06.1101,5,10733.814838709677,1839.1677419354837,2095.703225806452,20164.700967741934,31
182,1,11.3901,6,1016.0904761904762,630.7476190476191,178.19761904761904,2904.7809523809524,21
183,1,11.3901,8,1285.2846153846153,588.375,218.0253846153846,3277.8965384615385,26
202,1,13.4100,4,4481.2538,715.6806,232.09759999999997,7530.5704000000005,50
203,1,13.4100,5,3891.433502538071,738.3154060913706,185.60903553299494,6933.983121827411,394
204,1,13.4100,6,2677.4977190332324,743.6593126888218,177.1388670694864,5426.986457703928,1324
205,1,13.4100,8,2427.746793859649,731.6220131578947,171.95606140350878,5097.777758771929,2280
206,1,13.4100,9,2358.6977739130434,718.1868347826087,179.49278260869565,5048.687356521739,575
217,1,13.7000,5,4857.31619047619,617.6666666666666,298.71761904761905,7095.186190476191,21
218,1,13.7000,6,2535.0928358208957,639.9626865671642,292.09089552238805,4782.667313432836,134
219,1,13.7000,8,2635.9296694214877,624.3884297520661,292.7657851239669,4879.229338842975,121
220,1,13.7000,9,2424.7357142857145,625.5,291.7132142857143,4651.7132142857145,28
223,1,13.7100,5,2104.368407079646,600.7849557522123,196.21672566371683,4618.832389380531,113
224,1,13.7100,6,2134.001755952381,571.1502976190476,164.0103869047619,4591.487142857142,336
225,1,13.7100,8,1901.7791633466136,541.8788844621514,145.8984262948207,4349.5034063745015,502
226,1,13.7100,9,1721.0549107142856,529.51875,129.82223214285713,4215.557678571428,112
254,1,14.7401,6,4924.4803846153845,810.2,412.7238461538461,11468.606923076923,26
315,1,17.9833,1,3486.641538461539,440.24615384615385,4935.028846153846,10924.239615384615,26
316,1,17.9833,2,3961.7463076923077,380.3446153846154,5140.610615384616,11065.951076923078,65
317,1,17.9833,3,4558.497333333334,402.3066666666667,6029.769,12876.603,30
318,1,17.9833,4,3650.592195121951,413.28780487804875,6026.522195121951,11818.556341463414,41
319,1,17.9833,5,3900.6539024390245,448.15609756097564,5459.0956097560975,11721.439512195122,41
