科室名称,耗材费_区间,科别总人次,科别_费用区间人次,费用区间人次占比
预防保健科,"[0,30)",89007,79937,89.810%
预防保健科,"[100, 500)",89007,958,1.076%
预防保健科,"[1000, 3000)",89007,123,0.138%
预防保健科,"[10000, +++)",89007,4,0.004%
预防保健科,"[30, 100)",89007,7873,8.845%
预防保健科,"[3000, 10000)",89007,37,0.042%
预防保健科,"[500, 1000)",89007,75,0.084%
全科医疗科,"[0,30)",346544,282421,81.496%
全科医疗科,"[100, 500)",346544,13335,3.848%
全科医疗科,"[1000, 3000)",346544,1933,0.558%
全科医疗科,"[10000, +++)",346544,492,0.142%
全科医疗科,"[30, 100)",346544,46422,13.396%
全科医疗科,"[3000, 10000)",346544,665,0.192%
全科医疗科,"[500, 1000)",346544,1276,0.368%
内科,"[0,30)",1116368,495461,44.382%
内科,"[30, 100)",1116368,262193,23.486%
内科,"[100, 500)",1116368,221807,19.869%
内科,"[500, 1000)",1116368,54061,4.843%
内科,"[1000, 3000)",1116368,43490,3.896%
内科,"[3000, 10000)",1116368,20049,1.796%
内科,"[10000, +++)",1116368,19307,1.729%
外科,"[0,30)",687515,183236,26.652%
外科,"[100, 500)",687515,119878,17.436%
外科,"[1000, 3000)",687515,111438,16.209%
外科,"[10000, +++)",687515,40834,5.939%
外科,"[30, 100)",687515,102830,14.957%
外科,"[3000, 10000)",687515,81951,11.920%
外科,"[500, 1000)",687515,47343,6.886%
妇产科,"[0,30)",216104,49855,23.070%
妇产科,"[100, 500)",216104,62663,28.997%
妇产科,"[1000, 3000)",216104,29379,13.595%
妇产科,"[10000, +++)",216104,932,0.431%
妇产科,"[30, 100)",216104,29097,13.464%
妇产科,"[3000, 10000)",216104,8557,3.960%
妇产科,"[500, 1000)",216104,35621,16.483%
妇女保健科,"[0,30)",1131,878,77.630%
妇女保健科,"[100, 500)",1131,89,7.869%
妇女保健科,"[1000, 3000)",1131,2,0.177%
妇女保健科,"[30, 100)",1131,140,12.378%
妇女保健科,"[3000, 10000)",1131,3,0.265%
妇女保健科,"[500, 1000)",1131,19,1.680%
儿科,"[0,30)",208399,58994,28.308%
儿科,"[100, 500)",208399,56182,26.959%
儿科,"[1000, 3000)",208399,2211,1.061%
儿科,"[10000, +++)",208399,551,0.264%
儿科,"[30, 100)",208399,86104,41.317%
儿科,"[3000, 10000)",208399,634,0.304%
儿科,"[500, 1000)",208399,3723,1.786%
小儿外科,"[0,30)",15099,1405,9.305%
小儿外科,"[100, 500)",15099,2283,15.120%
小儿外科,"[1000, 3000)",15099,5709,37.810%
小儿外科,"[10000, +++)",15099,341,2.258%
小儿外科,"[30, 100)",15099,937,6.206%
小儿外科,"[3000, 10000)",15099,1201,7.954%
小儿外科,"[500, 1000)",15099,3223,21.346%
儿童保健科,"[0,30)",1576,1309,83.058%
儿童保健科,"[100, 500)",1576,56,3.553%
儿童保健科,"[1000, 3000)",1576,1,0.063%
儿童保健科,"[10000, +++)",1576,1,0.063%
儿童保健科,"[30, 100)",1576,206,13.071%
儿童保健科,"[500, 1000)",1576,3,0.190%
眼科,"[0,30)",78442,13456,17.154%
眼科,"[100, 500)",78442,9602,12.241%
眼科,"[1000, 3000)",78442,30345,38.685%
眼科,"[10000, +++)",78442,616,0.785%
眼科,"[30, 100)",78442,5847,7.454%
眼科,"[3000, 10000)",78442,9976,12.718%
眼科,"[500, 1000)",78442,8600,10.964%
耳鼻咽喉科,"[0,30)",69069,14614,21.159%
耳鼻咽喉科,"[100, 500)",69069,16523,23.922%
耳鼻咽喉科,"[1000, 3000)",69069,16160,23.397%
耳鼻咽喉科,"[10000, +++)",69069,144,0.208%
耳鼻咽喉科,"[30, 100)",69069,8820,12.770%
耳鼻咽喉科,"[3000, 10000)",69069,4962,7.184%
耳鼻咽喉科,"[500, 1000)",69069,7846,11.360%
口腔科,"[0,30)",5851,887,15.160%
口腔科,"[100, 500)",5851,1430,24.440%
口腔科,"[1000, 3000)",5851,835,14.271%
口腔科,"[10000, +++)",5851,571,9.759%
口腔科,"[30, 100)",5851,260,4.444%
口腔科,"[3000, 10000)",5851,565,9.656%
口腔科,"[500, 1000)",5851,1303,22.270%
皮肤科,"[0,30)",12296,6807,55.359%
皮肤科,"[100, 500)",12296,2097,17.054%
皮肤科,"[1000, 3000)",12296,143,1.163%
皮肤科,"[10000, +++)",12296,20,0.163%
皮肤科,"[30, 100)",12296,2970,24.154%
皮肤科,"[3000, 10000)",12296,38,0.309%
皮肤科,"[500, 1000)",12296,221,1.797%
医疗美容科,"[0,30)",855,203,23.743%
医疗美容科,"[100, 500)",855,353,41.287%
医疗美容科,"[1000, 3000)",855,72,8.421%
医疗美容科,"[10000, +++)",855,42,4.912%
医疗美容科,"[30, 100)",855,47,5.497%
医疗美容科,"[3000, 10000)",855,65,7.602%
医疗美容科,"[500, 1000)",855,72,8.421%
精神科,"[0,30)",6458,5064,78.414%
精神科,"[100, 500)",6458,652,10.096%
精神科,"[1000, 3000)",6458,37,0.573%
精神科,"[10000, +++)",6458,13,0.201%
精神科,"[30, 100)",6458,589,9.120%
精神科,"[3000, 10000)",6458,13,0.201%
精神科,"[500, 1000)",6458,90,1.394%
传染科,"[0,30)",21917,5148,23.489%
传染科,"[100, 500)",21917,7786,35.525%
传染科,"[1000, 3000)",21917,710,3.239%
