,科室名称,高OE值人次占比(no_ks_predict),高OE值人次占比(merge_just_icu_predict)
0,医疗美容科,0.011278195488721804,0.011278195488721804
1,口腔科,0.006902694277443776,0.006902694277443776
2,医学影像科,0.00628053035589672,0.006629448709002094
3,急诊医学科,0.006144842721287491,0.006144842721287491
4,重症医学科,0.0027795945062132114,0.001962066710268149
5,外科,0.001570287034537607,0.0015818972898761477
6,妇产科,0.0007578106162378147,0.0007750335847886741
7,肿瘤科,0.0007238321743401494,0.0007238321743401494
8,小儿外科,0.0006544502617801048,0.0007362565445026178
9,内科,0.0006508490621856695,0.0006550753547972648
10,中西医结合科,0.0005757052389176742,0.0005757052389176742
11,全科医疗科,0.0005612932195779075,0.0005612932195779075
12,中医科,0.0003628666465074085,0.0003749622013909888
13,眼科,0.000295344630265441,0.000295344630265441
14,疼痛科,0.00020798668885191348,0.00020798668885191348
15,耳鼻咽喉科,0.00019339554223275153,0.00019339554223275153
16,传染科,0.00015135462388375965,0.00015135462388375965
17,儿科,3.818834491713129e-05,3.818834491713129e-05
