,科室名称,高OE值人次占比(ks_predict),高OE值人次占比(merge_just_icu_predict)
0,医学影像科,0.11528301886792452,0.08660377358490566
1,重症医学科,0.06768853464132434,0.01342734518700184
2,其他业务科室,0.03344540789240842,0.02512829587683596
3,急诊医学科,0.024875893295510338,0.037204735148109756
4,临终关怀科,0.020257826887661142,0.009208103130755065
5,肿瘤科,0.01877320241053553,0.02027224161695021
6,中西医结合科,0.013621460506706408,0.01684053651266766
7,传染科,0.012684217730528814,0.013733631427658896
8,内科,0.010915755378154873,0.013720386109239964
9,外科,0.010772128608103096,0.013339345323374763
10,妇产科,0.010619886721208307,0.008583830007774036
11,儿科,0.00995206310970782,0.005479872744111056
12,皮肤科,0.00902732595966168,0.004798308392973324
13,康复医学科,0.007885937795722667,0.004441360166551007
14,全科医疗科,0.006859157855856688,0.003572417932499192
15,中医科,0.006635007824068466,0.0036883128440797883
16,疼痛科,0.006131796690307329,0.006131796690307329
17,精神科,0.005884174667079591,0.010219882316506659
18,口腔科,0.005810972483336182,0.0035891300632370535
19,小儿外科,0.00529836413007484,0.003245248029670839
20,职业病科,0.004936530324400564,0.003526093088857546
21,耳鼻咽喉科,0.003735395039742866,0.0018097844184800707
22,结核病科,0.0027842227378190253,0.02923433874709977
23,医疗美容科,0.0023391812865497076,
24,预防保健科,0.0016627905670340535,0.0005505184985450583
25,医学检验科,0.00117096018735363,
26,眼科,0.0009943652635067948,0.0003696999056627827
27,妇女保健科,0.0008841732979664014,
28,运动医学科,0.000757002271006813,0.012112036336109008
