,basy_zyzd_jbbm_for_str_7,basy_yydj,basy_ssjczbm1_for_str_7,HAOCAI-7-7-E,JCJY-7-7-E,YP-7-7-E,ZFY-7-7-E,记录条数-7-7
108,A08.000,6,,277.78857142857146,1645.182619047619,574.4988095238095,3831.515476190476,42
170,A09.004,3,,282.87333333333333,1010.3000000000001,959.9104166666666,3545.699583333333,24
182,A09.004,6,,307.98133333333334,2583.4006666666664,2039.205333333333,6657.092666666666,45
219,A09.900,6,,350.9987878787879,2400.0878787878787,2405.4215151515155,7958.25,33
323,A15.000,5,,379.28145454545455,3280.686909090909,3224.9865454545456,10191.495090909091,55
328,A15.000,5,33.2403,399.11535714285714,3183.279642857143,1850.3042857142857,8498.325,28
346,A15.000,6,,414.61758842443726,5408.012668810289,5864.519871382637,15558.605627009645,311
359,A15.000,6,33.2200,401.17357142857145,9077.964642857143,7659.979464285715,22152.216071428575,56
361,A15.000,6,33.2400,693.7093103448276,5970.4366666666665,3289.256091954023,13714.388965517242,87
363,A15.000,6,33.2403,466.48736040609134,6914.983401015228,6044.360050761421,17421.56233502538,197
368,A15.000,6,34.0401,703.2741176470588,8581.14,7554.815,23958.14794117647,34
432,A15.007,6,,400.82389830508475,3514.04813559322,3462.2810169491527,10577.104915254236,59
459,A15.008,6,,548.10275,3231.8,2824.279,10275.38425,40
504,A15.200,6,33.2400,994.616,7598.579333333333,5203.436333333333,20855.991666666665,30
506,A15.200,6,33.2600,1346.5112,6824.6376,2507.8132,13949.063600000001,25
526,A15.201,6,32.2001,14611.947727272729,6209.436818181819,4364.044090909091,37468.214545454546,22
572,A15.300,6,,414.8881818181818,3925.2900000000004,3171.5833766233764,11010.116883116883,77
578,A15.300,6,33.2400,388.6811475409836,4327.949180327869,1636.1349180327868,9739.540327868852,61
580,A15.300,6,33.2403,448.4330588235294,4370.6482352941175,2748.380588235294,10115.910705882354,85
611,A15.307,6,,524.939090909091,4180.537878787879,3828.274545454545,12925.378787878788,33
663,A15.601,6,34.2000,748.7743243243243,5528.24,1636.958108108108,12255.405135135135,37
721,A16.000,6,,416.4174509803922,4228.830392156863,2940.1307843137256,9808.324705882353,51
723,A16.000,6,33.2400,441.4397297297297,4647.213513513513,1794.6089189189188,9743.667027027026,37
724,A16.000,6,33.2403,472.76533333333333,4135.070222222223,2345.129111111111,9626.930444444444,45
777,A16.008,6,,619.6692753623189,2868.5985507246373,1708.6695652173912,8702.054057971014,69
831,A16.020,6,33.2702,765.4242857142857,7881.761904761905,1882.2152380952382,13687.210952380952,21
858,A16.200,3,,461.3190163934426,5255.415409836066,3860.8644262295084,16604.83655737705,61
